Hodo,HODO,《HODO》是一款Android平台的应用。
SEOBEAN,SEOBEAN,SEOBEAN为中国著名内衣品牌希宾的英文名称，该品牌于2006年创建于中国。
李维斯,李维斯,李维斯（Levi's）是著名的牛仔裤品牌，由犹太商人LeviStrauss（李维·斯特劳斯）创立。1853年，LeviStrauss成立了生产帆布工装裤的LeviStrauss&Co.公司。1873年他与另一伙人JACOBDAVIS把他们生产的扣钮牛仔裤上所用的「撞钉」注册专利，标志着第一条牛仔裤的诞生。作为牛仔裤的“鼻祖”，Levi's象征着美国野性、刚毅、叛逆与美国开拓者的精神。它历经一个半世纪，从美国流行到全世界，并成为全球各地男女老少都能接受的时装。靛蓝牛仔斜纹布、腰后侧的皮章、裤后袋上的弧线、铆钉、独有的红旗标等都是李维斯的特点。李维斯百年来不断追求创新，1960年，推出水洗系列牛仔裤，1967年出现喇叭口裤型、1986年开始生产预先穿洞的破烂牛仔裤、将牛仔裤裤管翻过来的“翻边”、2003年性感新潮剪裁独特、款式至酷的TYPE1TM系列。
艾努尔,艾努尔,艾努尔，第六届康巴艺术节56名民族友好使者候选者，是一名哈族克族。
mikibana,MIKIBANA,MIKIBANA为深圳市新视线服饰有限公司旗下品牌，2009年公司力邀法国高级女装界举足轻重的设计师Anne-ValérieHash跨界合作，融合法国高级时装与MIKIBANA色彩理念，致力于创作生动风尚的审美视觉。
大依优型,大依优型,大依优型于2010年7月正式上线，是一只完善的网络运营团队，致力于打造专为大码精英男士提供商务休闲服饰的自主原创品牌。 
固执,固执,固执，本指坚持不懈，后多指坚持成见。见《汉书·谷永传》：“无使素餐之吏久尸厚禄，以次贯行，固执无违。”
兽王,战神猊,霹雳布袋戏虚拟人物。虩的真正身分，豪壮雄猛，为精灵天下猂野兽脉之主，过去性格自负而好战，一度遭恨吾峰改造为弃神类虩，以灼世烈眼残杀精灵、镇守封印。在恢复神智之后，因兽脉部下几乎死绝，一改过去性格，开始会谨慎而行，但言谈中仍不减当年风采，深得部下信赖与敬仰。 
阿迪达斯,adidas,adidas（阿迪达斯）创办于1949年，是德国运动用品制造商阿迪达斯AG成员公司。以其创办人阿道夫·阿迪·达斯勒（AdolfAdiDassler）命名，1920年在黑措根奥拉赫开始生产鞋类产品。1949年8月18日以adidasAG名字登记。阿迪达斯原本由两兄弟共同开设，在分道扬镳后，阿道夫的哥哥鲁道夫·达斯勒（RudolfDassler）开设了运动品牌puma。其经典广告语：“没有不可能”（Impossibleisnothing）。2011年3月，斥资1.6亿欧元启用全新口号——adidasisallin（全倾全力）。2017年6月，adidas入选《麻省理工科技评论》2017年度全球50大最聪明公司”榜单。 
MANGO,Mango,创立于1984的MANGO，以时尚、摩登、流行、大都会感的服装设计成功赢得全球女性的一致青睐，同时，也迅速传递西班牙时装的形象语言，让喜爱时髦、钟爱流行的时尚女性，有全新、与众不同的漂亮选择。MANGO服饰除了着重摩登都市感，推崇硬朗而又柔美的设计风格，更以适合大众、易于搭配为设计前提，每一季皆发展四大主题系列：Dressy上班系列、Casual休闲系列、Sporty运动系列、Evening晚宴系列作为完整选择，让不分年龄层、注重时髦感的女性能因时因地自我搭配，表现自由自在的时尚风格。
以爱为铭,以爱为铭,《以爱为铭》是由滕华弢执导的宣传片，《以爱为铭》讲述了关于证悟爱情与时间的故事。
君别,君别,
神州骆驼,神州骆驼,曾经历过一种款式两种颜色一统天下的年代也遭遇过不分时间场合仅靠一件不甚合体的西服贯穿始终的尴尬。如今，寻求突破的男士们正在不动声色、不着痕迹地演绎着自己的时尚。如今神州骆驼解开了历史的锚索，打破了传统的观念，为成功男士精心准备了简约自然的休闲装备，随时随地地给男士们便捷、假期的轻松体验。
Nixon,理查德·米尔豪斯·尼克松,理查德·米尔豪斯·尼克松（RichardMilhousNixon，1913年1月9日－1994年4月22日），美国著名政治家，美国第34任副总统（1953－1961）及第37任总统（1969－1974）。尼克松于1974年辞职，成为美国历史上第一位在任期内辞职的总统。他曾在1972年和1976年两度访华，是首位在任期间访华的美国总统，被称为“中国人民的老朋友”。
棒球小子,棒球小子,棒球小子是一个创建于1998年的服装品牌。
斯卡图,斯卡图,斯卡图，是一个衣服品牌，源于1965年意大利米兰市郊河边的一个小镇，设计师为MRHENRYKCADTELLandMRCARLOBARIG。
