圣罗兰,YSL,YSL（YvesSaintlaurent）的简称，中文译名圣罗兰，是法国著名奢侈品牌，由1936年8月1日出生于法属北非阿尔及利亚的伊夫圣罗兰先生创立，主要有时装、护肤品，香水，箱包，眼镜，配饰等。家境优渥，在成长过程中不乏接触高级时装珠宝的机会，久而久之累积酝酿起对于时装的热诚。17岁时只身前往时尚之都巴黎学习美术，不久后即转移到服装画的领域内。18岁时，他一举夺得时装设计比赛的冠军，被引荐到ChristianDior旗下工作，担任Dior的副手。
YSL,YSL,YSL（YvesSaintlaurent）的简称，中文译名圣罗兰，是法国著名奢侈品牌，由1936年8月1日出生于法属北非阿尔及利亚的伊夫圣罗兰先生创立，主要有时装、护肤品，香水，箱包，眼镜，配饰等。家境优渥，在成长过程中不乏接触高级时装珠宝的机会，久而久之累积酝酿起对于时装的热诚。17岁时只身前往时尚之都巴黎学习美术，不久后即转移到服装画的领域内。18岁时，他一举夺得时装设计比赛的冠军，被引荐到ChristianDior旗下工作，担任Dior的副手。
美宝莲,美宝莲,Maybelline的名字是由美国化学家威廉姆斯的妹妹的名字（Maybel）以及凡士林（Vaseline）的后半部分组成的。美宝莲纽约于1917年成立之时，生产出了世界上第一支现代眼部化妆品：美宝莲纽约块状睫毛膏(MaybellineCakeMascara)。如今，美宝莲纽约已经成为了一个具有传奇色彩的全球化妆品先驱公司。世界90多个国家及城市中，美宝莲纽约已经成为第一个针对女性生产化妆及护肤品的公司。至今已经有了100年品牌历史。美宝莲纽约（MaybellineNewYork）提供包括专业脸部彩妆、眼部彩妆、唇部彩妆产品。美宝莲纽约在中国出售的纯矿物油粉底销量雄踞第一，并建立第一条生产帮助改善皮肤的矿物粉底生产线。美宝莲纽约在纽约成立了城市肌肤研究所，旨在研究城市居住环境对女性肌肤的影响，同时针对城市肌肤，生产一系列将以种籽为配方的护肤产品，从大自然探寻到肌肤的净化力量，让肌肤保持自然美丽。
迪奥,迪奥,克里斯汀·迪奥（英语：ChristianDior），简称迪奥（Dior），是法国著名时尚消费品牌。亦为全球最大的高级时尚品牌控股公司：LVMH酩悦轩尼诗路易威登集团的母公司（MoëtHennessy-LouisVuittonLVMHGroup）路威酩轩集团，是一法国酒业与高价奢侈品制造集团。Dior握有LVMHGroup42.38%的普通股及59.3%的表决权。迪奥公司由法国时装设计师克里斯汀·迪奥（ChristianDior，1905年1月21日－1957年10月24日）创立，总部设在巴黎。主要经营女装、男装、首饰、香水、化妆品、童装等高档消费品。其男装品牌现已独立为迪奥男装。 
Dior,迪奥,克里斯汀·迪奥（英语：ChristianDior），简称迪奥（Dior），是法国著名时尚消费品牌。亦为全球最大的高级时尚品牌控股公司：LVMH酩悦轩尼诗路易威登集团的母公司（MoëtHennessy-LouisVuittonLVMHGroup）路威酩轩集团，是一法国酒业与高价奢侈品制造集团。Dior握有LVMHGroup42.38%的普通股及59.3%的表决权。迪奥公司由法国时装设计师克里斯汀·迪奥（ChristianDior，1905年1月21日－1957年10月24日）创立，总部设在巴黎。主要经营女装、男装、首饰、香水、化妆品、童装等高档消费品。其男装品牌现已独立为迪奥男装。 
香奈儿,香奈儿,香奈儿（Chanel）是一个法国奢侈品品牌，创始人是CocoChanel（原名是GabrielleBonheurChanel，中文名是加布里埃·可可·香奈儿），该品牌于1910年在法国巴黎创立。该品牌产品种类繁多，有服装、珠宝饰品及其配件、化妆品、护肤品、香水等。该品牌的时装设计有高雅、简洁、精美的风格，在20世纪40年代就成功地将“五花大绑”的女装推向简单、舒适的设计。
Chanel,香奈儿,香奈儿（Chanel）是一个法国奢侈品品牌，创始人是CocoChanel（原名是GabrielleBonheurChanel，中文名是加布里埃·可可·香奈儿），该品牌于1910年在法国巴黎创立。该品牌产品种类繁多，有服装、珠宝饰品及其配件、化妆品、护肤品、香水等。该品牌的时装设计有高雅、简洁、精美的风格，在20世纪40年代就成功地将“五花大绑”的女装推向简单、舒适的设计。
玛丽黛佳,玛丽黛佳,玛丽黛佳，是一个化妆品品牌。玛丽黛佳秉承“自由、创意、艺术”的精神，一直努力坚持并倡导着“新艺术彩妆”的品牌理念。它勇于追求生活的本真艺术，试图打破传统艺术和美学理念的束缚，通过吸纳不同艺术领域的精髓，创造出一种新的但又不等同于现代流行的大众艺术风格，实现将纯艺术与彩妆的实用艺术完美跨界融合。 玛丽黛佳，一个不断变化着的新艺术彩妆，它描绘着你一生的美丽！
卡姿兰,卡姿兰,卡姿兰，时尚彩妆领导品牌，始终坚持并倡导“活出经典”的时尚美妆理念，用“年轻、轻经典”的创意灵感指引彩妆潮流趋势，不断开发高品质彩妆产品，让年轻爱美女性永远走在时尚的尖端。 
Carslan,卡姿兰,卡姿兰，时尚彩妆领导品牌，始终坚持并倡导“活出经典”的时尚美妆理念，用“年轻、轻经典”的创意灵感指引彩妆潮流趋势，不断开发高品质彩妆产品，让年轻爱美女性永远走在时尚的尖端。 
纪梵希,纪梵希,纪梵希(Givenchy)是来自法国的时装品牌，优美、简洁、典雅是纪梵希最大特点，纪梵希最初以香水为其主要产品，后开始涉足护肤及彩妆事业。在世界品牌实验室编制的2006年度《世界品牌500强》排行榜中名列第411位。
Givenchy,纪梵希,纪梵希(Givenchy)是来自法国的时装品牌，优美、简洁、典雅是纪梵希最大特点，纪梵希最初以香水为其主要产品，后开始涉足护肤及彩妆事业。在世界品牌实验室编制的2006年度《世界品牌500强》排行榜中名列第411位。
阿玛尼,阿玛尼,阿玛尼（Armani）是世界知名奢侈品牌，1975年由时尚设计大师乔治·阿玛尼（GiorgioArmani）创立于意大利米兰，他以使用新型面料及优良制作而闻名。 阿玛尼品牌标志是由一只在往右看的雄鹰变形而成。
ARMANI,ARMANI,ARMANI是以服装设计师GiorgioArmani命名的一个服饰品牌，包括13个服装品牌系列，有低价位的EmporioArmani和运动系列A/XArmaniExchange，同时还包括牛仔，Armani内衣，配件和香氛。
欧莱雅,欧莱雅（法国）化妆品集团公司,欧莱雅集团是法国的化妆品公司，创办于1907年。欧莱雅集团是美妆品行业中的领导者，经营范围遍及130多个国家和地区，在全球拥有283家分公司、42家工厂、100多个代理商，以及5万多名的员工，是总部设于法国的跨国公司，也是财富全球500强企业之一。2016年6月8日，《2016年BrandZ全球最具价值品牌百强榜》公布，欧莱雅排第36名。 
兰蔻,兰蔻,兰蔻1935年诞生于法国，是由ArmandPetitjean（阿曼达·珀蒂让）创办的品牌。作为全球知名的高端化妆品品牌，兰蔻涉足护肤、彩妆、香水等多个产品领域，主要面向教育程度、收入水平较高，年龄在25～40岁的成熟女性 。凭借着对香水的天才敏感嗅觉、执着不懈的冒险精神，以及他立志让法国品牌在当时已被美国品牌垄断的全球化妆品市场占有一席之地的抱负，兰蔻为世界化妆品历史写下美的一页。一支来自法国古堡的玫瑰，凭借着气质，在变幻莫测的女性心理间，在捉摸不定的时尚法则中，足足绽放了六十年。
LANCOME,兰蔻,兰蔻1935年诞生于法国，是由ArmandPetitjean（阿曼达·珀蒂让）创办的品牌。作为全球知名的高端化妆品品牌，兰蔻涉足护肤、彩妆、香水等多个产品领域，主要面向教育程度、收入水平较高，年龄在25～40岁的成熟女性 。凭借着对香水的天才敏感嗅觉、执着不懈的冒险精神，以及他立志让法国品牌在当时已被美国品牌垄断的全球化妆品市场占有一席之地的抱负，兰蔻为世界化妆品历史写下美的一页。一支来自法国古堡的玫瑰，凭借着气质，在变幻莫测的女性心理间，在捉摸不定的时尚法则中，足足绽放了六十年。
雅诗兰黛,雅诗兰黛,雅诗兰黛是美国雅诗兰黛公司旗下的化妆品旗舰品牌，以抗衰修护护肤品闻名。雅诗兰黛公司是全球领先的大型生产商和销售商。1946年雅诗兰黛公司成立于美国纽约，拥有护肤品品牌Clinique（倩碧）、LaMer（海蓝之谜）、LABSERIES（朗仕）、Prescriptives、Origins（悦木之源），以及化妆品品牌BobbiBrown、M·A·C，和男性香水品牌Aramis等等，同时，该公司也为7大美国顶级时装品牌，比如DonnaKaran、MichaelKors等进行香水的贴牌生产。
Estee Lauder,雅诗·兰黛,雅诗·兰黛(EsteeLauder)全球最大的护肤、化妆品和香水公司之一，与其创始人同名。雅诗兰黛公司创立于1946年。
dior,迪奥,克里斯汀·迪奥（英语：ChristianDior），简称迪奥（Dior），是法国著名时尚消费品牌。亦为全球最大的高级时尚品牌控股公司：LVMH酩悦轩尼诗路易威登集团的母公司（MoëtHennessy-LouisVuittonLVMHGroup）路威酩轩集团，是一法国酒业与高价奢侈品制造集团。Dior握有LVMHGroup42.38%的普通股及59.3%的表决权。迪奥公司由法国时装设计师克里斯汀·迪奥（ChristianDior，1905年1月21日－1957年10月24日）创立，总部设在巴黎。主要经营女装、男装、首饰、香水、化妆品、童装等高档消费品。其男装品牌现已独立为迪奥男装。 
魅可,M.A.C,M·A·C是雅诗兰黛化妆品集团旗下第一个非由兰黛夫人自创的品牌。M·A·C的耀眼光芒，吸引了雅诗兰黛集团慧眼拾得这块熠熠生辉的美玉。而在雅诗兰黛集团的协助与支持之下，M·A·C的优异特质才得以被发掘、散播，从北美地区远扬至欧亚各国。
M.A.C,M.A.C,M·A·C是雅诗兰黛化妆品集团旗下第一个非由兰黛夫人自创的品牌。M·A·C的耀眼光芒，吸引了雅诗兰黛集团慧眼拾得这块熠熠生辉的美玉。而在雅诗兰黛集团的协助与支持之下，M·A·C的优异特质才得以被发掘、散播，从北美地区远扬至欧亚各国。
