凤凰,凤凰古城,凤凰古城，位于湖南省湘西土家族苗族自治州的西南部，土地总面积约10平方千米。2010年底约5万人口，由苗族、汉族、土家族等28个民族组成，为典型的少数民族聚居区。 凤凰古城，建于清康熙四十三年（1704年）。距铜仁凤凰机场27公里；怀化芷江机场57公里；张家界荷花机场280公里；G209国道，S308省道贯穿全境，枝柳铁路穿境而过。这里与吉首的德夯苗寨，永顺的猛洞河，贵州的梵净山相毗邻，是怀化、吉首、贵州铜仁三地之间的必经之路。湖南十大文化遗产之一。曾被新西兰作家路易·艾黎称赞为中国最美丽的小城，与云南丽江古城、山西平遥古城媲美，享有“北平遥，南凤凰”之名。是国家历史文化名城，国家AAAA级景区。
Phenix,Phenix,1952年phenix（菲尼克斯）品牌诞生，phenix（菲尼克斯）在近六十年内，不断将专业的产品提供给世界滑雪联盟和许多国家滑雪队及俱乐部使用。从1993年起，phenix（菲尼克斯）开始赞助挪威国家滑雪队。2006年起，phenix（菲尼克斯）成为日本滑雪联盟的唯一赞助商。phenix使用的EPIC防水面料（美国陆战队特选户外军服材料）不仅可以防止因蒸发带来的体温下降，而且素材耐洗涤性达到以往防水浸湿材料的10倍，不用再担心常用防泼水材料因多次洗涤后导致的功能减退。此外，phenix带有DEOSEAM专利功能的产品不仅可以在3秒内消除周围8.8平方米的异味，而且在消除异味的同时能够保留香水等芬芳的香味
永久,上海永久股份有限公司,上海永久股份有限公司从事自行车的历史最早可追溯到1940年，它是中国最早的自行车整车制造厂家之一。新中国成立以后，它作为最大的国有自行车厂为中国自行车行业的发展作出了不可磨灭的贡献，永久研制了统一全国自行车标准、规格的标定车，又开发了中国第一代660MM轻便车、载重车、赛车及电动自行车、LPG燃气助力车等产品。
FOREVER,不死法医,《不死法医》是由美国ABC出品的悬疑犯罪片，由布拉德·安德森执导，艾恩·格拉法德、阿兰娜·德拉·伽兹等主演。《不死法医》讲述了纽约城最优秀的法医病理学专家Henry在纽约警署女侦探JoMartinez的帮助下，破解一个个案件，并讲述他漫长的、充满传奇色彩的人生故事。该剧于2014年9月22日在美国ABC电视台首播 。
喜德盛,喜德盛,深圳市喜德盛自行车有限公司，简介喜德盛公司，于1995成立，目前已经成为行业领导者，集研发、生产、销售、服务于一体的自行车高新技术企业，国内最大的自行车生产厂家之一，厂区总占地面积450亩，整车年生产能力超过1000万辆 ，产品荣获“中国名牌”称号，“XDS”商标被评为“中国驰名商标”、“广东省著名商标”，公司荣获“广东省优秀民营企业”、“深圳市高新技术企业”、“深圳市民营领军骨干企业”等荣誉称号。
捷安特,捷安特,捷安特，全称台湾巨大机械工业股份有限公司，是全球自行车生产及行销最具规模的公司之一，其网络横跨五大洲，五十余个国家，公司遍布中国大陆、美国、英国、德国、法国、日本、加拿大、荷兰等地，掌握着超过1万个销售通路。捷安特在以全新的产品回报大陆人民的同时，秉持着“全球经营，当地深根；全球品牌当地经营”的新世纪经营哲学，坚持以自身通路来带动自行车文化的发展。
GIANT,giant,giant（捷安特，台证所：9921）是由台湾自行车厂商“巨大机械工业股份有限公司”所创立的品牌，为国际上知名的台湾品牌之一。“捷安特”为“Giant”的音译，而制造厂商“巨大”为其意译。“捷安特”品牌由刘金标于1981年在台中县大甲镇（今台中市大甲区）创立，并成立“捷安特股份有限公司”负责业务销售，在台湾、荷兰及中国大陆有全球生产工厂。该公司于1994年在台湾证券交易所股票上市。
MARMOT,MARMOT,Marmot中文名土拨鼠，俗称旱獭，是一种生活在高寒山区的动物，土拨鼠主要分布于北美大草原至加拿大以及俄罗斯，中亚和东欧草原。在我国主要分布于黑龙江、新疆、内蒙古等地，青海省牧区也有分布拨鼠。
大行,大行,大行，(《佛学大词典》)行业广大之意，指菩萨之修行。菩萨为求佛果菩提，乃发大誓愿，历经三祇百劫，修波罗蜜等诸善万行，积大功德，故称大行。反之，声闻、缘觉等二乘之行，则称为小行。此外，于天台宗，指摩诃止观中之四种三昧为修大行。日本真宗教行信证中之行卷则指称念南无阿弥陀佛之名号为大行。盖此名号摄诸善法，具诸德本，是众生往生之行业，以诠显众生之口业，故称大行。若此称名属报恩之行业，则称报恩大行。
DAHON,DAHON,1982年，DAHON集团诞生于美国加州，一直率先推动环保的代步工具——折叠自行车，并以自创品牌DAHON、ECOSMO、BICECO折叠自行车畅销全球。DAHON集团荣获多项国际大奖，先后在中国大陆、台湾、荷兰、澳门、保加利亚设立分公司或工厂，并获得ISO9001：2000（TUV）国际品质认证，全球员工近3000人，被吉尼斯纪录誉为“世界最大的折叠车产销商”。
阿尔郎,阿尔郎,
洛克兄弟,洛克兄弟,《洛克兄弟》是卢奇诺·维斯康蒂执导，阿兰·德龙、尼瓦多·莎瓦特利、安妮·吉拉尔多等主演的意大利剧情片。该影片主要讲述了一个西西里洛克一家如何从贫困的家乡来到米兰发展，最后被都市所吞噬的故事。该影片获得第25届威尼斯电影节特别奖。 
新日,江苏新日电动车股份有限公司,江苏新日电动车股份有限公司（【注】前身为北京新日电动车制造有限公司），是主要从事电动车及关键零部件的研发、生产与销售的大型民营股份制拟上市公司。凭借高品质的产品和服务、雄厚的研发实力与强大的营销网络，新日电动车获得“中国质量认证中心CQC认证”、“国家免检产品”等光荣称号，并在中国纯电动交通工具行业首家被国家工商总局认定为“中国驰名商标”
中立,中立,中立是一个汉语词汇，拼音是zhōnglì，比喻不站在任一方立场的一种立场，拥有自己的主见。道德中立：表示不偏不向，不带有任何感情色彩，既可以认为是明哲保身，也可以认为是坚持道德原则，或者是认理不认人。
ZOLI,Zoli,Zoli，演员，主要作品有2009年上映的《女孩自毁之生活指南》。
小刀,小刀,小刀，名词，多义项。通常指加工各种外表面的刀具。另有“小刀（Worm.Nives.a）”病毒、人名、网名、笔名，电影《小刀》等。
