同仁堂,同仁堂,北京同仁堂 是全国中药行业著名的老字号。创建于1669年（清康熙八年），自1723年开始供奉御药，历经八代皇帝188年。在300多年的风雨历程中，历代同仁堂人始终恪守“炮制虽繁必不敢省人工，品味虽贵必不敢减物力”的古训，树立“修合无人见，存心有天知”的自律意识，造就了制药过程中兢兢小心、精益求精的严细精神，其产品以“配方独特、选料上乘、工艺精湛、疗效显著”而享誉海内外，产品行销40多个国家和地区。 
TRT,TRT,TRT——(BlastFurnaceTopGasRecoveryTurbineUnit以下简称TRT)高炉煤气余压透平发电装置(即TRT)是利用高炉冶炼的副产品——高炉炉顶煤气具有的压力能及热能使煤气通过透平膨胀机做功将其转化为机械能，再将机械能转化为电能。 
东阿阿胶,东阿阿胶,东阿阿胶从汉唐至明清一直都是皇家贡品。据史料考证，阿胶的应用迄今已有3000年的历史，阿胶自古以来就被誉为“补血圣药”、“滋补国宝” 
燕之屋,燕之屋,燕之屋连锁机构是中国知名专营燕窝的企业，始于1997年。燕之屋连锁机构总部与辐射全国各地的燕窝连锁店，形成一个生产、研发、加工、设计、销售、服务多位一体、有序循环的连锁网络体系。十几年来，燕之屋致力于高品质的燕窝的研究和经营，取得许多突破性的创举。其率先推出的“燕之屋燕窝专卖店模式”成为行业内典范；其独创的燕窝“一站式”服务，开创了中国人享受燕窝的全新风尚十几年的探索与总结，针对燕窝专营连锁，形成了一套燕之屋所独有的、既完整又细致的营运标准，通过高效、反复、持续的培训，“克隆”了一个又一个充满活力的连锁店。在燕窝这个健康产业的腾飞，不仅使燕之屋成为行业翘楚，也使燕之屋更加关注并参与“和谐社会”的构建。燕之屋提出“以人为本，和谐共进”的企业宗旨。在企业内部，重视员工的心灵建设；对加盟事业，强调健康发展；及社会大众，乐于参加各慈善活动。
雷允上,雷允上,吴门名医雷大升（1696--1779年）字允上，号南山，自幼读书习医，清康熙五十四年（1715年）弃儒从医。清雍正十二年（1734年），雷大升在苏州阊门内专诸巷天库前周王庙弄口，开设了诵芬堂老药铺，始创雷允上药业。雷大升著有《金匮辨证》、《要症方略》、《经病方论》、《丹丸方论》等典籍。由于医术高明治病有方，于是“雷允上”名声遍闻苏州，蜚声杏林。
修正,修正,修正是一个汉语词汇，拼音是xiūzhènɡ，指改正；品格端正，亦指遵行正道的人。出自《汉书·贾山传》：“举贤以自辅弼，求修正之士使直谏。”
康美,康美,康美，1959年9月26日出生，汉族，现居住于北京。当代著名油画家、学院派画家，山西朔州美协主席，北京油画学会会员。
正官庄,正官庄,正官庄，是一个韩国高丽参的品牌老字号，从1899年创立人参专卖以来，已经有一百多年的历史，曾经历专卖厅、韩国烟草人参公社、韩烟人参股份等的时代。
桃花姬,桃花姬阿胶糕,桃花姬阿胶糕由国内最大的阿胶生产企业山东东阿阿胶股份有限公司针对都市白领推出的保健零食，2007年推出市场后，成为阿胶糕品类的领导品牌，“熬好的阿胶”作为桃花姬阿胶糕的产品定位更被人所熟识。桃花姬阿胶糕有滋阴养血、润燥、美容养颜、增强免疫力的功效，已经成为都市白领养颜滋补的首选佳品。11月13日，东阿阿胶·桃花姬荣获首届中国特色旅游商品“百金百银”银奖。 
神农金康,神农金康,神农金康公司是专业从事原生态原叶养生茶研发、生产、销售的集团企业，是中国茶疗产业的领航者及行业规范的制定者，致力于打造从茶山到茶杯的全产业链茶疗企业，为消费者提供最纯粹的茶疗珍品，让每一位消费者感受并体验中华五千年茶疗的精髓，实现人类“不因老而衰，不因病而亡”的最高茶疗养生境界。
云南白药,云南白药,云南白药，云南省江川县特产，中国国家地理标志产品。云南白药白药是云南省出产的传统中成药，由于对止血愈伤，活血散瘀，消火去肿，排脓驱毒，具有良好疗效，因此成为主治各种跌打损伤、红肿疮毒、妇科血症、咽喉肿痛和慢性胃病的特效药品，从二十世纪初行销于世以来，蜚声中外，历久不衰，被誉为伤科圣药。近年来研究发现，云南白药还具有抗癌、抑制肿瘤的作用。云南白药是由云南民间医生曲焕章吸取民间传统配方，经过多年钻研和实践而首创配制的，最初取名为“百宝丹”，后称云南白药。目前，云南白药有传统瓶装和胶囊剂白药两种。
