光威,光威,光威 ——游戏内存创导者，是全球专业游戏内存生产商，领域内存，畅销全球；光威 ——倾注游戏，释放内存！
GW,gw,gw是gigawatt的缩写，常用来表示发电装机容量。
天元,天元,正规的围棋棋盘形状为正方形，上书横竖各十九道平行线，构成三百六十一个交叉点。其中有九个交叉点用大黑点标识，以方便定位，这九个黑点称之为“星”（或“星位”）。棋盘正中央的星位被称为“天元”（坐标点：K10）。
钓鱼王,钓鱼王,钓鱼王公司是中国渔具行业的领军企业，是一家集钓饵、钓具、户外用品的研发、生产、销售及服务于一体的集团企业。 
美人鱼,美人鱼,《美人鱼》是由中国电影股份有限公司、星辉海外有限公司等出品的爱情喜剧片，由周星驰执导兼编剧，邓超、罗志祥、张雨绮、林允领衔主演 。该片讲述了富豪刘轩与为了拯救同族前往刺杀他的美人鱼珊珊坠入爱河，谱写了一段人鱼爱情童话的故事。该片于2016年2月8日在中国内地、香港同步上映 。
Mermaid,美人鱼,传说美人鱼是以腰部为界，上半身是美丽的女人，下半身是披着鳞片的漂亮的鱼尾，整个躯体，既富有诱惑力，又便于迅速逃遁。她们没有灵魂，像海水一样无情；声音通常像其外表一样，具有欺骗性；一身兼有诱惑、虚荣、美丽、残忍和绝望的爱情等多种特性。有电影、动画片、歌曲等以此为名。一般认为美人鱼的生物原型是儒艮或海牛。2013年6月，以色列海法区亚姆镇频频有人声称在附近海域看到美人鱼。小镇管理者不失时机发出“悬赏令”，以期掀起旅游热潮。尽管关于亚姆镇的美人鱼报道层出不穷，不少人依然对美人鱼的存在持怀疑态度。有些人甚至认为政府悬赏有炒作之嫌。
DAIWA,DAIWA,DAIWA，世界著名的渔具制造公司，公司总部设在日本，渔具业方面的营业额为“世界第一，其所生产的系列渔具产品，被世界各地的广大钓鱼爱好者视为梦寐以求的极品。DAIWA中国，即广州达亿瓦文体用品有限公司创立于2005年。
佳钓尼,佳钓尼,《佳钓尼》 品牌成立于2009年，定位于渔具的研发与生产，从最初的鱼线研发与市场开拓开始，慢慢的建立起集渔具的研发、生产、销售为一体的大型企业，经过多年的积累与发展，佳钓尼集团的实力得到极大的增加，并形成了以客户服务为导向、以企业文化为核心、以专业人才为资源、以坚强组织为保障的发展战略。
小凤仙,小凤仙,小凤仙（1900年8月－1954年），原名朱筱凤，偏房所生，后改名为张凤云、张洗非。原籍浙江钱塘。出生在杭州，父亲是没落的满族八旗武官。在清王朝彻底崩溃前的苟延残喘的年月里，这个八旗武官又突然被解职了。小凤仙的幼年，生活在一个日趋贫困，后母对她很冷漠的家庭中。正史之中并没有关于她的记载，甚至连她的生卒日期都没有能说清楚，但她却曾是名动公卿的名妓。她曾帮助共和名将蔡锷将军逃离袁世凯的软禁，更因为与蔡锷的那段至死不渝的爱情而被人传颂，二十世纪八十年代，这段爱情被拍成名叫《知音》的电影。
民间艺人,民间艺人,民间艺人为继承祖国优秀的民间文化传统，促进民间文艺事业的发展，民间艺人出现在历史的舞台。
达摩,菩提达摩,菩提达摩（Bodhidharma）南北朝禅僧，略称达摩或达磨，意译为觉法，据《续高僧传》记述，南印度人，属刹帝利种姓，通彻大乘佛法，为修习禅定者所推崇。北魏时，曾在洛阳、嵩等地传授禅教。当时对他所传的禅法褒贬不一，约当魏末入寂于洛滨。据《景德传灯录》在民间常称其为达摩祖师，即禅宗的创始人。著作有《少室六门》上下卷，包括《心经颂》、《破相论》、《二种入》、《安心法门》、《悟性论》、《血脉论》6种。还有敦煌出土的《达摩和尚绝观论》、《释菩提达摩无心论》、《南天竺菩提达摩禅师观门》等，大都系后人所托。弟子有慧可、道育 、僧副 和昙林等 ，梁武大同二年圆寂，终年150岁。 
红狼,红狼,红狼是经典rpg游戏《重装机兵》（MetalMax，简称MM）第一部中的一个赏金猎人，孤傲独行，我行我素，为爱执着。人物虽然出场不多，但是形象刻画得很深刻。
RED WOLF,红狼,红狼（学名：Canisrufus）是一种生存在北美洲的犬科动物，毛皮粗短，上体的颜色主要是肉桂红色和黄褐色，灰色或黑色组成的混合色彩，背部则是黑色，吻和四肢黄褐色，尾巴尖黑色，眼睛很亮。以松鸡，浣熊，兔子，老鼠，腐肉和家畜中的动物为主要食物，也会吃腐肉。分布于美国东南部，其祖先是灰狼和郊狼的杂交种。由于数目稀少，红狼常找不到同类繁殖，而与北美大草原的灰狼交配，令纯种红狼的数量下降。1980年在野外灭绝，1989年《美国鱼类和野生动物局》（USFWS）将驯养的狼引入北卡罗来纳州野外放养，至2002年已繁衍到超过50只。此外，还有170多头红狼在美国被圈养。
SHIMANO,禧玛诺,禧玛诺集团创立于1921年，总公司设立在日本大阪府。经历80余年的发展，其子公司遍布全球17个国家，成为一家以专业制造和销售自行车零件、钓鱼具、滑雪板和高尔夫用品的跨国集团公司。创始人：ShozaburoShimano（岛野庄三郎）。禧玛诺之所以在世界各地拥有如此广泛的爱好者及声望，主要是源于其指导自行车零部件生产的功能系统设计思想。禧玛诺打破了以往静态的、以单独零件为核心进行设计的思想，大胆采用了以功能零件为目的、以自行车系统的综合机能为纲的动态式设计方式，树立了其独树一帜的功能系统设计思想，创造了众多的革命性产品。不断推进着自行车的改革与进化。禧玛诺集团创立于1921年，总公司设立在日本大阪府。
牧马人,牧马人,牧马人是克莱斯勒Jeep汽车型号，牧马人是克莱斯勒Jeep牧马人系列的顶极版本。牧马人是吉普系列中最为强悍的品种真正意义上的ORV越野车。
狼王,凯文·加内特,凯文·加内特（KevinGarnett），1976年5月19日出生在美国南卡罗来纳，前美国职业篮球运动员，司职大前锋/中锋，绰号狼王（森林狼时期）、KG（名字缩写）、TheBIGTICKET、DaKid。1995年NBA选秀，凯文·加内特首轮第五顺位被明尼苏达森林狼队选中，2003-04赛季获得常规赛MVP。2007年夏季转会至波士顿凯尔特人，和雷·阿伦和保罗·皮尔斯一起形成了“凯尔特人三巨头”，2008年的总决赛中击败湖人队，获得NBA总冠军。2013年，加内特被交易至布鲁克林篮网队。2015年重回明尼苏达森林狼队。2016年9月24日，凯文·加内特在Instagram上发布视频宣布退役。 凯文·加内特场上技术极为全面，传球出众、防守极具威慑力，曾四次获得NBA篮板王，是历史上最伟大的大前锋之一。
中逵,中逵,中逵（zhōngkuí），是中国汉语词语，指道路交错之处；九通路口，亦指大路，还有中途的意思。
TAB,Tab,键盘上的Tab键位于大小写键（CapsLock）的上面，Tab键是tabulatorkey的缩写，其含义是“作表的人，制表机，（打字机上为制表用的）跳格键”。它最基本的用法就是用来绘制无边框的表格。单词之间的间隔都是按下一次Tab键来实现的。它一般等于8个空格的长度，当它的前面有单词的时候，和单词长度加起来刚好能被8整除，如下图中最后一行
迪佳,迪佳,迪佳早期以达金为名在台湾成立，TICA是达金公司的识别标志由四个英文字母组合各代表一个经营理念的英文单词字首。
北溟鱼,北溟鱼,北溟鱼，典故名，典出《庄子集释》卷一上〈内篇·逍遥游〉。“北冥有鱼，其名为鲲。鲲之大，不知其几千里也。化而为鸟，其名为鹏。鹏之背，不知其几千里也。……鹏之徙于南冥也，水击三千，抟扶摇而上者九万里，去以六月息者也。”后遂以“北溟鱼”等比喻指志向或前程远大。
一味,一味,一味意为盲目，不顾客观条件，或单纯地，隐含贬义的意思；也可意为一种滋味、全部滋味、整个味道、一种食物或是一味菜肴等。也是一种佛教用语，同时也称药方上每一种药为一味。
老鬼,老鬼,
大红狗,大红狗,《大红狗》是2004年上映的一部动画片，由RobertC.Ramirez导演，NormanBridwell编剧。
金龙,金龙,金龙是金龙联合汽车工业（苏州）有限公司的品牌，该公司成立于1998年底，人们简称“苏州金龙”。14年来，苏州金龙艰辛探索，拼搏成长，建成80万平方米的现代化客车制造基地，年销售额突破85亿元，海格客车驰骋全球82个国家和地区，以年均50%的增速迅猛崛起，迅速发展。2011年海格客车销量23388台，销售额85.5亿元。海格客车荣获“中国名牌”，“国家出口免验产品”等称号，以102.38亿元的品牌价值跻身“中国500最具价值品牌”榜，成为中国客车行业发展最快的企业、国家汽车整车出口基地企业、中国企业信息化100强。
云上飘,云上飘,云上飘是一款应用软件，大小为1581KB。
刀客,刀客,刀客：以刀为武器的江湖勇士，在刀法上有所成就并多用此行侠仗义的武人方能当得起“刀客”中的“客”字，称为“刀客”。用剑的侠士称之为剑客，拿刀的侠士自然可以称之为刀客了。剑是礼器，代表正直、仁义等。比如尚方宝剑就是很好的例子。刀不同，刀为凶器。称之为百兵之胆。用刀者舞起刀来，刀风呼呼，寒光逼人，只闻刀风，不见人影，勇猛威武，雄健有力。所以刀客还代表勇者。
海龙王,龙王,龙王是中国古代神话传说中在水里统领水族的王，掌管兴云降雨，属于四灵之一。传说龙能行云布雨、消灾降福，象征祥瑞，所以以舞龙的方式来祈求平安和丰收就成为全国民间各地的一种习俗。道教《太上洞渊神咒经》中有“龙王品”，列有以方位为区分的“五帝龙王”，以海洋为区分的“四海龙王”，以天地万物为区分的54名龙王名字和62名神龙王名字。
