欧姆龙,欧姆龙集团,欧姆龙集团从1933年5月10日创业至今，通过不断创造新的社会需求，已经发展成为全球知名的自动化控制及电子设备制造厂商，掌握着世界领先的传感与控制核心技术。
OMRON,欧姆龙集团,欧姆龙集团从1933年5月10日创业至今，通过不断创造新的社会需求，已经发展成为全球知名的自动化控制及电子设备制造厂商，掌握着世界领先的传感与控制核心技术。
鱼跃,鱼跃,守门员的一种难度较高的接球技术。以与球同侧的一脚用力蹬地，异侧腿屈膝提摆，使身体跃出接球。接球后落地时，双手按球，用前臂的侧面先着地，团身护球。因是腾身侧面跃出，增大了接球的范围，故能接住用其他动作难以接到的球。守门员在鱼跃扑球时，一只手在球后，一只手在球上，触球后应迅速抱入怀中。为保护自己，应蜷曲头部和腿部。如果守门员鱼跃扑球时，对手采取挑射，应伸臂拦球以形成最大的防守屏障。应伸脚挡球将减小防守面积。
飞利浦,飞利浦,飞利浦，1891年成立于荷兰，主要生产照明、家庭电器、医疗系统方面的产品。飞利浦公司，2007年全球员工已达128100人，在全球28个国家有生产基地，在150个国家设有销售机构，拥有8万项专利，实力超群。2011年7月11日，飞利浦宣布收购奔腾电器（上海）有限公司，金额约25亿元。2011年10月17日，飞利浦电子发布了第三季度财报，第三季度净利润同比下滑85.9%；同时宣布，飞利浦将在全球范围内裁员4500人。2013年1月底，飞利浦消费电子业务已全部剥离，将聚焦优质生活，医疗和照明设备行业。北京时间2014年12月17日，飞利浦宣布，将以12亿美元收购美国医疗设备制造商Volcano公司。
PHILIPS,飞利浦,飞利浦，1891年成立于荷兰，主要生产照明、家庭电器、医疗系统方面的产品。飞利浦公司，2007年全球员工已达128100人，在全球28个国家有生产基地，在150个国家设有销售机构，拥有8万项专利，实力超群。2011年7月11日，飞利浦宣布收购奔腾电器（上海）有限公司，金额约25亿元。2011年10月17日，飞利浦电子发布了第三季度财报，第三季度净利润同比下滑85.9%；同时宣布，飞利浦将在全球范围内裁员4500人。2013年1月底，飞利浦消费电子业务已全部剥离，将聚焦优质生活，医疗和照明设备行业。北京时间2014年12月17日，飞利浦宣布，将以12亿美元收购美国医疗设备制造商Volcano公司。
可孚,可孚,可孚 ，湖南可孚医疗科技发展有限公司 于2010年11月15日 注册申请的商标品牌，主要商品服务列表有血压计、医疗器械和仪器、医用体温计、理疗设备、医用气垫、疝气带、助听器、避孕套、绷带(松紧)、拐杖。 
西门子,西门子股份公司,德国西门子股份公司创立于1847年，是全球电子电气工程领域的领先企业。西门子自1872年进入中国，140余年来以创新的技术、卓越的解决方案和产品坚持不懈地对中国的发展提供全面支持，并以出众的品质和令人信赖的可靠性、领先的技术成就、不懈的创新追求，确立了在中国市场的领先地位。2015年（2014年10月1日至2015年9月30日），西门子在中国的总营业收入达到69.4亿欧元，拥有超过32000名员工。西门子已经发展成为中国社会和经济不可分割的一部分，并竭诚与中国携手合作，共同致力于实现可持续发展。 2014年9月，西门子股份公司和博世集团达成协议：罗伯特·博世公司将收购西门子所持有的合资企业博世和西门子家用电器集团（简称博西家电）50%的股份，交易完成后博西家电将成为博世集团的全资子公司，西门子彻底退出家电领域。出售家电业务正是西门子专注于电气化、自动化和数字化战略的体现之一。 2017年6月6日，《2017年BrandZ最具价值全球品牌100强》公布，西门子名列第77位。 
三诺,三诺,深圳市三诺电子有限公司成立于1996年。是经深圳市认定的高新技术企业和文明单位。
罗氏,罗姓,罗（繁体字：羅）：源自于史书称为“祝融八姓”的后裔。祝融的后裔分为八姓，即己、董、彭、秃、妘、曹、斟、芈等，到了周朝的时候，有子孙被封在宜城（今湖北省宜城县），称为罗国（又称罗子国）。公元前690年，罗国被楚国所灭，于原地另置鄢国。祝融氏的子孙逐渐南移，最初迁居枝江（今湖北省南部，长江沿岸的枝江县），至周末又南迁至湖南汩罗地区，遂以国名“罗”为氏。
ROCHE,Roche,罗氏始创于1896年，在制药和诊断领域是世界领先的以研发为基础，以创新为驱动的健康医疗公司之一。
