H,氢,氢是一种化学元素，在元素周期表中位于第一位。氢通常的单质形态是氢气。它是无色无味无臭，极易燃烧的由双原子分子组成的气体，氢气是最轻的气体。医学上用氢气来治疗疾病。 氢气的爆炸极限：4.0~74.2%（氢气的体积占混合气总体积比）。
M,摩尔质量,单位物质的量的物质所具有的质量称摩尔质量（molarmass），用符号M表示。当物质的量以mol为单位时，摩尔质量的单位为g/mol，在数上等于该物质的原子质量或分子质量。对于某一化合物来说，它的摩尔质量是固定不变的。而物质的质量则随着物质的量不同而发生变化。
X,X-Japan,X-Japan是日本著名的重金属乐队，成立于1982年1月，1989年成为日本最红的乐队，以独立厂牌的出身获得主流音乐的认同和辉煌。1997年4月因主唱TOSHI以音乐取向不同而退出，在无法找到后继主音的情况下，9月22日乐队被迫宣布解散，次年由于吉他手hide的意外离世，乐队的复活更捉摸不定。2007年，乐队的再结成被Yoshiki提了出来。2007年至2009年乐队在亚洲开展了巡演，并于2010年9月至10月进行了首次北美巡演、2011年世界巡演首次设大陆站，人气不减当年。
K,k,《K》是由日本GoHands公司企划制作的原创电视动画作品，于2012年10月4日放送，共13话。 故事以架空世界的日本为背景，讲述了七个“王”之间的争执与异能者的战斗传奇。在电视动画最终话（2012年12月27日播出）上，官方发表了《K》续篇制作决定，并在见面会“K-Whoisthenext-”上确认续篇为剧场版动画《KMISSINGKINGS》。剧场版于2014年7月12日在日本公开上映。 在2014年10月18日于横滨国际平和会议场举办的“K-Inthisplaceagain-”现场活动上，发布了《K》动画二期的制作消息，新作《KRETURNOFKINGS》于2015年10月份开始播出。 
R,卢卡尔·伯恩斯坦,卢卡尔·伯恩斯坦（ルガール・バーンシュタイン，RugalBernstein）、也有翻译为怒加·班舒泰恩（RugāruBānshutain）。他是SNK（现SNKP）旗下格斗型对战游戏《TheKingOfKighters》中登场的虚构人物，通常作为BOSS出场，部分作品中可操作。卢卡尔最初是基于【最强最凶悍的Boss】这个概念创造的角色。他的战斗风格偏向力量型，作为KOF系列第一作的BOSS（94）首次登场。他的苗字（姓）是英语和德语混合发音而来的。英语统一为【バーンスタイン】，舞台发音为【ベルンシュタイン】。
Z,泽法,泽法，日本漫画《海贼王》及其衍生作品中的角色，“NEO海军”总帅，原世界政府最高战力海军本部大将，因强大的武装色霸气，被称为“黑腕”泽法，一生当中讨伐无数海贼，却从没杀死过任何一个敌人，被称之为“不杀”的海军本部前任大将。
T,t,Tt是拉丁字母中的第20个字母。今日的字母T系由腓尼基语的象形字母变化而来。早先的字形恰似如今的字母X，叫做taw，意为“记号”（mark）。Taw是西方闪族语字母表和希伯来字母中的最后一个字母。闪族语中的Taw的音值、希腊字母。.（Tau）以及伊特鲁里亚字母和拉丁字母的T都曾发作/t/。在北约音标字母中使用Tango来表示字母T。
A,安培,安培（ampere）是国际单位制中表示电流的基本单位，简称安。符号A。为纪念法国物理学家A.安培而命名，他在1820年提出了著名的安培定律。1908年在伦敦举行的国际电学大会上，定义1秒时间间隔内从硝酸银溶液中能电解出1.11800.02毫克银的恒定电流为1安培，又称国际安培。1946年，国际计量委员会（CIPM）提出定义为：在真空中，截面积可忽略的两根相距1米的平行而无限长的圆直导线内，通以等量恒定电流，导线间相互作用力在1米长度上为2×10－7牛时，则每根导线中的电流为1安培，又称绝对安培。该定义经1948年第9届国际计量大会（CGPM）通过沿用至今 。
S,s,s是中文拼音中的声母。s是拉丁字母中的第19个字母。s被广泛运用于各个领域，其代表含义均不相同。例如：在物理学中，S的意思为秒，它是计时单位；在化学中，表示硫（sulfur）的化学符号；在计算机中，是一种统计编程语言；在S.H.E中为Selina；在好莱坞电影《超人》里面则是s美国英雄Superman的标志。
B,磁感应强度,磁感应强度描述磁场强弱和方向的物理量，是矢量，常用符号B表示，国际通用单位为特斯拉（符号为T）。磁感应强度也被称为磁通量密度或磁通密度。在物理学中磁场的强弱使用磁感应强度来表示，磁感应强度越大表示磁感应越强。磁感应强度越小，表示磁感应越弱 。
Y,Y,钇（Y）是一种金属元素。它是稀土金属元素之一，灰色金属。密度4.4689克/立方厘米，熔点1522℃，沸点3338℃，化合价+3。第一电离能6.38电子伏特。与热水能起反应，易溶于稀酸。 在生物学中，Y为染色体即为人的基因。
