稻草人,巴兹尔·霍金斯,巴兹尔·霍金斯，日本漫画《海贼王》中的角色，霍金斯海贼团船长，北海出生，“大事件”发生前登陆香波地群岛的“海贼界十一位超新星”之一──他当时的悬赏金在十一人中排名第3位。悬赏金2亿4900万贝里，两年后为3亿2000万贝里。恶魔果实能力者，决定自己的行动前会进行占卜，能通过身上的“诅咒”草人来转移伤害，还能自己化身成为草人，手持五寸长钉来攻击对手。
MEXICAN,Mexican,Mexican指北美国家的一个民族，墨西哥人。Mexican，或在西班牙语中称为Mexicanos，在墨西哥中部墨西哥山谷中一个古老的土著人种，当今被称为阿兹特克帝国的统治者。Mexican也指的是纳瓦特尔语，或Mexicyasmin语言也是墨西哥语之一。Mexican也指一种骰子游戏。
ELLE,ELLE,ELLE法语翻译成中文名字是“她”的意思，1945年，由HeleneLazareff在法国巴黎创立，面世后广受好评。ELLE已融入到女性生活的方方面面。以时尚导向，是女性化的、现代的、积极向上、亲切的、潮流而又充满生活气息。品牌形象：现代、朝气、优雅、活力。
金狐狸,金狐狸,金狐狸FOXER品牌文化深厚，源远流长，源于17世纪北欧地带生活的一种珍奇动物“狐狸犬”。18世纪末，“狐狸犬”濒临灭绝，意大利人为了纪念这种可爱的小动物，突发奇想，用象牙手镯装饰狐狸犬，当做饰品以供人们观赏，为凸显其尊贵，特取了一个响亮动听的名字“金狐狸”。随后，金狐狸饰品店风靡一时，进驻普通百姓的家庭。19世纪初，皮匠世界威廉姆斯·彼得无意间邂逅金狐狸饰品店，潜心钻研金狐狸饰品的设计理念与制作工艺，并萌发了把“金狐狸”注册品牌商标，进军皮具行业的念头。随后，酝酿已久的意大利狐狸集团有限公司正式成立，并成功注册意大利“金狐狸FOXER”品牌商标，主营男女箱包、皮带、票夹等系列皮具产品，标志着“金狐狸FOXER”这一国际品牌正式诞生。2011年，意大利狐狸集团有限公司正式授权广州泽楷皮具有限公司为其在中国地区唯一合法代理，并将“金狐狸FOXER”品牌商标成功转让，授权生产与销售“金狐狸FOXER”及品牌LOGO在内的系列皮具品牌。
梦特娇,梦特娇,创立于1880年的法国巴黎梦特娇公司是一家拥有上百亿美元资产的企业，并在过去的几年里在全球、特别是亚洲和中国市场得到了长足的发展。梦特娇”在中国的实际运作公司名为梦特娇远东有限公司，而号称法国出身、全球销售的梦特娇，其所谓法国、中国台湾地区的官网仅是文字翻译的不同，最终点击均是导向其中文官网，梦特娇只有一个“洋”名字。 
MONTAGUT,梦特娇,创立于1880年的法国巴黎梦特娇公司是一家拥有上百亿美元资产的企业，并在过去的几年里在全球、特别是亚洲和中国市场得到了长足的发展。梦特娇”在中国的实际运作公司名为梦特娇远东有限公司，而号称法国出身、全球销售的梦特娇，其所谓法国、中国台湾地区的官网仅是文字翻译的不同，最终点击均是导向其中文官网，梦特娇只有一个“洋”名字。 
红谷,红谷,广州红谷皮具有限公司创始于2002年，是一家集研发、设计、生产、销售、品牌运营为一体的专业化皮具公司。
菲安妮,FION,八十年代早期，FION开始进入日本市场，并在这个注重品牌品质与时尚潮流的市场大受欢迎，产品的质量和设计风格再次获得了认同。从此，FION的产品设计在保留了欧洲高贵奢华的设计元素之外，同时融入了东方女性喜爱的元素，创造了东西方结合的独特设计风格。产品原料也由单一的欧洲引进，转变为以欧洲日本为主，确保了原材料的丰富性。之后，FION陆续进入澳门、台湾、新加坡、马来西亚及印度尼西亚等地区。进入九十年代，FION开始进军中国内地市场，多年的产品设计积淀使得FION在中国的时尚土壤上有着独天得厚的优势，爱美女性的青睐使得FION在中国内地迅速发展壮大。今天FION的足迹已经遍布国际，在世界各地有近乎400个销售网点出售。 
FION,FION,八十年代早期，FION开始进入日本市场，并在这个注重品牌品质与时尚潮流的市场大受欢迎，产品的质量和设计风格再次获得了认同。从此，FION的产品设计在保留了欧洲高贵奢华的设计元素之外，同时融入了东方女性喜爱的元素，创造了东西方结合的独特设计风格。产品原料也由单一的欧洲引进，转变为以欧洲日本为主，确保了原材料的丰富性。之后，FION陆续进入澳门、台湾、新加坡、马来西亚及印度尼西亚等地区。进入九十年代，FION开始进军中国内地市场，多年的产品设计积淀使得FION在中国的时尚土壤上有着独天得厚的优势，爱美女性的青睐使得FION在中国内地迅速发展壮大。今天FION的足迹已经遍布国际，在世界各地有近乎400个销售网点出售。 
皮尔卡丹,皮尔·卡丹,皮尔·卡丹（PierreCardin），1922年7月2日出生于意大利水城威尼斯近郊，是一位知名的服装设计师。1922年，皮尔·卡丹先生出生于意大利水城威尼斯。1945年皮尔·卡丹23岁时，他在巴黎参加电影美女与野兽的服装设计，作品颇受好评，此后，他的设计才华逐渐受到欣赏。1950年自己独立开设了服装设计公司，地点选在巴黎的Richepanse街上。
pierre cardin,皮尔·卡丹,皮尔·卡丹（PierreCardin），1922年7月2日出生于意大利水城威尼斯近郊，是一位知名的服装设计师。1922年，皮尔·卡丹先生出生于意大利水城威尼斯。1945年皮尔·卡丹23岁时，他在巴黎参加电影美女与野兽的服装设计，作品颇受好评，此后，他的设计才华逐渐受到欣赏。1950年自己独立开设了服装设计公司，地点选在巴黎的Richepanse街上。
老人头,老人头,老人头，鞋业品牌，隶属于老人头亚太控股有限公司，法人代表：叶周松。公司是一家专业从事“老人头”牌中高档皮鞋制造与销售的企业。同时老人头也是广州老人头皮具有限公司旗下的一品牌，是集皮料开发、产品研发、图案设计、生产、销售为一体的现代化皮具经营公司。
莱夫,莱夫,1906年，外文名：LeifLarsen，国籍：挪威。民族：日耳曼族莱夫·拉森是挪威抵抗运动领导人。第二次世界大战期间，领导莱夫·拉森人民参加对德作战，曾袭击罗弗敦群岛和瓦格索等，取得胜利。
欧时纳,欧时纳,
JUST STAR,JUST STAR,
