普拉托,普拉托,（Prato ），意大利中北部城市。位于托斯卡纳大区，亚平宁山脉西北麓，临比森齐奥河，东南距佛罗伦萨16公里。人口18万（2006年）。重要的毛纺织中心，还有水泥、纺织机械与化学等工业。本地华人移民众多的原因是，普拉托属于意大利重要的纺织基地之一，纺织业的发达促成了，上世纪80年代新华人移民到来，特别是以开立个体成衣工厂居多的华人的聚集。
六小灵童,六小灵童,
羚滋,羚滋,“羚滋”牌系列羊奶粉采用关山牧场优质鲜莎能羊奶粉为原料，严格按照国家标准生产，率先提出了“五优营养、健康成长”的科学营养及配方理念，同时采用创新技术，去除羊奶膻味，营养更全面，不过敏，不上火，更易吸收。
萌宝,萌宝,萌宝是一款育儿软件，你可以在这里方便的记录宝宝的每一个瞬间，每天都写下一篇宝宝专属的日记，陪伴宝宝快乐的成长。或者在这里了解宝宝成长的相关信息、掌上购物、学习知识等等。
relief,relief,relief，名词n.1.(痛苦负担等的)缓和减轻;解除，2.轻松宽心慰藉，3.救济;补助;解救，4.救济物品救济金。
可诺贝儿,可诺贝儿,澳洲可诺贝儿国际营养品有限公司是一家集产品开发、研制、销售于一体的国际乳品企业。
Overture,overture,Overture是由Cakewalk公司出品（后被Geniesoft收购）的一款打谱软件。
Intime,INtime,INtime实时操作系统与Windows的完美结合。
Michael Kelly,Michael Kelly,MichaelKelly，男，2010《快乐男声》大洋洲唱区参赛选手，是一名澳大利亚选手。
森宝,森宝,森宝 （SENBAO)格林沃尔旗下品牌，在格林沃尔以年轻的形象延续着摘取世界植物型化妆品皇冠的使命，延续着传播东方的使命。格林沃尔创建第二大宝——“森宝”。 
纳豆,纳豆,纳豆 ，起源于中国古代 ，自秦汉（公元前221年-公元220年）以来开始制作，由黄豆通过纳豆菌（枯草杆菌）发酵制成豆制品，具有黏性，气味较臭，味道微甜，不仅保有黄豆的营养价值、富含维生素K2、提高蛋白质的消化吸收率，更重要的是发酵过程产生了多种生理活性物质，具有溶解体内纤维蛋白及其他调节生理机能的保健作用。 富含多种营养素，常吃可以预防便秘、腹泻等肠道疾病，提高骨密度，预防骨质疏松，还可以双向调节血压，溶解陈旧血栓斑块，调节血脂，能消除疲劳，综合提高人体免疫力。 
WINTER,Winter,Winter，冬的英语翻译。一年当中最寒冷的季节，其他的为春、夏、秋。
FIT,本田飞度,飞度为广汽本田推出的一款两厢轿车，第三代飞度于2014年5月29日上市，定位于“劲酷两厢车”的第三代，针对追求个性的“90后”新生代群体，内部宽敞。2016年8月11日2016款飞度酷玩上市新增了两个天窗版本。 2018年1月11日广汽本田新飞度潮跑系列上市，保持既有的核心产品价值——以“ExcitingHDesign”整体设计理念、“地球梦科技”引擎（1.5L直喷DOHCi-VTEC发动机及全新CVT无级变速器）、Idle-stop发动机节能自动启停系统等十大革新科技。 
nishiki,NISHIKI,NISHIKI，旗下的品牌，注册于2013年，是一个品牌
今治,今治,日本。属爱媛县。临濑户内海，炮滩西部门户。（1986）。1920年设市。工业以棉织品为主，产毛巾有名。还有运输机械工业。东予新产业城市之一。
同仁堂,同仁堂,北京同仁堂 是全国中药行业著名的老字号。创建于1669年（清康熙八年），自1723年开始供奉御药，历经八代皇帝188年。在300多年的风雨历程中，历代同仁堂人始终恪守“炮制虽繁必不敢省人工，品味虽贵必不敢减物力”的古训，树立“修合无人见，存心有天知”的自律意识，造就了制药过程中兢兢小心、精益求精的严细精神，其产品以“配方独特、选料上乘、工艺精湛、疗效显著”而享誉海内外，产品行销40多个国家和地区。 
abid,Abid,Abid阿尔及利亚籍运动员。
CARE,care,名词n.看护；保护
好搭档,好搭档,影片的原创剧本是2003年韩国影视振兴委员会主办的剧本创作比赛的入选作品，相当被看好。为了将这个广受好评的剧本搬上大银幕，制片方特别找来了一批颇具实力的幕后阵容，由一手创作此剧本的宋昌修执导，保持了故事的完整性和连续性。
神马,神圣罗马帝国,神圣罗马帝国，全称：德意志民族神圣罗马帝国或日耳曼民族神圣罗马帝国（德语：HeiligesRömischesReichdeutscherNation；拉丁语：SacrumRomanorumImperiumnationisGermanicae），是962年至1806年地跨西欧和中欧的封建君主制帝国，版图以日耳曼尼亚为核心，包括一些周边地区，在巅峰时期包括了意大利北部（原属中法兰克王国）和勃艮第还有弗里西亚（今低地国家）。 962年德意志（前身是东法兰克王国）国王奥托一世在罗马被教皇加冕为罗马皇帝。后腓特烈一世改国名为神圣罗马帝国。在帝国历史的大部分时间，其由数百个更小的附属单位组成，其中有侯国、公国、郡县、自由城市。早期是皇帝拥有实际权力的封建帝国，14世纪时演变成承认皇帝为最高权威的邦联。选帝侯是德意志民族神圣罗马帝国诸侯中有权选举德意志神圣罗马皇帝的诸侯。选帝制度从13世纪中实行，一直到1806年帝国灭亡为止。初期有七个选帝侯，分别是三个教会选帝侯：美茵茨大主教，科隆大主教，特里尔大主教，和四个世俗选帝侯：萨克森选侯，勃兰登堡藩侯，普法尔茨选侯（或称莱茵行宫伯爵），以及波希米亚国王（后期由奥地利哈布斯堡-洛林皇朝皇帝兼任） 。1806年拿破仑勒令弗朗茨二世于8月6日放弃神圣罗马皇帝尊号，仅保留奥地利帝国皇帝称号，神圣罗马帝国灭亡。 德国人将神圣罗马帝国定义为“德意志第一帝国”；和后来的德意志第二帝国（1871年成立）与德意志第三帝国（1933年成立的纳粹德国）加以连论。
巴巴罗莎,巴巴罗莎,巴巴罗莎 ，是东方万佳国际贸易（北京）有限公司 旗下化妆品 品牌，于2015年 正式创立。“巴巴罗莎”是中国万佳国际集团与法国BBROS公司合创品牌，由万佳集团旗下公司北京新润科技股份有限公司在中国市场运营及销售。产品涵盖精油、美妆工具及其他时尚产品。
