Warrior,Warrior,Warrior是一个英文单词，意思是战士，勇士；鼓吹战争的人。
惠达,惠达,惠达卫浴股份有限公司（股票简称：惠达卫浴，代码：603385）始创于1982年。于2017年4月5日上午在上海证券交易所成功上市，成为综合卫浴首家A股主板上市企业。惠达卫浴实施全球化运营战略，构建了完善的销售和服务体系。为全球消费者提供一站式综合卫浴解决方案。惠达卫浴股份有限公司始建于1982年，是中国规模最大，历史最悠久的卫浴家居用品企业之一，中国卫浴的龙头企业。目前，惠达集团拥有总资产13亿元，职工10000余人，17条天然气隧道窑生产线，年产“惠达”牌卫生陶瓷900多万件，产品已形成系列中高档200多个品种，并逐步形成了卫生陶瓷、墙地砖、塑料配件、压克力浴缸、五金配件等多元化、系列化、多品种、全配套生产经营的全国大型卫浴企业集团。惠达是全国建筑卫生陶瓷行业首家获得“中国驰名商标”、“中国名牌”、“国家免检产品”三项国家鼎级称号的企业。惠达集团自1995年以来连续多年在全国同行业保持生产规模、经济效益、出口创汇等多项指标第一。
等花开,等花开,《等花开》是由李力编剧的剧情片，由井柏然、郑爽主演。《等花开》讲述了村里有位乡村教师名叫等开花。新学期，之前仅有的两名学生随父母进城打工了。患有自闭症的端端成为了等花开的新学生，因为他的病，端端父亲进城打工一去不复返。端端妈能让他上学吗？他来上学等花开能教好他的故事。
AIYI,aiyi,“Aiyi”是由香港艾薏贵族服饰有限公司创立的女装品牌，其中文名是“艾薏”，在香港和中国大陆均有注册商标。2008年公司在中国大陆成立国内营运中心——河源市艾薏贵族服饰有限公司，并全权由其拓展运营国内市场，公司凭着丰富的管理经验以及优质的服装产品，迅速在广东珠三角地区开设多间专卖店，并广受消费者热捧。
APS,APS,广汉爱普斯石油技术有限公司是一家中外合资经营企业，其英文名为“GuanghanAPSTechnologyLtd.”，位于广汉市经济开发区深圳路东一段，于2010年8月16日在德阳市工商行政管理局进行登记注册，公司行政办公楼位于广汉市福州路三段五号APS中国公司厂区内，维修中心车间位于广汉市广东路东二段井控公司厂区内。
Overture,overture,Overture是由Cakewalk公司出品（后被Geniesoft收购）的一款打谱软件。
无器,无器,无器是厦门一善禅文化传播有限公司旗下茶具品牌
Barbosa,Barbosa,
图恩,图恩,图恩瑞士西部城市。在伯尔尼东南、阿勒河出图恩湖处。人口3.6万（1980）。建于十二世纪。有陶瓷、手表、金属加工等工业。游览地。伯尔尼阿尔卑斯山的登山起点。有建于十二世纪的古堡，现为博物馆。
恒瑞,恒瑞,恒瑞（？—1801），爱新觉罗氏，满洲正白旗人，吉林将军萨喇善子，清朝将领。乾隆中，授侍卫，赴西藏办事，擢热河都统，迁福州将军。五十二年，台湾林爽文作乱，命率驻防兵往剿，参赞军务，偕总督常青赴南路。凤山贼势方炽，高宗知常青、恒瑞不可恃，命福康安督师。贼围总兵柴大纪於诸罗，恒瑞驻军盐水港，逗留不进，诏解任。福康安至，屡为疏陈战绩，帝益怒，斥其徇护，逮恒瑞论罪。事平，减死戍伊犁。寻予副都统衔，充伊犁参赞大臣。历定边左副将军、绥远城将军，调西安。
木府,木府,木府（英语：MuFuMansion）是丽江木氏土司衙门的俗称，位于丽江古城狮子山下，是丽江古城文化之“大观园”。整个建筑群坐西向东，是一座辉煌的建筑艺术之苑。纳西族人原来没有汉族的姓氏，朱元璋建立明王朝后，远在滇西北丽江纳西族土司阿甲阿得审时度势，于公元1382年“率从归顺”，举人臣之礼，此举大获朱元璋赏识，朱将自己的姓去掉一撇和一横，钦赐其“木”姓，从此纳西传统的父子连名制得以改成汉姓名字。“北有故宫，南有木府”，木府是一座辉煌的建筑艺术之苑，它充分反映了明代中原建筑的风采气质，同时保留了唐宋中原建筑古朴粗犷的流风余韵，而其座西朝东，府内玉沟纵横，活水长流的布局，则又见纳西族传统文化之精神。丽江旅游有一句话：“不到木府，等于不到丽江”。
Minimalism,Minimalism,可以是一种艺术流派（此时译作极少主义或最简单派）；可以指一种生活方式或时装风格（此时更多地译作简约主义）；也可以是一种带有Minimalism的曲子有着重复性的旋律。
DuranRyan,DuranRyan,DuranRyan是一家世界上著名度极高的龙头品牌，也是德国久负盛名的厨房水龙头生产商和制造商。DuranRyan产品外观以艺术设计见长，致力于追求产品与空间的协调一致，使用者人产品的和谐统一，是德国高端洁具巨头，呈现奢华典雅的浴室空间文化。其中厨房龙头，更与世界最负盛名的德国当代并驾齐驱，与欧洲90%的橱柜生产商保持着紧密的合作。多年来，德国DuranRyan对产品技术，设计，制造领域里的创新和发明得到了行业内的广泛的肯定和称赞，一共获得有关产品质量产品设计环保等各类奖项累计超过70个。
德尔玛,德尔玛,德尔玛（DEERMA）是一家由德国FLYINGFISH设计公司与珠三角多家实力型企业在上世纪90年代共同创建的生产型电器企业。
瓦克,瓦克,德国瓦克国际集团有限公司公司成立于1993年，总部位于中国香港，是国内最早从事是集铝合金型材研发、生产与销售等为一体的综合性大型跨国企业，根据波士顿咨询公司之相关统计，公司是目前全球第二大、亚洲及中国最大的民用铝型材研发制造商。
nishiki,NISHIKI,NISHIKI，旗下的品牌，注册于2013年，是一个品牌
西桥,西桥,西桥，又名旧西桥、西安桥。位于厦门市同安区大同街道。西桥始建于宋元佑年间，桥梁长132米，宽13米。该桥也是连接新老城区的主要交通枢纽，且串联起新老城区的商业圈，桥面常超负荷运行。经过桥梁检测机构检测，建议对该桥进行加固维修，同安区建设局于是启动了对该桥的加固维修工作，本月10日，该工程已完成竣工验收工作。
松柏,松柏,常绿乔木，喜温抗寒，对土壤酸碱度适应性强，广泛分布于我国华北南部及华东地区，亦常用作园林作观赏树种。中国人民自古以来就对松树怀有一种特殊的感情，常用松柏象征坚强不屈的品格，并把松、竹、梅誉为“岁寒三友”。松科是裸子植物中最大的一科，有10属，230种，主产北半球。我国有10属113种，分布遍全国，绝大多数为森林树种和用材树种，在东北、华北、西北、西南及华南地区高山地带组成大片森林，有些种类可供采脂、提炼松节油等多种化学原料，有的种类种子可食或供药用，有些可作园林绿化树种。
