天堂伞,天堂伞,天堂伞 是由杭州天堂伞业集团生产的国内名牌伞。包括雨伞，太阳伞等多个品种。天堂伞素以轻、新、牢、美而著称。天堂伞产品质量和技术工艺在全国制伞行业中处于领先地位，在国内外市场享有很高的声誉。
bananaumbrella,BananaUmbrella,BananaUmbrella（蕉下）由香港减字控股集团创建于2012年的专业防晒伞品牌，由于工艺的复杂和对产品品质的追求，蕉下（BananaUmbrella）的产品使用纯手工缝制。
绿之源,绿之源,“绿之源”是专业从事家电清洗和家政保洁的连锁项目，其隶属于山东蓝伞国际科技开发有限公司，公司在全国首创上门清洗饮水机、油烟机服务，并研发了具有全国领先的清洗设备，该设备采用了先进的制造工艺，利用物理原理对饮水机、油烟机进行全方位一体化的清洗，解决了用传统方法清洗饮水机、油烟机不彻底、有残留、污垢易累积等不健康因素。
网易严选,网易严选,网易严选，网易旗下原创生活类自营电商品牌，于2016年4月正式面世，是国内首家ODM（原始设计制造商）模式的电商，以“好的生活，没那么贵”为品牌理念。严选通过ODM模式与大牌制造商直连，剔除品牌溢价和中间环节，为国人甄选高品质、高性价比的天下优品。 
绿驰,绿驰,“绿驰”是广州素沛日用品有限公司（简称“素沛净业”）的旗下品牌，素沛净业是一家专业从事室内空气污染治理及汽车后服务的健康日用品企业。公司秉承着“向上、向善、感恩”为核心价值观，与员工、合作商共享成果，积极回馈社会。公司集研发、生产、销售、服务于一体，以提供专业的室内环保及汽车后解决方案为使命，不断创新为消费者改善呼吸健康与车后所需要的一切服务，努力成为行业最专业的品牌提供商及零售商，引领行业发展。素沛净业拥有两个自主品牌“绿驰”和“车后”。
LEC,LEC,LEC是LEGALENGLISHCERTIFICATE的简称，意为法律英语证书。法律英语证书由全国统一考试委员会依托中国政法大学和北京外国语大学具体组织考试工作，旨在为从事涉外业务的企业、律师事务所提供招募国际性人才的客观标准，同时督促国内法律从业人员提高专业英语水平。
访客,访客,访客visitor与独立访客（uniquevisitor）是同义词，是一个网站评测术语，指的是在一段时间内，一个人对某个站点至少访问一次。如果同样的人在一个月内上了一个站点三次，评测系统会记录三次访问，但只有一个访客。
FK,fk,fk英文缩写，有八种含义。第一种指的是：外键（ForeignKey）；第二种指的是：FK动画；第三种指的是：福克兰群岛（FalklandIslands）的国家域名属于海外域名;第四种指的是：流体动力学（FluidKinetics）;第五种指的是：生化试剂【弗司扣林】（forskolin）;第六种指的是：滤泡角化细胞（follicularkeratinocytes）;第七种指的是：疯狂小人大乱斗类型的格斗类小游戏第八种指的是：格斗之王的fightking
宝优妮,宝优妮,
云蕾,云蕾,云蕾，梁羽生武侠小说《萍踪侠影录》女主角，云靖孙女，云澄之女。云蕾十六、七岁的年纪初初出道时就创下了「散花女侠」的美誉。蝴蝶谷的桃花林中，头上两个丫角微微晃动的天真少女，穿花绕树，白衣戏蝶，既清且艳，雅丽如仙。带着满身的纯净明丽，似早春的一阵清风瞬间温润了读者的心田。太湖飘渺。云蕾湖衣踏水，素手弄笛，侠气长歌，飘飘若仙而来，瞬间惊倒了在场所有的人。天赋红颜。云蕾身怀绝技，擅长剑术、轻功和「梅花蝴蝶镖」暗器，故江湖美名曰「散花女侠」。她与张丹枫「双剑合璧」，无敌于天下。纯洁而善良，温柔而坚韧。祖辈的仇恨仍然不能阻止她和张丹枫这对情侣在武侠中经典到非圆满不可的完美爱情。
3M,3M公司,3M公司全称MinnesotaMiningandManufacturing（明尼苏达矿务及制造业公司），创建于1902年，总部设在美国明尼苏达州的圣保罗市，是世界著名的产品多元化跨国企业。3M是全球性的多元化科技企业，创建于1902年，素以勇于创新、产品繁多著称于世，生产数以万计的创新产品，在医疗产品、高速公路安全、办公文教产品、光学产品等核心市场占据领导地位。3M为全球近200多个国家的客户提供产品及服务，其产品已深入人们的生活，从家庭用品到医疗用品，从运输、建筑到商业、教育和电子、通信等各个领域，极大地改变了人们的生活和工作方式。
嘉宝,葛丽泰·嘉宝,葛丽泰·嘉宝（GretaGarbo/GretaLovisaGustafsson，1905年9月18日-1990年4月15日），生于瑞典斯德哥尔摩，瑞典籍好莱坞影视演员 。1926年，葛丽泰·嘉宝拍摄在好莱坞的第一部默片《激流》。 1930年她出演了个人首部有声电影《安娜·克里斯蒂》，并获得第三届奥斯卡最佳女主角提名 。1935年，葛丽泰·嘉宝主演电影《茶花女》和《安娜·卡列尼娜》，凭借《茶花女》获得第10届奥斯卡奖最佳女主角提名 。1939年的《妮诺奇嘉》使葛丽泰·嘉宝第三次提名奥斯卡奖最佳女主角。1941年拍完电影《双面女人》后，葛丽泰·嘉宝宣布息影。1955年，葛丽泰·嘉宝获得第27届奥斯卡终身成就荣誉奖。1990年4月15日因肺炎于美国纽约逝世。1999年，美国电影学会将葛丽泰·嘉宝选为百年来最伟大的女演员第五名  。
富尔顿,富尔顿,富尔顿是1765年11月14日出生的美国著名工程师，他制造的第一艘以蒸汽机作动力的轮船，长21.35米，1803年在法国的塞纳河试航成功，但当晚为暴风雨所毁。后来他得到J.瓦特的支持，于1805年3月获得新的更大的船用蒸汽机主体。两年后，富尔顿在美国造成明轮推进的蒸汽机船“克莱蒙脱”号，长45米，于1807年8月18日在纽约州的哈得逊河上作历史性的航行，航速为1.61公里/时。
双庆,双庆,
多样屋,多样屋,多样屋领导家居流行，创造生活时尚的TAYOHYA多样屋家居用品生活馆，主营厨房餐具、卫浴、床上居家摆设等系列产品。
kobold,kobold,kobold于1855年创立于德国，一百六十年来，kobold先后发明并应用了104项国际专利，作为欧洲伞业的独一无二的领导品牌，于1897年创造出世界上第一把可伸缩的自动伞（国际专利号：100186），自此折叠伞迅速走入世界各国人民的生活，这把具有历史意义的伞也被人们尊称为“老爷伞”．
春风,春风,指春天的风，还比喻恩泽、融和的气氛等，古诗中多用。有同名公司、专辑、作家、散文、电视剧。
雅高,雅高酒店集团,雅高酒店集团（Accor）是一家大型的法国跨国企业，在近100个国家中经营，雅高旗下的雅高酒店是欧洲旅馆业的霸主，在全球拥有超过4000家旅馆，涵盖最豪华的酒店到最经济的旅社。雅高旗下的雅高服务也在全球的企业服务业中首屈一指，以经营票券服务业著名。
PINA,皮娜,《皮娜》是维姆·文德斯拍摄的关于21世纪著名舞蹈家皮娜·鲍什舞蹈创作的纪录片，HeinerBastian、WolfgangBergmann、ChrisBolzli等参与制作。该片于2011年2月24日在德国上映 。该片收录了三段皮娜的舞蹈：《穆勒咖啡馆》（1978年）、《春之祭》（1975年）和《月圆》（2006年），影片重心放在了舞团的几个主要舞者的身上 。
C'mon,C'mon,C'Mon是欧美电音天后Kesha第二张专辑《Warrior》中的一首歌曲，是专辑的第二波主打，歌曲体现了kesha放浪不羁的性格特点，在粉丝中广为传唱。
喜家家,喜家家,喜家家”品牌为北京喜家家商贸有限公司持有此商标图形包含:两张小孩的脸合在一起意为工作团队团结、和睦；头上散发光芒意为擅长思考和智慧；英文ideasforlife体现了“创意改变生活”的产品理念；
BANANA,banana,banana是一个英语单词，读音是，可以用作名词，可以翻译为香蕉、喜剧演员等等。例句：Thepictureaboveisbananawithcoworgans.
Umbra,umbra,Umbra是当代时尚休闲家居用品的领导者，虽然每件产品都经过精心设计，但价格合理并不昂贵。现时Umbra产品在全球75个国家共25000间零售商里发售。你家中的每个房间，都肯定会有Umbra产品适用。当中包括相架、废物箱、窗帘装饰、厨具、桌面用品、家居摆设及小家具等。
南极人,南极人,南极人，成立于1997年是中国最早成立的内衣企业之一，首创保暖内衣产品，开创了中国内衣行业发展的新道路。历经18年的成长蜕变，南极人已经在内衣、母婴、服装、床品&布艺、厨品、鞋品、服饰配件、户外、家电等9大品类的55大类目产品线中取得突出的成绩，签约国民好媳妇海清，共同为国人带来“全品类消费品王国”，努力打造让用户尖叫的产品，创造极致的用户体验。南极人每年卖出上亿件/套的产品，为几亿人提供舒适、优质的日常生活所需。2014年双十一，南极人取得了单天1.8亿元的销售成绩，是南极人转型互联网企业后，模式创新的最强有力证明。2016年双十一，南极人取得了5.4亿元的销售业绩，再次刷新了历史记录！
凤全,凤全,凤全（？—1905年3月1日）字茀堂，满洲镶黄旗人，荆州驻防，清朝大臣。以举人入赀为知县，铨四川。光绪二年，权知开县，至则使吏捕仇开正。开正故无赖，痛以重法绳之，卒改为善。
百露,百露,百露是专业从事高品味的种生活品牌，具特色生活用品的品牌，所有产品都人性化设计，从人们日常生活出发，以为生活提供更多方便为目标，生产各类便利收纳产品。是国内最早提供便利收纳用品专业生产厂商之一。
JUST MODE,JUST MODE,JUSTMODE 属于温州番薯团电子商务有限公司2010年12月06日 申请注册的一个商标，申请地址位于温州市飞霞北路永嘉大厦1405室 。
康维佳,康维佳,康维佳，男，中央人民广播电台记者·1962年2月生于山西省运城市，祖籍山西省平遥县南郑乡南郑村，高级记者，中央人民广播广播电台山西记者站站长。
美丽雅,美丽雅,美丽雅是四川鸿昌塑胶工业有限公司旗下家居清洁用品品牌 
开馨宝,开馨宝,
爱丽思,爱丽思,爱丽思是由爱丽思欧雅玛株式会社公司申注册所有。 总部位于日本宫城县仙台市青叶区五桥2丁目12番1号。 
IRIS,IRIS,《IRIS》是韩国首部间谍电视剧，投资高达1亿人民币。该剧讲述了国家安全局要员们的工作、友情和爱情，由李秉宪、金泰熙、郑俊浩、金素妍、金承佑等眼下韩国最当红的明星出演，被称为是2009年韩国最期待的一部电视剧。 《IRIS》由韩国KBS电视台出品，导演金奎泰、杨允浩联袂执导，李秉宪、金泰熙、郑俊浩、金素妍、金承佑主演。该剧取自韩国大型谍战题材，剧中以国家安全局为舞台，讲述国家安全局要员与犯罪组织进行周旋、斗争的故事。IRIS，即国际反动个人集团（InternationalReactionIndividualSystem的简称），在剧中是一神秘组织。 
玛雅蓝,玛雅蓝,美国科学家发现了玛雅人使用的蓝色染料的成分玛雅人推崇和喜爱蓝色。他们将蓝色同其宗教中的雨神联系在一起，在祭神求雨时，会将作为祭品的人和物都染成蓝色，然后扔进称为“圣井”的祭祀池中。在玛雅人的壁画和其他物品上，都发现过这种蓝色染料。这种不易褪色的染料成分，一种是靛青植物的提炼物，一种是被称为坡缕石的黏土矿物。这两种成分如何被制成一种稳定鲜艳的染料，仍是谜。
lorain,LORAIN,LORAIN是化妆品的注册商标名称 。
芳华,芳华,《芳华》是由浙江东阳美拉传媒有限公司出品的剧情片，由冯小刚执导，严歌苓编剧，黄轩领衔主演，苗苗、钟楚曦联合主演，杨采钰、李晓峰、王天辰出演、王可如、隋源等参加演出。该影片根据严歌苓同名小说改编，以1970至1980年代为背景，讲述了在充满理想和激情的军队文工团，一群正值芳华的青春少年，经历着成长中的爱情萌发与充斥着变数的人生命运故事 。该片于2017年12月15日在中国、北美地区同步上映 。
暖宝宝,暖宝宝, “暖宝宝”是小林制药株式会社经国家工商行政管理总局商标局核准注册的注册商标，并不是冬季取暖片产品的通用名称。在行业内，该类产品的正规通用名称为“一次性取暖片”，行业内各类不同厂家有着自己不同的叫法，如“取暖包”、“暖贴”或“热力贴”等等，各正规厂家为防止商标侵权均避免使用“暖宝宝”或者“暖宝宝贴”等与之相近的提法。
恋家,恋家,恋家是个汉语词语，释义是家在我们每个人的心中就是纯洁无暇的地方。
dehub,dehub,
重机,重机,游戏王卡组系列之一。是动画《游戏王ZEXAL》中的油压庄兵卫（油圧ショーベェ）使用的卡组系列，出自《游戏王ZEXAL》28话。 「重机」并非正式字段。
必酷蕾,必酷蕾,“必酷蕾” 是专业空气净化品牌，由加拿大必酷蕾医学材料有限公司授权、上海酷蕾环保科技有限公司负责国内生产和销售。加拿大必酷蕾医学材料有限公司，是从事空气污染治理产品研发、生产、销售及空气污染治理服务的高科技环保企业，也是最早的销售、生产室内污染治理产品的专业公司之一。上海必酷蕾环保科技有限公司率先引进先进技术，并与同济大学、中南大学等国内高校科研机构合作，共同开发了目前市场上最高效的除毒、除味、灭菌宜家类环保必酷蕾系列用品。必酷蕾是2011年新面市的高科技产品，它具有除毒、除味、灭菌、缓释、安全五大显著特点 
EM,EM,EM是日本硫球大学比嘉照夫教授发明的微生物技术，取自“EffectiveMicroorganisms”（有效微生物）的缩写。它是将包括好氧菌及厌氧菌在内的多种有益微生物通过独特的发酵技术有机地整合在一起，其中各微生物在增殖过程中互生共长，形成一个功能强大的整体，发挥“有益分解”、“抗氧化”等多方面的作用。
knirps,knirps,1928年，德国工程师HansHaupt发明世界上第一支摺叠式雨伞。1950年代中期，Knirps为了对抗仿冒品的日益增加，实行现代化的制成，使品质更为精进，并赋予"小红点"的圆形品牌标志，行销全世界。时至今日，Knirps以其最优良的技术及最先进的材质被誉为全球最佳雨伞品牌。2003年更获得世界知名红点设计奖(reddotaward)，并成功打进一向对品质严格要求的日本市场，创下首年单款超过2万5千支的销售佳绩。在德国，下雨天被称为"KnirpsWeather"，由此可见Knirps在德国人心目中的地位。挟带著品牌的核心价值与成功经验，Knirps秉持著与制伞同样的严格品质要求，开发一系列使用杜邦Corduraballisticnylon顶级弹性尼龙设计的旅用品、公事包及相关配件，质轻、坚固及贴心实用的细节设计将提供您绝佳的使用经验！
贝斯,贝斯,贝斯（Bass）是乐队中一般必不可少的乐器之一，它在乐队中主要担任低音声部，有时也作即兴独奏。传统爵士乐一般都采用原声贝司（即低音提琴）来体现它的原始风味。而在现代爵士乐（特别是融合爵士）中经常运用电贝斯或电子合成器中的合成贝斯音。如今电声乐器的广泛发展与流行使乐队这个词发生了巨大的变化，人数减少了，通常4人即可组织一个乐队，分别由节奏（架子鼓）、低音（贝斯）、和弦（吉他）、主旋律（键盘）。电声乐队中的BASS其实就是低音吉他，全称应该叫BASSGUITAR。应用谱号：低音谱号，不宜调高八度记谱。外观：BASS形状与通常电吉他很相似，略重一些，音阶处于低音位置，因此琴弦相当粗，弦张力相当大，因此拨弦的力量要比吉他大得多。
善庆,善庆,【善庆】（shànqìng）谓善行多福。语本《易．坤》：“积善之家必有余庆。”谓善行多福。语本《易．坤》：“积善之家必有余庆，”的意思。有劝人向善之意。
百字,百字,百字，读音bǎizì，汉语词汇，很多字的意思。
零时差,零时差,零时差是一首歌。
花仙子,花仙子,日本著名动画「花仙子」，原名「花の子ルンルン」，是改革开放后进入中国的日本动画之一，是东映魔法少女系列动画的第八作。本作曾在中国刮起了一阵少女风潮，是70末、80、90初后出生的人童年记忆最深刻的日本动画。「花仙子」宣扬人性的真善美，讲述了继承了花仙血统的少女小蓓旅行世界各个国家寻找能带来幸福与快乐的七色花的故事。
振兴,振兴区,振兴区，隶属于辽宁省丹东市，位于辽宁省东部，既沿黄海，又沿鸭绿江，还沿朝鲜半岛，是全国罕见的三沿城市。面积123平方公里，人口41万（2010年）。 振兴区下辖9个街道，1个乡镇。2014年，振兴区地区生产总值预计实现197亿元，同比2013年增长12%。 
金范,金范,金范（KimBeom），本名“金尚范”，1989年7月7日出生于韩国首尔市。韩国男演员，毕业于韩国首尔中央大学。2006年，参演情景喜剧《无法阻挡的Highkick》，正式荧幕出道 。2008年，8月参演恐怖片《考死》，该片累计150万名观影人数 。同年参演爱情剧《伊甸园之东》 。2009年，5月参演校园剧《花样男子》，该剧最高收视达到35.5% 。同年还凭借爱情剧《Dream》获得SBS演技大赏新人奖 。2010年，拍摄韩国旅游观光短剧《一天》 。2011年，主演爱情剧《吧嗒吧嗒：他和她心跳的声音》 。2013年，2月参演爱情剧《那年冬天，风在吹》 。7月主演古装剧《火之女神井儿》 。同年进军中国内地市场，参演动作片《狄仁杰之神都龙王》 。2014年，参演青春剧《微时代之恋·初恋篇》 。2015年，主演爱情片《重生爱人》和动作剧《隐藏身份》 。2016年，参演电视剧《警察夫人2》。2018年，参演悬疑片《朝鲜名侦探：吸血怪魔的秘密》。
SPIRELLA,Spirella,spirella是来自欧洲的浴用品品牌，公司在欧洲成立于1958年，四十多年来专业从事浴室用品研究，开发制造。
百草园,百草园,这个荒芜的园子，不仅瓦砾成堆，杂草丛生，而且有树木、蔓藤和飞鸟虫兽，是孩子们游玩的好地方。鲁迅儿时和他的小伙伴们就经常来此玩耍嬉戏，或采紫红的桑椹和酸甜的覆盆子，或捉蟋蟀、玩斑蝥，有时挖何首乌的块根，有时摘木莲藤的果实，夏天在树荫下纳凉，听蝉鸣唱，寒冬在雪地上捉鸟雀。百草园的动植物，有可看的，有可听的，有可玩的，也有可吃的，对儿童来说真有许多乐趣。即使现在“紫红的桑葚，酸甜的覆盆子，光滑的石井栏，高大的皂荚树……”已难寻旧踪，但文中浓厚的生活情趣依然带给你丰富的想象。 
蝴蝶牌,蝴蝶牌,蝴蝶牌是泰国佛牌的一种，蝴蝶牌的创始人是泰国北部高僧古巴杰士纳大师，其中古巴杰士纳大师制造最为出名。佛牌中的蝴蝶形象栩栩如生，于短短数年间，传到东南亚各地，由以人缘及带来好运十分强劲著称。
BUTTERFLY,蝴蝶,蝶，通称为“蝴蝶，节肢动物门、昆虫纲、鳞翅目、锤角亚目动物的统称。全世界大约有14000多种，大部分分布在美洲，尤其在亚马逊河流域品种最多。中国有1200种。蝴蝶一般色彩鲜艳，身上有好多条纹，色彩较丰富，翅膀和身体有各种花斑，最大的蝴蝶展翅可达28～30厘米左右，最小的只有0.7厘米左右。蝴蝶和蛾类的主要区别是蝴蝶头部有一对棒状或锤状触角，蛾的触角形状多样。
冰虫,冰虫,冰虫是分布在寒冷冰川中的一种环节动物。终年生活在冰雪中，其生存机理仍然不十分明确。因为冰虫的奇特生态环境，对于研究寒冷状态下的生命活动有重要意义。冰虫研究正获得越来越多的关注。本位将主要介绍冰虫的生活环境、生活习性、形态分类、生理生化特点等方面。由于冰虫本身仍然有不少谜团，仍需广大学者广泛研究。
肖肖,肖肖,肖肖，毕业于中央戏剧学院2000级表演系，中国内地女演员。曾在《青衣》、《上书房》、《继父》等剧中有过精彩表现，2009年出演《勋章》是第一次演绎战争题材电视剧，与沈晓海演绎一对军旅夫妻。她扮演的主人公周丽要从20多岁演到70多岁，跨度达50年。
卡贝,卡贝,卡贝是卡贝科技股份有限公司旗下的品牌，注册号是6843168
XD,XD,XD是一种网络用语，在不同场合有不同含义，为网络象形文字(表情)。横着看起来像是一个猥琐而不怀好意的笑容，其意思已经被大多数BBS所接受，人们常在留言的最后加上XD，表示了自己用一种很邪恶的眼看着对方。
森活,森活,森活是中国一美容营养食品品牌，森活代表着纤盈（Slim）、活力(Energy)、营养(Nutrition)。
SOYO,SOYO,SOYO：是台湾第一家自有品牌的主板，在奔二时代，梅捷的知名度一度超过华硕等一线品牌。但后来梅捷的大陆分公司不幸出现亏损，不得已在2001年底退出大陆市场。2003年因市场竞争激烈，soyo选择清盘出售，由原来soyo在大陆的代理商商科集团成功收购，转而化身新的soyo，继续行销大陆市场，目前在二线品牌销量中，与同类产品七彩虹等品牌，齐驱并进，占据二线品牌的半壁江山。
款,款,款是一个汉字，读音为kuǎn，左右结构，部首为欠。本意是真诚；诚恳。通“窾”，空；空洞，不真实。款还有缓、慢等意思。
