斯伯丁,SPALDING,斯伯丁（Spalding）是由创始人亚伯特·古德维尔·斯伯丁(AlbertGoodwillSpalding)在1876年创立 ，该品牌致力于为致力于运动员提供运动装备 ，斯伯丁与NBA之间有着三十年以上的合作关系 ，还与全球各地超过55个体育联赛与联盟达成伙伴合作关系。 
SPALDING,SPALDING,斯伯丁（Spalding）是由创始人亚伯特·古德维尔·斯伯丁(AlbertGoodwillSpalding)在1876年创立 ，该品牌致力于为致力于运动员提供运动装备 ，斯伯丁与NBA之间有着三十年以上的合作关系 ，还与全球各地超过55个体育联赛与联盟达成伙伴合作关系。 
李宁,李宁,李宁，壮族，男，生于1963年3月10日，奥运冠军，原中国著名体操队运动员，家乡广西壮族自治区来宾市兴宾区南泗乡人，祖籍广东省佛山市顺德区，曾祖父辈迁至广西谋生， 中国著名男子体操运动员。李宁毕业于北京大学法学院，获得法学士学位及北京大学光华管理学院EMBA。他创造了世界体操史上的神话，先后摘取十四项世界冠军，赢得一百多枚金牌。1982年12月22日，李宁在南斯拉夫萨格勒布举行的第6届世界杯体操比赛中，李宁一人夺得男子全部7枚金牌中的6枚，获单杠、自由体操、跳马、鞍马、吊环和全能6项冠军，创造了世界体操史上的神话，被誉为“体操王子”。1984年获第23届洛杉矶奥运会男子体操单项比赛中夺得男子自由体操、鞍马和吊环3项冠军，一举夺得三金两银一铜，接近中国代表团奖牌总数的1/5，成为该届奥运会中获奖牌最多的运动员。1988年退役后，李宁以其姓名命名创立了“李宁”运动品牌。运动品牌涉足广泛，从生产运动服装、运动鞋到生产篮球、足球等。
LI-NING,LI-NING,LI－NING（李宁），整体设计由汉语拼音"LI"和"NING"的第一个大写字母"L"和"N"的变形构成主色调为红色造型生动、细腻、美观，富于动感和现代意味，充分体现了体育品牌所蕴涵的活力和进取精神。
红双喜,红双喜,上海红双喜股份有限公司是知名的国际化运动器材商，中国乒乓器材行业的领军企业，产品以乒乓、羽毛球、举重三项器材为主，并拓展至三大球、运动护具、运动鞋服、小件健身器材、各类场地器材等运动用品。“红双喜”商标创始于1959年，是第一个在世界大赛上（1961年第26届北京世乒赛）亮相的中国体育品牌 。
DHS,DHS,DHS具有多种解释。具体有：DynamicHipScrew（动力髋螺钉）；DepartmentofHomelandSecurity（美国国土安全部）；DoubleHappinessSports（红双喜）；dynamicheadspace（动态顶空分析法）；阿联酋的货币DIRHAM的简写等多种意思。
尤尼克斯,尤尼克斯,尤尼克斯（YONEX）是世界著名的羽拍。为了统治羽拍市场，也为了尽量满足不同使用需求，尤尼克斯研发了大量的型号，让人眼花缭乱。作为世界知名的羽拍专业制造商，尤尼克斯完全体现日本工艺的精益求精，羽拍牢牢占据世界第一的地位，同时网球拍也得到许多知名球星的喜爱。
YONEX,尤尼克斯,尤尼克斯（YONEX）是世界著名的羽拍。为了统治羽拍市场，也为了尽量满足不同使用需求，尤尼克斯研发了大量的型号，让人眼花缭乱。作为世界知名的羽拍专业制造商，尤尼克斯完全体现日本工艺的精益求精，羽拍牢牢占据世界第一的地位，同时网球拍也得到许多知名球星的喜爱。
川崎,川崎重工业株式会社,川崎重工业株式会社(TYO：7012)，乃日本的重工业公司，川崎重工起家于在明治维新时代，并以重工业为主要业务，与JFE钢铁（原川崎制铁）及川崎汽船有历史渊源。主要制造航空宇宙、铁路车辆、建设重机、电自行车、船舶、机械设备等。 “川崎”是中文译音，其罗马名为“KAWASAKI”，公司的名字是用创始人川崎正藏的名字命名的。
KAWASAKI,川崎重工业株式会社,川崎重工业株式会社(TYO：7012)，乃日本的重工业公司，川崎重工起家于在明治维新时代，并以重工业为主要业务，与JFE钢铁（原川崎制铁）及川崎汽船有历史渊源。主要制造航空宇宙、铁路车辆、建设重机、电自行车、船舶、机械设备等。 “川崎”是中文译音，其罗马名为“KAWASAKI”，公司的名字是用创始人川崎正藏的名字命名的。
Victor,周渝民,周渝民（VicChou），1981年6月9日出生于台湾省宜兰县，中国台湾影视男演员、流行乐歌手，F4组合成员 。2001年，凭借在偶像剧《流星花园》饰演花泽类而崭露头角 。2009年，在电视剧《痞子英雄》中成功饰演陈在天并凭借这部作品入围了第44届台湾电视金钟奖最佳男主角 。自2008年主演了电影《蝴蝶飞》之后，周渝民开始走上大荧幕，2011年，凭借影片《爱你一万年》获得大阪亚洲电影节最受观众欢迎大奖 。2013年，周渝民凭借在电视剧《彼岸1945》获得第48届台湾电视金钟奖最佳男主角奖 。2014年11月11日，主演的电影《单身男女2》上映 。2015年，参演彭顺执导电影《宅女侦探桂香》 。2016年，参演宫廷玄幻剧《柜中美人》 和犯罪动作大片《反贪风暴2》 。2018年3月1日，其主演的武侠剧《烈火如歌》在优酷播出 。
耐克,NIKE,NIKE公司总部位于美国俄勒冈州波特兰市。公司生产的体育用品包罗万象，例如服装，鞋类，运动器材等。NIKE是全球著名的体育运动品牌，英文原意指希腊胜利女神，中文译为耐克。耐克商标图案是个小钩子。耐克一直将激励全世界的每一位运动员并为其献上最好的产品视为光荣的任务。耐克首创的气垫技术给体育界带来了一场革命。运用这项技术制造出的运动鞋可以很好地保护运动员的膝盖.在其在作剧烈运动落地时减小对膝盖的影响。2016年6月8日，《2016年BrandZ全球最具价值品牌百强榜》公布，耐克排第24名 。2016年9月8日，苹果牵手耐克正式推出第二代AppleWatch第二代产品 。2017年3月15日，3·15晚会曝光，耐克Hyperdunk08FTB（SKU:869611-001）篮球运动鞋被发现气垫描述不正确。 
NIKE,NIKE,NIKE公司总部位于美国俄勒冈州波特兰市。公司生产的体育用品包罗万象，例如服装，鞋类，运动器材等。NIKE是全球著名的体育运动品牌，英文原意指希腊胜利女神，中文译为耐克。耐克商标图案是个小钩子。耐克一直将激励全世界的每一位运动员并为其献上最好的产品视为光荣的任务。耐克首创的气垫技术给体育界带来了一场革命。运用这项技术制造出的运动鞋可以很好地保护运动员的膝盖.在其在作剧烈运动落地时减小对膝盖的影响。2016年6月8日，《2016年BrandZ全球最具价值品牌百强榜》公布，耐克排第24名 。2016年9月8日，苹果牵手耐克正式推出第二代AppleWatch第二代产品 。2017年3月15日，3·15晚会曝光，耐克Hyperdunk08FTB（SKU:869611-001）篮球运动鞋被发现气垫描述不正确。 
Wilson,Wilson,Wilson（威尔胜）是美国著名运动品牌，是国际运动器材制造业的领导者之一，其产品是世界运动产品的焦点，并帮助越来越多的运动员在全球各级赛事中取得佳绩。Wilson旗下的主要运动产品包括篮球、网球、足球、排球、橄榄球、高尔夫球以及运动护具等等。
