哥伦比亚,哥伦比亚,哥伦比亚共和国（西班牙语：RepúblicadeColombia），国土位于南美洲西北部，西临太平洋，北临加勒比海，东通委内瑞拉，东南通巴西，南与秘鲁、厄瓜多尔，西北与巴拿马为邻。为南美洲国家联盟成员国。人口主要以印欧混血为主。西部有沿海平原，为西、中、东三条平行的科迪勒拉山脉构成的高原，山间有宽阔的谷地，南部有一系列火山锥，西北部为马格达莱纳河下游冲积平原，水道纷歧，湖沼广布。哥伦比亚国内经济、交通、旅游业发达，为资源丰富的发展中国家。 哥伦比亚有在长期宏观经济的稳定和良好的增长前景，多元化的经济。哥伦比亚是一个中等强国与拉丁美洲第四大经济体，是的灵猫六国之一，也是世界新兴市场，承认双重国籍。如父母持有在哥长期居留签证，其所生子女可入哥国籍。伟大的拉丁精神充斥在这个国家的任何一个角落，而那些加勒比沿岸具有殖民地色彩的小城、壮观的国家公园、宏伟的安第斯山脉和美丽的热带雨林。
Columbia,哥伦比亚,Columbia（哥伦比亚）品牌创立于1938年， 当时的俄勒冈州经常下雨，所以早年的Columbia（哥伦比亚）是以生产雨衣、雨帽起家，时至今日经过不断发展各类户外运动服装及研究高科技布料已经发展成为全球最大的户外服装品牌，其卓越的产品品质超越考验，得到世界人们的认同。在1998年，公司产品主要为大众用品，但哥伦比亚在活跃的户外衣服工业中再次成为领导者。
骆驼,骆驼,骆驼，头较小，颈粗长，弯曲如鹅颈。躯体高大，体毛褐色。极能忍饥耐渴。骆驼可以在没有水的条件下生存3周，没有食物可生存一个月之久。骆驼是骆驼科骆驼属的动物，只有两种。生活在沙漠边缘的人类早在公元前3000年已经开始驯养骆驼，作为役畜，以供驮运和骑乘，有许多国家有倚赖骆驼为生的骆驼牧民，甚至有骆驼骑兵。单峰骆驼毛短，主要生活在北非洲和西亚洲、印度等热带地域，生活在沙漠地带的牧民以骆驼奶甚至骆驼血作为食物，目前全世界只有1400万头，全部都是家畜。骆驼由于胃内附生有水俘，作储水用，故能耐渴。骆驼鼻子构造异常特别，鼻腔内布满弯曲微小气道。当骆驼大量消耗水分时，其分泌物变得干燥，形成硬膜。骆驼呼气时，这种硬膜能吸收来自肺部的水分；当它吸气时......
北面,乐斯菲斯,TheNorthFace®北面，美国著名户外品牌，成立于1966年，是美国上市公司VF集团的重要一员，总部位于美国加利福尼亚州一个获得LEED白金级认证的节能环保产业园内致力于为户外运动员的每一次严酷探险提供专业装备。
The North Face,乐斯菲斯,TheNorthFace®北面，美国著名户外品牌，成立于1966年，是美国上市公司VF集团的重要一员，总部位于美国加利福尼亚州一个获得LEED白金级认证的节能环保产业园内致力于为户外运动员的每一次严酷探险提供专业装备。
探路者,探路者,北京探路者（TOREAD）户外用品股份有限公司创立于1999年，探路者（TOREAD）通过自主知识产权的品牌塑造与推广、产品研发设计、营销网络建设与优化、供应链整合与管理。在全国建立连锁零售网络及电子商务销售系统，向广大消费者提供安全舒适的户外运动装备。
TOREAD,TOREAD,
伯希和,伯希和,
Pelliot,PELLIOT,
凯乐石,凯乐石,KAILAS作为户外知名品牌，从进入中国市场就开始就以务实、严谨的态度，认真研究中国户外市场的发展规律和特点，充分认识到中国市场的重要性和特殊性，制定了宏大、长期的中国发展计划，加大中国市场投入，切实把握品牌的发展节奏，不单一追求市场分额，全力加强自身建设，致力提高产品的美誉度，为今后发展打下了坚实的基础。在稳步拓展自己的营销渠道的基础上，制定了持久稳定、植根于KAILAS文化的品牌推广计划。KAILAS在品牌推广上也有独到之处，坚持“轻量革命先锋”的设计理念，持续支持和组织“中国民间未登峰运动”计划，形成了自身独特的品牌文化。KAILAS不断加强团队建设，紧紧抓住国际最新科技成果和中国实际需求相结合，努力加强研发设计能力，将产品的专业性、功能性与时尚性成功的进行了结合，形成了广泛应用新材料、新技术、新工艺、不断推出功能性强、款式新颖、品质可靠的户外用品的品牌创新战略之路。KAILAS在国内销售渠道中占有很大优势，覆盖面广，无论从规模、知名度、销售额、渠道、技术能力等方面都是国内最大的户外品牌之一。KAILAS（凯乐石）这个名称源于冈仁波齐（KAILASH印度语）一山。该山海拔21837英尺，坐落于中国西藏境内，是延绵千里的Kang-ti-ssu山脉的主峰，山峰终年冰雪覆盖。他是一座精神和信仰之山，是不少于四种宗教(Budd-hism、Hinduism、Jainism和Bon)教义里的世界中心，也是亚洲四条大河Brahmaputra、IndusKarnali、Sutlej的发源地。
KAILAS,凯乐石,KAILAS作为户外知名品牌，从进入中国市场就开始就以务实、严谨的态度，认真研究中国户外市场的发展规律和特点，充分认识到中国市场的重要性和特殊性，制定了宏大、长期的中国发展计划，加大中国市场投入，切实把握品牌的发展节奏，不单一追求市场分额，全力加强自身建设，致力提高产品的美誉度，为今后发展打下了坚实的基础。在稳步拓展自己的营销渠道的基础上，制定了持久稳定、植根于KAILAS文化的品牌推广计划。KAILAS在品牌推广上也有独到之处，坚持“轻量革命先锋”的设计理念，持续支持和组织“中国民间未登峰运动”计划，形成了自身独特的品牌文化。KAILAS不断加强团队建设，紧紧抓住国际最新科技成果和中国实际需求相结合，努力加强研发设计能力，将产品的专业性、功能性与时尚性成功的进行了结合，形成了广泛应用新材料、新技术、新工艺、不断推出功能性强、款式新颖、品质可靠的户外用品的品牌创新战略之路。KAILAS在国内销售渠道中占有很大优势，覆盖面广，无论从规模、知名度、销售额、渠道、技术能力等方面都是国内最大的户外品牌之一。KAILAS（凯乐石）这个名称源于冈仁波齐（KAILASH印度语）一山。该山海拔21837英尺，坐落于中国西藏境内，是延绵千里的Kang-ti-ssu山脉的主峰，山峰终年冰雪覆盖。他是一座精神和信仰之山，是不少于四种宗教(Budd-hism、Hinduism、Jainism和Bon)教义里的世界中心，也是亚洲四条大河Brahmaputra、IndusKarnali、Sutlej的发源地。
始祖鸟,始祖鸟,始祖鸟，加拿大户外服饰品牌，外名：ARCTERYX，1989年创立于加拿大温哥华，由于其对新工艺和新技术近乎疯狂的追求，已成长为北美乃至全球的领导型的户外品牌，也是人们公认的顶级奢侈品。
TFO,TFO,TFO，即TheFutureOfficer，未来指挥官。8月28日，一下科技创始人、董事长兼CEO韩坤宣布，超人气组合TFBOYS以TFO(TheFutureOfficer)未来指挥官的身份入职一下科技，这也是迄今为止全球首个TFO。
Jack Wolfskin,jack wolfskin,JackWolfskin进入中国市场不仅发展代理商渠道，同时也非常重视商场的推销路线，计划先开一些示范店。JackWolfskin在德国是中高端价格，在中国市场会有一些特殊的产品系列，但不会用低价格路线进入中国市场。
诺诗兰,诺诗兰,NORTHLAND品牌由奥地利著名登山家GerwaltPichler于1973年在奥地利第二大城市格拉茨创立，从专注极限攀岩与登山的专业技术品牌发展为涵盖运动、城市休闲的户外全线先驱。通过40年的不断探索、积累和创新，NORTHLAND已在全球39个国家成功开店，成为国际知名户外品牌。2003年，NORTHLAND登陆中国。十年成长，NORTHLAND始终坚持以奥地利舒适自在的户外精神为品牌理念，并严守欧盟生产检测标准，保证产品的精致工艺与卓越品质。广泛应用独有的EXOTHERM&reg;“全天候舒适雷达”科技平台，给予消费者全天候的舒适体验和全方位的保护。与此同时，让消费者感受舒适的户外生活，畅享亲近自然的自由自在是NORTHLAND不变的追求。NORTHLAND品牌在户外运动服饰和装备市场上取得的不凡业绩离不开它的精英团队。NORTHLAND品牌的创立传递了创始人Mr.Gerwalt对生活的热爱和梦想。奥地利是户外文化发源圣地，登山和滑雪等运动是奥地利最具代表性和知名度的户外运动。NORTHLAND品牌创始人GerwaltPichler作为奥地利登山界元老级人物，从小与自然结缘的他，25岁时便已爬遍欧洲著名山道，并踏上了征服各大洲最高峰的路程。1973年，37岁的GerwaltPichler和他的登山队登上了海拔6962米的南美洲第一高峰——阿空加瓜峰。在下山途中，他们在山坳间遇到了一具遇难登山者的遗体。出于对生命的尊重，Pichler将遇难登山者的遗体带下山并送到其亲人身边。这件事为他赢得了“阿空加瓜英雄”的荣誉。
