汤臣倍健,汤臣倍健,汤臣倍健创立于1995年10月，2002年系统地将膳食补充剂引入中国非直销领域，并迅速成长为中国膳食补充剂领导品牌和标杆企业。2010年8月，国际篮球巨星姚明签约成为汤臣倍健的形象代言人，同年12月15日，汤臣倍健在深圳交易所创业板挂牌上市。十几年来，汤臣倍健坚持执行“三步走”的差异化全球品质战略，从全球原料采购到全球原料专供基地建立，再到全球自有有机农场建立。迄今为止，汤臣倍健原料产地遍及世界各地23个国家和地区，并在巴西、澳大利亚等地建立了五个原料专供基地，自有有机农场也在筹建中。在全球范围内不懈甄选优质原料，汇聚世界各地的营养精粹，构筑起优中选优的营养品联合国。
修正,修正,修正是一个汉语词汇，拼音是xiūzhènɡ，指改正；品格端正，亦指遵行正道的人。出自《汉书·贾山传》：“举贤以自辅弼，求修正之士使直谏。”
Swisse,Swisse,Swisse，1960年创建于澳大利亚墨尔本 ，是澳洲知名品牌 ，是澳大利亚自然健康品牌 。 
健安喜,健安喜,GNC在1935年，DavidShakarian在匹兹堡成立了一家专门贩售食品的小店，称之为Lackzoom。akarian's于418WoodStreetBS。美国GNC健安喜为全球闻名之优良营养食品公司，在全球拥有5000多家连锁店；500多万个金卡会员；在亚洲地区包括新加坡、台湾、菲律宾、马来西亚、印尼、香港等地，均有连锁店的成立。
GNC,健安喜,GNC在1935年，DavidShakarian在匹兹堡成立了一家专门贩售食品的小店，称之为Lackzoom。akarian's于418WoodStreetBS。美国GNC健安喜为全球闻名之优良营养食品公司，在全球拥有5000多家连锁店；500多万个金卡会员；在亚洲地区包括新加坡、台湾、菲律宾、马来西亚、印尼、香港等地，均有连锁店的成立。
安利,Amway,amway常被称为安利，是一家总部位于美国密执安州的亚达城的家居护理产品公司，业务遍布80多个国家和地区。安利生产的产品有450余种，包括营养保健食品、美容化妆品、个人护理用品、家居护理用品和家居耐用品等。20世纪50年代，杰·温安洛和理查·狄维士在上门推销纽崔莱维生素的过程中，发现了一个极其深刻、直至今日仍然很有价值的事实：人和人际关系是任何成功事业的核心，有了客户的信任，就有源源不断的业务。整个50年代，两位创业者都在寻找一种新的产品以开拓他们的业务，最终他们确定了生产肥皂，即乐新多用途浓缩清洁剂的雏型。该产品一经推出就获得了万千主妇的信任，也因之开拓了全新的安利事业。
Amway,Amway,amway常被称为安利，是一家总部位于美国密执安州的亚达城的家居护理产品公司，业务遍布80多个国家和地区。安利生产的产品有450余种，包括营养保健食品、美容化妆品、个人护理用品、家居护理用品和家居耐用品等。20世纪50年代，杰·温安洛和理查·狄维士在上门推销纽崔莱维生素的过程中，发现了一个极其深刻、直至今日仍然很有价值的事实：人和人际关系是任何成功事业的核心，有了客户的信任，就有源源不断的业务。整个50年代，两位创业者都在寻找一种新的产品以开拓他们的业务，最终他们确定了生产肥皂，即乐新多用途浓缩清洁剂的雏型。该产品一经推出就获得了万千主妇的信任，也因之开拓了全新的安利事业。
康宝莱,康宝莱,康宝莱是一家全球领先的营养和体重管理公司，公司英文名字Herbalife（英文的意思是“草本生活”），总部设在美国洛杉矶，它已在全球90多个国家和地区设立分公司，中国总部设立在上海，产品销往世界各地。康宝莱公司成立于1980年，是纽约证券交易所上市公司，2011年零售额达54亿美元，全球雇员超过7400名，赞助了超过250位世界级的运动员、运动队和赛事。
普丽普莱,Puritan's Pride,Puritan'sPride，又称普丽普莱，公司是一家1960年创建于美国纽约长岛的美国保健品公司，是一家营养素生产企业，属下产品全部通过美国FDA认证。
Puritan's Pride,Puritan's Pride,Puritan'sPride，又称普丽普莱，公司是一家1960年创建于美国纽约长岛的美国保健品公司，是一家营养素生产企业，属下产品全部通过美国FDA认证。
斯利安,斯利安,斯利安（叶酸片），适应症为1.预防胎儿先天性神经管畸形。2.妊娠期、哺乳期妇女预防用药。
姿美堂,姿美堂,姿美堂（SIMEITOL）是一个美容护肤品牌，口号“见证美丽改变”，产品有胶原蛋白粉、胶原蛋白护肤品等。2015年2月，姿美堂开始在线下行销，其产品入驻屈臣氏线下商铺，正式启动全渠道营销战略转型。
善存,善存,善存®(多维元素片(29))，用于预防和治疗因维生素与矿物质缺乏所引起的各种疾病。
澳佳宝,Blackmores,Blackmores，又名澳佳宝。是澳大利亚的保健品品牌。提供一系列高品质的维生素、矿物质、草药以及营养补充品。澳佳宝成立于1930年，已经有近87年历史。经过87年努力，它已经成长为澳洲本土及全世界最被信任的生活科技健康食品公司。在1985年5月正式成为上市公司。目前拥有超过400名员工，总部设在澳大利亚悉尼。
Blackmores,Blackmores,Blackmores，又名澳佳宝。是澳大利亚的保健品品牌。提供一系列高品质的维生素、矿物质、草药以及营养补充品。澳佳宝成立于1930年，已经有近87年历史。经过87年努力，它已经成长为澳洲本土及全世界最被信任的生活科技健康食品公司。在1985年5月正式成为上市公司。目前拥有超过400名员工，总部设在澳大利亚悉尼。
爱乐维,爱乐维,爱乐维®(复合维生素片)，用于妊娠期和哺乳期妇女对维生素、矿物质和微量元素的额外需求；并预防妊娠期因缺铁和叶酸所致的贫血。
安利纽崔莱,纽崔莱,纽崔莱，全球营养素补充食品优质品牌。纽崔莱营养保健食品系列，为您提供蛋白质、维生素、矿物质等营养补充食品，以及多种调节人体机能的功能性食品。纽崔莱80年来致力于提供优质营养，倡导积极生活方式，提升与推动人们的健康，以卓越的产品行销全球50多个国家与地区。
AMWAY,Amway,amway常被称为安利，是一家总部位于美国密执安州的亚达城的家居护理产品公司，业务遍布80多个国家和地区。安利生产的产品有450余种，包括营养保健食品、美容化妆品、个人护理用品、家居护理用品和家居耐用品等。20世纪50年代，杰·温安洛和理查·狄维士在上门推销纽崔莱维生素的过程中，发现了一个极其深刻、直至今日仍然很有价值的事实：人和人际关系是任何成功事业的核心，有了客户的信任，就有源源不断的业务。整个50年代，两位创业者都在寻找一种新的产品以开拓他们的业务，最终他们确定了生产肥皂，即乐新多用途浓缩清洁剂的雏型。该产品一经推出就获得了万千主妇的信任，也因之开拓了全新的安利事业。
科克兰,克里斯·柯克兰,克里斯·柯克兰（ChrisKirkland），1981年5月2日出生于英格兰巴韦尔，英格兰足球运动员，场上司职门将，现效力于英甲的贝里足球俱乐部，曾效力于英超的利物浦足球俱乐部。 
KirkLand,kirkland,KirklandSignature是全美销量第一的健康品牌。多年来KirklandSignature的产品以其可靠的产品质量和良好的信誉，在北美众多的保健品品牌中备受关注，拥有极佳的口碑。
双心,双心,德国双心(Doppelherz)由两颗心组成，始创于1919年，是一家拥有百年生产和销售天然营养食品历史的百年老厂，主要是从纯天然原材料中开发和研制健康产品。 
天维美,天维美,天维美是法默维特有限责任公司在国家商标总局注册的商标名称，已经注册成功。商标注册号是10573839。
FANCL,Fancl,FANCL是日本最大及最有规模的“无添加”护肤及健康食品品牌，现为东京证券交易主版的上市公司，它的中文商标是芳珂，又名芳凯尔。
康恩贝,康恩贝,康恩贝是康恩贝集团有限公司的控股子公司，是一家集药品研发、生产、销售及药材种植为一体的医药上市企业。公司于2004年4月在上海证券交易所上市，股票代码为600572。公司注册地为兰溪，管理总部设在浙江省杭州市，公司在杭州、兰溪、金华，以及江西、云南、内蒙古、四川等地拥有先进规范的药品生产基地，并在兰溪建有国内最大的现代植物药制造基地——康恩贝植物药产业园。
Lumi,LUMI,Lumi多年来的研究方向和理念是，好的营养品一定是以科学、周密的复合配方作为品质保证的，而好的配方一定是全面的、有效的，一粒即可满足使用者的多种需求，缓解多种症状。
自然之宝,自然之宝,1971年，鲁道夫在家乡——纽约长岛创立了NATURE’SBOUNTY公司，意为“大自然的恩赐”，中文译为“自然之宝”。1992年，自然之宝的母公司NBTY在美国纳斯达克(NASDAQ)首次公开发行时，随即成为90年代股票表现最引人注目的公司。2003年9月，NBTY从纳斯达克迁移到更为成熟的纽约证券交易所NY.SENATURE’SBOUNTY公司鲁道夫专注于应用新技术、产品创新、自然之宝使用天然原料和降低生产成本，令自然之宝公司在诸多方面都成为行业先驱。
健美生,健美生,Jamieson是世界第一维生素品牌也是生产和制作工艺最尖端的保健品企业，产品生物活性强，最易于人体吸收和利用，被誉为是全球最安全的保健品品牌。
ISDG,ISDG,
同仁堂,同仁堂,北京同仁堂 是全国中药行业著名的老字号。创建于1669年（清康熙八年），自1723年开始供奉御药，历经八代皇帝188年。在300多年的风雨历程中，历代同仁堂人始终恪守“炮制虽繁必不敢省人工，品味虽贵必不敢减物力”的古训，树立“修合无人见，存心有天知”的自律意识，造就了制药过程中兢兢小心、精益求精的严细精神，其产品以“配方独特、选料上乘、工艺精湛、疗效显著”而享誉海内外，产品行销40多个国家和地区。 
TRT,TRT,TRT——(BlastFurnaceTopGasRecoveryTurbineUnit以下简称TRT)高炉煤气余压透平发电装置(即TRT)是利用高炉冶炼的副产品——高炉炉顶煤气具有的压力能及热能使煤气通过透平膨胀机做功将其转化为机械能，再将机械能转化为电能。 
美澳健,美澳健,美澳健系列保健食品、营养补充剂。在中国市场销售七年以来，坚持全球精选优质天然原料；参考RNI标准（居民营养推荐摄入量）研制；生产过程严格执行GMP标准；实施全程质量监控；配备专业的营养指导和完善的售后服务。该品牌产品致力于帮助人体补充不足、代谢多余、排解毒素、均衡营养，从而帮助维护健康、防御疾病。在保健食品行业具有相当的知名度和良好的口碑，曾先后荣获“中国著名品牌”、“绿色环保知名品牌”、“3.15消费者质量服务放心品牌”等多项荣誉。
安琪纽特,安琪纽特,安琪纽特（AnQiNewt）是除发酵用以外的用于人类健康的酵母总称，凭借均衡营养、卖点独特和良好的产品效果，赢得了消费者和保健市场的信赖。2010年，安琪纽特被评为第三届“中国十大公信力品牌”，食酵母粉、康普力星酵母锌等四款产品被评为公信力产品，2012年，安琪纽特再次被补评为第四届中国“十大保健品公信力品牌” 。
体恒健,体恒健,体恒健为山东新稀宝股份有限公司注册商标，于2010年11月12日荣获“山东省著名商标”称号。济南体恒健生物工程有限公司（山东新稀宝股份有限公司）位于国家级开发区——济南高新技术开发区大学科技园内，由山东省优秀青年企业家汤传忠先生创办于1995年。本公司是一家立足于微量元素领域，集科研、开发、生产、经营、销售于一体的高新技术企业，是山东省首家通过GMP认证的保健食品企业，拥有大型的现代化生产基地和先进的机械设备，具备雄厚的技术力量和优良的工作环境。
纽斯葆,纽斯葆,纽斯葆 集团创建于2003年，是一家专业从事营养健康产品研发、生产、品牌运营及服务于一体的大型高新科技健康产业集团。秉承“成就健康美丽提升生命品质”的经营使命，通过多元化的产品和服务为大众提供全方位的健康保障。 
福施福,福施福,
黄金海岸,黄金海岸,黄金海岸是澳大利亚的假日游乐胜地，位于澳大利亚的东部沿海。这里有明媚的阳光、连绵的白色沙滩、湛蓝透明的海水、浪漫的棕榈林，来到这里的旅游景点天堂农场，还有跳伞，冲浪的等诸多户外项目，黄金海岸的中心就是冲浪者天堂（SurfersParadise）。
DHC,DHC,DHC，是一家日本的拥有多个事业部的庞大企业集团。包括翻译事业部、教育事业部、出版事业部、医药食品事业部、食品事业部、酒店事业部、美容院及水疗事业部、内衣事业部等。日本DHC的化妆业务始于1983年，所有产品均以通信贩卖的形式进行销售。从基本肌肤护理至化妆品、美体产品、护发用品、男士护肤品、婴儿护肤品以及健康食品。DHC作为日本通信销售化妆品知名品牌，30年来致力于打造天然、温和、高效护肤、彩妆及健康食品。 
斯旺森,斯旺森,美国斯旺森/SWANSONNo.1全美满意度第一品牌，2010-2014连续5年蝉联美国消费者最满意产品。美国斯旺森/SWANSON健康产品公司成立于1969年，坐落于美国北达科他州。公司数十年来一直本着高品质，合理售价和顾客满意第一的运营承诺，成长为美国最大的健康产品公司之一。
SWANSON,Swanson,
伟博,伟博,伟博是一个词语，拼音是wěibó，意思是巨大；宏伟博大。
好健康,好健康,新西兰GoodHealth（好健康）公司，由新西兰Blanchard家族创建于1987年，做为GoodHealth的创始人，JohnBlanchard很早就意识到天然保健食品对人类健康的重要性，他预感到天然保健食品在新西兰的市场将会迅速发展，他想成为其中的一员，于是他便决定创立一家天然保健食品公司----新西兰好健康GoodHealthProductsCo.Ltd。
益生碱,益生碱,益生碱是广州益生谷生物科技有限公司旗下品牌，是一款用于人体快速调理体质的高碱营养补充食品，以药食同源的科学思维，采用美国美澳分子植物研究院、北京国民东方医学院生物医药技术研发中心和华农有机绿色营养品研发中心的相关科研成果。更选用高碱值天然植物，根据专家独家配方比例调配，经过大型专业机器的纯化、萃取，压制成聚合果糖片加工制成，致力于满足人们日常生活照调理亚健康状态的需求。
vikki,vikki,品牌介绍德国Vikki胶原蛋白(GermanyvikkiBiotechnologyLimited)，是世界顶级的胶原蛋白系列产品，被誉为“可以食用的驻颜圣品”。Vikki与享誉全球的制造商美国Cargill（嘉吉）集团，以及拥有先进技术和顶尖生产工艺的德固赛工厂，共同打造出的全球顶级小分子vikki水解胶原蛋白肽系列产品。原料供应商美国嘉吉公司背景：2005年嘉吉公司（Cargill）以五亿四千万欧元（六亿七千万美元）成功收购世界五百强德国赛公司食品添加业务。嘉吉公司一直在全球范围内保持着食品生物科技的领先，主要是以改善人们生活为信念，成为全球滋养人类的领导者，创造独特的价值，对研发人员用于创新和坚持进取的态度给予最大的鼓励，聚集了全球最为尖端科技的微生物科技研究专家为其打造一流品质的产品。我们的生产基地，拥有着高品质，纯天然保养品生产线，风靡德国并遍布世界50多个国家和地区。
养生堂,养生堂,养生堂创建于1993年，十年间迅速崛起，成长为生产和经营健康产品的现代化 高科技的知名企业。公司成功创立了龟鳖丸、朵而、成长快乐、成人维生素、清嘴、农夫山泉、农夫果园、尖叫、母亲牌牛肉棒以及万泰艾滋病毒快速诊断试剂等知名品牌及产品。公司当前拥有海口、杭州两个大型生产基地，15个销售大区和119个办事处。业务遍及除港澳台外的全国各省市自治区，产品线覆盖内服美容品、儿童营养品、健康养生品及处方药等领域，是中国保健品领军企业之一。
亨博士,亨博士,亨博士 是亨博士保健食品公司旗下的保健品品牌，以自然为本，专注于保健食品的研发、生产和销售，被评为“华东地区保健品十佳品牌”。
禾博士,禾博士,禾博士，巨人集团禾博士营养系列，以取自天然绿色草本的健康品服务于中国人健康，立志于传播关爱，让健康更简单。
绿瘦,绿瘦,绿瘦品牌创立于2007年，总部设于广州，是目前互联网新经济环境下，中国领先的体重管理综合服务提供商之一。植根于大数据营销这一核心竞争力，公司集电子商务、大数据分析、一对一用户咨询服务、地面渠道的优势于一体，正成长为我国体重管理的标杆性企业。 
华以健康园,华以健康园,华以健康园是全国首家销售中国独享日本原研配方的健康营养品商城。
三精,三精,商标，哈药集团三精制药有限公司的药业知名品牌，知名产品为三精葡萄糖酸钙口服液、三精葡萄糖酸锌口服液、三精双黄连口服液、司乐平等，最近几年又相继推出一系列感冒、胃肠道等非处方药品。
程海湖,程海湖,程海古名程河，又称黑伍海，位于云南省永胜县中部，呈南北长而东西窄的椭圆形湖泊，地理坐标为东经100°38'～100°41'，北纬26°17'～26°28'，湖面海拔高程1502米，湖泊面积75.97平方公里，南北长24.98千米，东西最大宽5.205千米，流域面积318.3平方公里，平均水深24.98米，最大水深为35.87米，蓄水量16.8亿立方米，为滇西第二大淡水湖，是云南省九大高原湖泊之一，是世界上天然生长螺旋藻的三大湖泊之一。 程海地处青藏高原与云贵高原的衔接部位，属金沙江水系。主要入湖河流和冲沟有47条，但流程十分短小，多数河流为季节性溪流。 
哈药,哈药,哈药集团有限公司是国有控股的中外合资企业，拥有哈药总厂、哈药三精、哈药六厂、哈药中药公司、哈药生物、哈药疫苗等国内知名药品制造企业和哈药医药有限公司、哈药销售有限公司、哈药营销有限公司等商业流通企业。拥有“哈药股份”、“三精制药”两个上市公司，其中，哈药集团持有哈药股份45.06%股权，哈药股份持有三精制药74.82%股权。集团资产总额185亿元，员工总数2万余人。哈药集团融医药制造、贸易、科研于一体，主营业务涵盖抗生素、化学药物制剂、非处方药品及保健品、现代中药、生物工程药品、动物疫苗、医药流通七大产业领域，共生产20多种剂型、1000多个品种。具备了年产原料及中间体1.5万吨、西药粉针20亿支、中药粉针1亿支、水针1.8亿支、片剂110亿片、胶囊140亿粒、口服液22亿支、动物疫苗300亿羽头的生产能力。
佳思敏,佳思敏,佳思敏(KidsSmart)是Nature’sWay澳萃维旗下综合的儿童营养品品牌。 由澳大利亚维生素公司PharmaCare生产；品牌于1964年创立 。
Nature's Way,NATURE'S WAY,
伊可新,伊可新,伊可新（维生素AD滴剂（胶囊型）），适应症为用于预防和治疗维生素A及D的缺乏症。如佝偻病、夜盲症及小儿手足抽搐症。
汤普森,大卫·汤普森,大卫·汤普森，巴巴多斯前总理，2008年1月16日就职。1987年，来自圣约翰选区的总理埃罗尔·巴罗去世，他的席位空缺，在补选当中，汤普森赢得了这个职位。在桑迪福德任总理期间，汤普森先后担任社区发展部长和财政部长。1994和1999年，他带领巴巴多斯民主工党两次竞选失败，2001年9月辞职，但在2006年1月，由于领导人克莱德·马斯科尔脱离该党，汤普森得以再次担任党主席一职。
微生慧,微生慧,
