欧普照明,中山市欧普照明股份有限公司,欧普照明是一家创新型快速发展的公司，成立于1996年8月，是一家集研发、生产和销售于一体的全球化照明企业。现有员工5000多人。产品涵盖家居、商照、电工、光源等领域，主要的产品节能灯、吸顶灯、支架、筒射灯、LED照明等系列产品的国内市场占有率已处于领先地位，同时，欧普自主品牌产品的海外业绩也相当喜人。2009年9月，欧普照明正式成为2010年上海世博会民企馆参展企业。
NVC,尼泊尔志愿者协会,尼泊尔志愿者协会，又名NVC，即NepalVolunteersCouncil的简称。协会作为由尼泊尔政府授权的社会福利理事会的一个下属机构，尼泊尔志愿者协会是一个提供义工、实习、教育和文化交流和旅游机会的非盈利组织。我们通过提供机会给国际学生和专业人士来体会尼泊尔的生活从而促进对全球的了解、友谊和学习。志愿者团队来自世界各地：其中来自中国的志愿者最多，大多是在读大学生。
飞利浦,飞利浦,飞利浦，1891年成立于荷兰，主要生产照明、家庭电器、医疗系统方面的产品。飞利浦公司，2007年全球员工已达128100人，在全球28个国家有生产基地，在150个国家设有销售机构，拥有8万项专利，实力超群。2011年7月11日，飞利浦宣布收购奔腾电器（上海）有限公司，金额约25亿元。2011年10月17日，飞利浦电子发布了第三季度财报，第三季度净利润同比下滑85.9%；同时宣布，飞利浦将在全球范围内裁员4500人。2013年1月底，飞利浦消费电子业务已全部剥离，将聚焦优质生活，医疗和照明设备行业。北京时间2014年12月17日，飞利浦宣布，将以12亿美元收购美国医疗设备制造商Volcano公司。
PHILIPS,飞利浦,飞利浦，1891年成立于荷兰，主要生产照明、家庭电器、医疗系统方面的产品。飞利浦公司，2007年全球员工已达128100人，在全球28个国家有生产基地，在150个国家设有销售机构，拥有8万项专利，实力超群。2011年7月11日，飞利浦宣布收购奔腾电器（上海）有限公司，金额约25亿元。2011年10月17日，飞利浦电子发布了第三季度财报，第三季度净利润同比下滑85.9%；同时宣布，飞利浦将在全球范围内裁员4500人。2013年1月底，飞利浦消费电子业务已全部剥离，将聚焦优质生活，医疗和照明设备行业。北京时间2014年12月17日，飞利浦宣布，将以12亿美元收购美国医疗设备制造商Volcano公司。
松下,松下,松下（Panasonic），是日本的一个跨国性公司，在全世界设有230多家公司，员工总数超过290493人。其中在中国有54，000多人。2001年全年的销售总额为610多亿美元，为世界制造业500强的第26名。Panasonic的中文为“松下”（早期叫National，1986年开始逐步更改为Panasonic，2008年10月1日起全部统一为Panasonic）由日本松下电器产业株式会社自1918年松下幸之助创业，发展品牌产品涉及家电、数码视听电子、办公产品、航空等诸多领域而享誉全球；该企业品牌跃入《世界品牌500强》排行榜。松下于2012年10月31日宣布2012财年(2012年4月～2013年3月）的合并最终损益（按照美国会计标准）预期从盈利500亿日元下调为亏损7650亿日元。
Panasonic,松下,松下（Panasonic），是日本的一个跨国性公司，在全世界设有230多家公司，员工总数超过290493人。其中在中国有54，000多人。2001年全年的销售总额为610多亿美元，为世界制造业500强的第26名。Panasonic的中文为“松下”（早期叫National，1986年开始逐步更改为Panasonic，2008年10月1日起全部统一为Panasonic）由日本松下电器产业株式会社自1918年松下幸之助创业，发展品牌产品涉及家电、数码视听电子、办公产品、航空等诸多领域而享誉全球；该企业品牌跃入《世界品牌500强》排行榜。松下于2012年10月31日宣布2012财年(2012年4月～2013年3月）的合并最终损益（按照美国会计标准）预期从盈利500亿日元下调为亏损7650亿日元。
佛山照明,佛山照明,佛山照明，即佛山电器照明股份有限公司，是由佛山市电器照明公司、南海市务庄彩釉砖厂、佛山市鄱阳印刷实业公司共同发起，经广东省企业股份制试点联审小组、广东省经济体制改革委员会批准，通过定向募集方式设立的由法人与自然人混合持股的股份有限公司，成立于1992年10月20日。1993年10月，经中国证监会批准，公司公开发行社会公众股(A股)1930万股，并于1993年11月23日在深圳证券交易所挂牌交易。1995年7月23日，公司获准发行5000万股B股，并获准上市交易。
美的,美的集团,美的集团 （SZ.000333）是一家领先的消费电器、 暖通空调、机器人及工业自动化系统、智能供应链（物流） 的科技集团 。美的集团提供多元化的产品和服务，包括以厨房家电、冰箱、洗衣机、及各类小家电的消费电器业务、以家用空调、中央空调、供暖及通风系统的暖通空调业务；以德国库卡集团、安川机器人合资公司等为核心的机器人及 工业自动化系统业务、以安得智联为集成解决方案服务平台的智能供应链业务 。美的坚守“为客户创造价值”的原则，致力创造美好生活。美的专注于持续的技术革新，以提升产品及服务质量，令生 活更舒适、更美好。美的于1968年成立于中国顺德，现总部位于广东顺德北滘新城内。迄今已建立遍布全球业务平台。美的在世界范围内拥有约200家子公司、60多个海外分支机构及10个战略业务单位，同时为德国库卡集团最主要股东 （约95%）。2015年1月8日，《房间空气调节器节能关键技术研究及产业化》获得“国家科技进步奖”二等奖。2016年7月20日，美的集团以221.73亿美元的营业收入首次进入《财富》世界500强名单，位列第481位。 2017年5月25日，福布斯2017全球企业2000强榜单正式出炉，美的位列335名。 1月5日，腾讯QQ和美的集团在深圳正式签署战略合作协议，双方将共同构建基于IP授权与物联云技术的深度合作，实现家电产品的连接、对话和远程控制。 2017天猫双十一“亿元俱乐部”榜单显示，美的位列第二名。 
Midea,美的集团,美的集团 （SZ.000333）是一家领先的消费电器、 暖通空调、机器人及工业自动化系统、智能供应链（物流） 的科技集团 。美的集团提供多元化的产品和服务，包括以厨房家电、冰箱、洗衣机、及各类小家电的消费电器业务、以家用空调、中央空调、供暖及通风系统的暖通空调业务；以德国库卡集团、安川机器人合资公司等为核心的机器人及 工业自动化系统业务、以安得智联为集成解决方案服务平台的智能供应链业务 。美的坚守“为客户创造价值”的原则，致力创造美好生活。美的专注于持续的技术革新，以提升产品及服务质量，令生 活更舒适、更美好。美的于1968年成立于中国顺德，现总部位于广东顺德北滘新城内。迄今已建立遍布全球业务平台。美的在世界范围内拥有约200家子公司、60多个海外分支机构及10个战略业务单位，同时为德国库卡集团最主要股东 （约95%）。2015年1月8日，《房间空气调节器节能关键技术研究及产业化》获得“国家科技进步奖”二等奖。2016年7月20日，美的集团以221.73亿美元的营业收入首次进入《财富》世界500强名单，位列第481位。 2017年5月25日，福布斯2017全球企业2000强榜单正式出炉，美的位列335名。 1月5日，腾讯QQ和美的集团在深圳正式签署战略合作协议，双方将共同构建基于IP授权与物联云技术的深度合作，实现家电产品的连接、对话和远程控制。 2017天猫双十一“亿元俱乐部”榜单显示，美的位列第二名。 
TCL,TCL,TCL集团股份有限公司创立于1981年，是全球化的智能产品制造及互联网应用服务企业集团。集团现有7万 名员工，26个研发中心10余家联合实验室，22个制造加工基地 ，在80多个国家和地区设有销售机构，业务遍及全球160多个国家和地区。其前身为中国首批13家合资企业之一——TTK家庭电器（惠州）有限公司，从事录音磁带的生产制造，后来拓展到电话、电视、手机、冰箱、洗衣机、空调、小家电、液晶面板等领域。《财富》中文版于北京时间2017年7月31日发布了最新的《财富》中国500强排行榜，TCL集团股份有限公司在2017年中国500强排行榜（公司名单）中排名第64位。 
欧司朗,欧司朗,欧司朗，作为全球最具创新能力的照明公司之一，拥有多项世界领先的专利，众多世界著名工程都选择了欧司朗的照明产品和方案。一百多年来，欧司朗以其出色的光源产品而闻名于世。今天，欧司朗已成为世界两大光源制造商之一。欧司朗总部设在德国慕尼黑。
OSRAM,osram,一百多年来，OSRAM（中文名称：欧司朗）以其出色的光源产品而闻名于世。今天，OSRAM已成为世界两大光源制造商之一。OSRAM总部设在德国慕尼黑，曾经是西门子全资子公司，于2013年7月离开西门子系统独立发展。其产品广泛使用在公共场所、办公室、工厂、家庭以及汽车照明各领域。
三雄极光,三雄极光,三雄极光，是一家开发和生产高品质、高档次的绿色节能照明产品的企业，创立于1991年。公司于2017年3月17日成功登陆深圳证券交易所正式挂牌上市。股票简称“三雄极光”，股票代码300625。
Yeelight,Yeelight,Yeelight 是由青岛亿联客信息技术有限公司（Yeelink）设计制造的智能情景照明产品。Yeelight跟普通的球泡一样，拧进灯口即可使用。另外Yeelight还可以通过智能手机的蓝牙方式连接到灯泡，从而控制灯泡的颜色和亮度等功能。
德力西,德力西,中国德力西控股集团有限公司创办于1984年，是一个集资本营运、品牌营运、产业营运为一体的大型集团，注册资本15亿元。集团公司现有员工2.1万余人，综合实力连续11年荣登中国企业500强，位居中国民营企业500强前列。主要产业有电气制造、LED光电、能源矿业、综合物流、股权(PE)投资等。
孩视宝,孩视宝,孩视宝创建于1999年，十九年以来一直专注于阅读照明行业。是市场上知名的护眼台灯品牌。2000年，以“好光线，好视力”为起点，开发出以学生为主要用户的护眼灯。跨越性的提出了护眼的理念。随着时代的发展，为了适应消费者的各项需求，孩视宝在产品中也融入了各种健康元素。
首度,首度,首度，读音shǒudù，汉语词语，指开端；（事情）起头；开头。
好视力,好视力,北京好视力科技发展有限公司成立于2001年，是一家致力于眼健康产品的企业，2001年正式投放市场，已成为眼健康行业的领军品牌。好视力公司的主要产品是好视力护眼贴。北京好视力科技发展有限公司秉承体育营销之路，已相继成为“中国国家射击队的护眼产品”、“国内跳水系列赛事护眼产品”。好视力公司以“眼健康”为己任，率先开启了“绿色护眼”的时代。
HD,HD,HD是英文HighDefinition的简称，是指垂直分辨率大于等于720的图像或视频，也称为高清图像或高清视频，尺寸一般是1280×720和1920×1080。“高清”的全称为“高清晰度”。
康铭,康铭,深圳市康铭盛实业有限公司坐落于风景秀丽的深圳市宝安区观兰富康工业区。
VVS,VVS,VVS，Veryveryslightlyincluded，钻石净度分级标准之一。VVS不代表钻石纯度，只代表透度。所有钻石都能叫VVS，但是VVS有细分种类。其描述的钻石内部瑕疵的情况为：由经验丰富的分级人员用10倍专用放大镜观察，能够发现很小很小的瑕疵特征。其难度为很难到极难。根据瑕疵特征的尺寸、位置、数量决定是VVS1（Fewinclusionsat30x）还是VVS2（Someinclusionsat30x）。
奥普,奥普,杭州奥普电器有限公司是一家以生产家电产品为主的外商独资企业，隶属于香港上市公司奥普集团控股有限公司，主要生产销售包括浴霸、通风扇、电热毛巾架、厨房电器等家电系列产品。经过多年努力，公司获得了约150多项的国家专利，通过了多项国际认证。
正泰,正泰,正泰是正泰集团所拥有的企业与品牌的统称，该企业是柳市低压电器龙头企业，2001年跻身全国民营企业五百强第四位。主要从事领域：广泛服务于电力、建筑、冶金、石化、水利、航天、航空、电子等行业领域；产品涉及范围：工业电器研发制造与装配服务、输配电气研发制造、建筑消费电器研发生产与配套服务、光伏光伏电池及组件系统研发制造。
阳光,王惠,王惠，艺名阳光，1982年8月20日出生于吉林省辽源市。毕业于中央戏剧学院，中国内地女演员。2000年参演电视剧《八岁龙爷闹东京》而出道。2002年领衔主演动作科幻剧《少年王》。2003年出演奇幻武侠剧《水月洞天》和《灵镜传奇》。2006年出演古装奇幻剧《神鬼八阵图》。2008年参演的电视剧《大国医》获得第十一届精神文明建设“五个一工程”奖 。2011年在张纪中版《西游记》中饰演嫦娥 。
麦拓,麦拓,
