海澜之家,海澜之家,“海澜之家”（英文缩写：HLA）是海澜之家股份有限公司旗下的服装品牌，主要采用连锁零售的模式，销售男性服装、配饰与相关产品。2014年4月11日，海澜之家正式登陆A股市场，证券代码为：600398；2015年12月29日，根据标准普尔发布的统计数据，海澜之家股份有限公司的市值已超过600亿人民币 ；截止2016年12月31日，海澜之家品牌门店数量已达到4237家，遍布全国31个省。
HLA,海澜之家,“海澜之家”（英文缩写：HLA）是海澜之家股份有限公司旗下的服装品牌，主要采用连锁零售的模式，销售男性服装、配饰与相关产品。2014年4月11日，海澜之家正式登陆A股市场，证券代码为：600398；2015年12月29日，根据标准普尔发布的统计数据，海澜之家股份有限公司的市值已超过600亿人民币 ；截止2016年12月31日，海澜之家品牌门店数量已达到4237家，遍布全国31个省。
班尼路,班尼路,班尼路，创立于1981年，本身为一个意大利品牌，20世纪80年代就开始在香港经营，后来进入大陆进行销售。班尼路发展相当迅速，业务由广州、香港、北京、上海等大城市，伸延至台湾、武汉、长沙、黑龙江等地，新加坡及中东地区亦有班尼路的分公司及店铺。“班尼路”以男、女、中性的休闲服为主导，产品强项是基础休闲服及针织类衣料，如T恤等。“班尼路”善于集合当季流行元素，尽显时尚大方 。
Baleno,班尼路,班尼路，创立于1981年，本身为一个意大利品牌，20世纪80年代就开始在香港经营，后来进入大陆进行销售。班尼路发展相当迅速，业务由广州、香港、北京、上海等大城市，伸延至台湾、武汉、长沙、黑龙江等地，新加坡及中东地区亦有班尼路的分公司及店铺。“班尼路”以男、女、中性的休闲服为主导，产品强项是基础休闲服及针织类衣料，如T恤等。“班尼路”善于集合当季流行元素，尽显时尚大方 。
七匹狼,福建七匹狼实业股份有限公司,七匹狼品牌创立于1990年，是中国男装行业开创性品牌。2000年推出格子茄克，成为红遍大江南北的“茄克之王”，并在此后连续16年中国茄克市场占有率第一。 2004年七匹狼实业股份有限公司作为中国服装业首家公司上市（股票代码：002029）。作为BrandZ最具价值中国品牌一百强，七匹狼在行业内率先系统提出“男人不只一面”的服装品牌文化经营理论，形成了以品牌为核心、以生活形态产业为主导的现代企业经营体系。 在立足于对博大精深的中华传统文化积极挖掘的同时，七匹狼将西方流行时尚元素融于自身设计理念，并致力于推动中国传统文化与现代时尚创意产业的契合。“男人不只一面”，七匹狼以“品格男装”突显国际化品质和中西兼容的文化格调，以时尚传承经典，以中国面向世界。2016年6月20日，米兰富有历史与盛名的圣巴拿巴回廊内，七匹狼2017年春夏狼文化大秀上演。这是七匹狼继2015年作为首个被米兰时装周官方邀请走秀的中国男装品牌登上米兰时装周之后，再次登上这个时尚领域的顶尖盛事。 
美特斯邦威,美特斯·邦威,“美特斯·邦威”是美特斯邦威集团自主创立的本土休闲服品牌。美特斯邦威集团公司于1995年创建于中国浙江省温州市，主要研发、生产、销售美特斯·邦威品牌休闲系列服饰。品牌名称凝聚了集团创始人周成建先生永不忘却的民族品牌情节和对于服饰文化的情有独钟。在社会各界及广大消费者的关心与支持下，美特斯邦威集团迅速发展壮大。
Meters Bonwe,美特斯·邦威,“美特斯·邦威”是美特斯邦威集团自主创立的本土休闲服品牌。美特斯邦威集团公司于1995年创建于中国浙江省温州市，主要研发、生产、销售美特斯·邦威品牌休闲系列服饰。品牌名称凝聚了集团创始人周成建先生永不忘却的民族品牌情节和对于服饰文化的情有独钟。在社会各界及广大消费者的关心与支持下，美特斯邦威集团迅速发展壮大。
A21,A21,A21城巴线是香港特别行政区一条来往红磡站及香港国际机场的机场巴士路线（编号A21），A21由城巴经营，提供港铁红磡站、尖沙咀、佐敦、油麻地、旺角、西九龙新区及海丽邨来往机场（一、二号客运大楼）的机场巴士服务。A21城巴线是六条城巴机场快线中，其中两条不取道昂船洲大桥往来的路线之一（另一条为A29线，因取道龙翔道及呈祥道往来，无法驶入昂船洲大桥），城巴发言人表示，运输署拒绝了本线改道的申请。 
森马,森马,森马，国内休闲服行业迅速崛起的领军品牌。森马集团有限公司以“创大众服饰名牌”为发展宗旨，积极推行特许经营发展模式，休闲装和童装品牌连锁网点遍布全国二十九个省、市、自治区、直辖市，形成了完整的市场网络格局。集团公司现有休闲装“semir”及童装“balabala”等两个知名服装品牌。森马集团有限公司于1996年12月18日创立于浙江省温州市，是一家以虚拟经营模式为特色，以系列休闲服饰为主导产业的无区域集团。其公司注册资本为人民币2.38亿元，总资产达10多亿元，是温州市大企业大集团之一。
Semir,semir,
红豆,红豆,相思子（学名：AbrusprecatoriusL.）：藤本。茎细弱，多分枝。羽状复叶；小叶8-13对，膜质，对生，近长圆形。总状花序腋生，长3-8厘米；花序轴粗短；花小，密集成头状；花萼钟状，萼齿4浅裂，被白色糙毛；花冠紫色，旗瓣柄三角形，翼瓣与龙骨瓣较窄狭。荚果长圆形，果瓣革质，成熟时开裂，有种子2-6粒；种子椭圆形，平滑具光泽，上部约三分之二为鲜红色，下部三分之一为黑色。花期3-6月，果期9-10月。是豆科相思子属的一种有毒植物，广泛分布于热带地区。种子中含有一种称为相思豆毒蛋白（Abrine）的蛋白质，此毒素具有很强的毒性，误食时会中毒，严重时甚至会丧命。种子可以做成珠串饰物与打击乐器；台湾民间亦流传有以茎入茶增添香气的做法。产中国台湾、广东、广西、云南。生于山地疏林中。广布于热带地区。（概述图片参考资料来源： ）
Hodo,HODO,《HODO》是一款Android平台的应用。
卡宾,卡宾,卡宾(carbene)，又称碳烯，一般以R2C：表示，指碳原子上只有两个价键连有基团，还剩两个未成键电子的高活性中间体。卡宾的寿命远低于1秒，只能在低温下(77K以下)捕集，在晶格中加以分离和观察。它的存在已被大量实验所证明。
CABBEEN,cabbeen,Cabbeen（卡宾）是中国知名服装设计师卡宾先生1997年在香港创立的个性休闲男装品牌。“颠覆流行”的品牌理念，前瞻性的个性时尚定位以及对原创设计的强调与坚持，使今日之Cabbeen已经成为中国原创潮流男装的代名词。2008年秋冬季开始，Cabbeen的产品细分为休闲、都市、潮流三大系列，真正与国际设计师品牌的多元化、多层次产品结构接轨。
雅戈尔,雅戈尔集团股份有限公司,雅戈尔集团（600177）创建于1979年，经过近30年的发展，逐步确立了以品牌服装、地产开发、股权投资三大产业为主体，多元并进、专业化发展的经营格局，成为拥有员工5万余人的大型跨国集团公司，旗下的雅戈尔集团股份有限公司为上市公司。2011年07月14日，一份报告披露了上市公司雅戈尔长期污染水源的情况。雅戈尔集团创建于1979年，经过36年的发展，逐步确立了以品牌服装为主业，涉足地产开发、金融投资领域，多元并进、专业化发展的经营格局，成为拥有员工5万余人的大型跨国集团公司，旗下的雅戈尔集团股份有限公司为上市公司。雅戈尔在全国拥有772家自营专卖店，各品牌商业网点2632家。主打产品衬衫为全国衬衫行业第一个国家出口免验产品，连续17年获得市场综合占有率第一位，西服连续12年保持市场综合占有率第一位。2016年8月，雅戈尔集团在"2016中国企业500强"中排名第219位。 
YOUNGOR,youngor,youngor，即雅戈尔集团股份有限公司。雅戈尔集团创建于1979年，经过30多年的发展，逐步确立了以纺织、服装、房地产、国际贸易为主体的多元并进，专业化发展的经营格局。2005年集团实现销售收入167.17亿元，同比增长19.88%，实现利润总额10.18亿元，同比增长13.18%出口创汇7.95亿美元。集团现拥有净资产50多亿元，员工25000余人，是中国服装行业的龙头企业，综合实力列全国大企业集团500强第144位，连续四年稳居中国服装行业销售和利润总额双百强排行榜首位。
佐丹奴,佐丹奴,佐丹奴以经营休闲服装为主，无论是休闲一派，上班一族或稚龄的儿童，都能在佐丹奴找到合适穿着的货品。黎智英后来专注于他的传媒事业，逐渐把持有的佐丹奴股票出售，在2000年左右已经完全退出佐丹奴集团。
花花公子,花花公子,花花公子是花花公子企业国际有限公司的品牌，英文名：PlayboyEnterprisesInternationalInc。公司创立于1953年，主要从事娱乐产业，旗下包括化妆品，箱包，杂志，传媒等各个领域。
PLAYBOY,花花公子,“花花公子”服饰系列品牌由美国花花公子企业国际有限公司（PlayboyEnterprisesInternationalInc.）创始人休·赫夫纳一手主导推出。美国“花花公子”品牌从1953年诞生之初的高端品牌，逐渐走向了亲民化路线，上至名流、政要，下至普通消费者，每个人心中都有一个“花花公子”，它成为了全球最受欢迎的品牌之一。
李维斯,李维斯,李维斯（Levi's）是著名的牛仔裤品牌，由犹太商人LeviStrauss（李维·斯特劳斯）创立。1853年，LeviStrauss成立了生产帆布工装裤的LeviStrauss&Co.公司。1873年他与另一伙人JACOBDAVIS把他们生产的扣钮牛仔裤上所用的「撞钉」注册专利，标志着第一条牛仔裤的诞生。作为牛仔裤的“鼻祖”，Levi's象征着美国野性、刚毅、叛逆与美国开拓者的精神。它历经一个半世纪，从美国流行到全世界，并成为全球各地男女老少都能接受的时装。靛蓝牛仔斜纹布、腰后侧的皮章、裤后袋上的弧线、铆钉、独有的红旗标等都是李维斯的特点。李维斯百年来不断追求创新，1960年，推出水洗系列牛仔裤，1967年出现喇叭口裤型、1986年开始生产预先穿洞的破烂牛仔裤、将牛仔裤裤管翻过来的“翻边”、2003年性感新潮剪裁独特、款式至酷的TYPE1TM系列。
