朵拉朵尚,朵拉朵尚,朵拉朵尚品牌灵感源自欧洲东南部的古老国度，继承了古老神话的经典，延续了花神青春、自然的使命，传承了美与社会天然合一，育蕴出极具典雅时尚的香薰精品——DoraDoSun（朵拉朵尚）。
Boots,Boots,《Boots》是由美国女歌手Kesha录唱的一首歌曲，歌曲被收录在歌手的第三张录音室专辑《Rainbow》中为第11首歌曲 。
伊蒂之屋,伊蒂之屋,伊蒂之屋ETUDEHOUSE是韩国第一化妆品集团爱茉莉太平洋集团旗下直营的甜美彩妆品牌，也是集团在中国大陆五大品牌中唯一的彩妆品牌，以其粉红、梦幻的公主风格和潮流创意的化妆品深受世界各地女性的喜爱。曾为中国少女所熟知的“爱丽”、“爱丽小屋”。由品牌直营在中国开设单品牌独立门店。现在ETUDEHOUSE伊蒂之屋的代言人是韩国人气女团f(x)的成员郑秀晶Krystal。
Miss Candy,Miss Candy,MissCandy 品牌专注于健康美甲产品的研发，开创了“健康指彩”新品类，目前美誉度、知名度、销售额等均位列国内各品牌前茅。 核心人群为25~34岁的中高收入女性。 MissCandy 推出200余种独特色彩，均使用国外进口原料，产品无毒无味，健康环保 。MissCandy 在一线城市的shoppingmall里建立了数家如梦幻色彩城堡一般的体验店，如上海环球港、静安寺晶品、杭州万象城、银泰IN77等。 MissCandy 品牌的愿景是打造全世界健康的甲油，让女性方便享受健康美甲生活。 
韩雅,韩雅,韩雅ANYA ，源自韩国领先的皮肤管理科学。通过对中韩女性肌肤问题的深入研究，利用权威机构的专利科技，完美结合多年经市场验证的纯净、高效原料为中国女性提供科学、有效的皮肤管理方案，还原肌肤健康活力状态。尤以蜗牛修复系列、明星B.B霜系列和高端功能护肤系列，为中国女性提供针对性的肌肤解决方案。时至今日，凭借自身卓越的产品品质、专业的肌肤管理方法、良好的市场口碑，一直深受消费者的喜爱。
汤姆逊,约瑟夫·约翰·汤姆逊,约瑟夫·约翰·汤姆逊（Thomson，JosephJohn；1856年—1940年），英国物理学家，电子的发现者。约瑟夫·约翰·汤姆逊是第三任卡文迪许实验室主任，以其对电子和同位素的实验著称。一幅他正在研究阴极射线管的肖像挂在实验室的麦克斯韦讲演厅里。
Martin,martin,弗兰克·马丁音乐家制作，一个半世纪以来，MARTIN吉他公司一直被公认为是世界上最好的乐器公司。在传统的家族式的管理模式下，MARTIN吉他反映的是家族六个世代吉他制作的精湛工艺。
春雨,春雨,《春夜喜雨》是杜甫晚年“飘泊西南”时在成都所作，见与《杜工部集》，作于上元二年（公元761年）春。从诗人对春雨的描述中，流露出对春雨的喜悦。
Sweet Color,sweet color,sweetcolor环保指甲油源自法国的时尚体验，以环保的理念，与时尚融合在一起，于是诞生了sweetcolor，不但流淌着塞纳河畔的清纯，也散发着香榭里大街的潮流。
花仙子,花仙子,日本著名动画「花仙子」，原名「花の子ルンルン」，是改革开放后进入中国的日本动画之一，是东映魔法少女系列动画的第八作。本作曾在中国刮起了一阵少女风潮，是70末、80、90初后出生的人童年记忆最深刻的日本动画。「花仙子」宣扬人性的真善美，讲述了继承了花仙血统的少女小蓓旅行世界各个国家寻找能带来幸福与快乐的七色花的故事。
安全地带,安全地带,安全地带是由玉置浩二，矢萩渉，武沢豊，六土开正，田中裕二等五位日本人所组成的一批乐队。乐队的代表作品有《コンプリートベスト》、《ゴールデン☆ベスト》等。
Carslan,卡姿兰,卡姿兰，时尚彩妆领导品牌，始终坚持并倡导“活出经典”的时尚美妆理念，用“年轻、轻经典”的创意灵感指引彩妆潮流趋势，不断开发高品质彩妆产品，让年轻爱美女性永远走在时尚的尖端。 
丽丽贝尔,丽丽贝尔,丽丽贝尔是日本铃兰株式会社旗下的品牌。铃兰株式会社是集生产医用敷料、卫生用品、女性化妆辅助用品、婴儿用品等产品的专业集团公司。总部设于日本名古屋迄今已有百余年的历史在公司全体员工的努力下由于品质、交货期、服务等各方面具有卓越竞争力且一直秉持着“消费者第一”的经营理念因此在业界脱颖而出。
Stockwell,Stockwell,
