雅马哈,雅马哈,雅马哈（Yamaha、山叶）品牌于1887年在日本前桥创立。雅马哈产品从钢琴、电子琴、合成器等键盘乐器，铜管、木管等管乐器，小提琴、大提琴等弦乐器，以及所有的打击乐器，直至最高级的专业音响设备都有涉及。同时，雅马哈还是一个经营音乐普及事业、网络产品、体育用品、厨房卫浴用品、发动机、贴片机等其他各种产品的综合性国际集团。雅马哈公司（英语：YamahaCorporation）是一家生产乐器、音响设备及音效产品的日本公司，现时是世界上最大的乐器生产商。总部位于日本，旗下子公司还经营家居设备及以摩托车为主的事业。于2004年开发电子音乐制作语音合成软件核心引擎VOCALOID。雅马哈的产品包括钢琴、电子琴、数码钢琴、手提式电子琴、管乐器、弦乐器、敲击乐器、静音乐器、电子乐器等全线乐器。另外，音效芯片、XG声卡、影音处理机器、系统处理机器、专业音响机器、半导体至电子产品、防音工程及高尔夫球用品都属于业务范围之内。出产品牌“Yamaha”的乐器及音响器材在香港由通利琴行代理。
YAMAHA,雅马哈,雅马哈（Yamaha、山叶）品牌于1887年在日本前桥创立。雅马哈产品从钢琴、电子琴、合成器等键盘乐器，铜管、木管等管乐器，小提琴、大提琴等弦乐器，以及所有的打击乐器，直至最高级的专业音响设备都有涉及。同时，雅马哈还是一个经营音乐普及事业、网络产品、体育用品、厨房卫浴用品、发动机、贴片机等其他各种产品的综合性国际集团。雅马哈公司（英语：YamahaCorporation）是一家生产乐器、音响设备及音效产品的日本公司，现时是世界上最大的乐器生产商。总部位于日本，旗下子公司还经营家居设备及以摩托车为主的事业。于2004年开发电子音乐制作语音合成软件核心引擎VOCALOID。雅马哈的产品包括钢琴、电子琴、数码钢琴、手提式电子琴、管乐器、弦乐器、敲击乐器、静音乐器、电子乐器等全线乐器。另外，音效芯片、XG声卡、影音处理机器、系统处理机器、专业音响机器、半导体至电子产品、防音工程及高尔夫球用品都属于业务范围之内。出产品牌“Yamaha”的乐器及音响器材在香港由通利琴行代理。
卡西欧,卡西欧,卡西欧（CASIO，カシオ计算器株式会社）是日本一家生产电子仪器、电子计算器公司旗下的品牌。该品牌于1946年4月由樫尾忠雄创立，他是一名精通装配的工程师。品牌的名字来自樫尾的日语读音Kashio。 卡西欧TR系列的初衷也是为女性打造TOP的美颜拍摄感受，最新的光影美颜功能即便在暗处拍摄也能展现自然肌肤状态。 2018年5月9日，卡西欧公司宣布，将退出小型数码相机市场。 
CASIO,Casio,CASIO中文名称卡西欧，卡西欧品牌源于日本，创立于1957年，创业之始是为计算机制造商的卡西欧计算机股份有限公司，现已发展拥有计算器、电子表、电子乐器、液晶电视等产品。这些产品帮助世界各地的人们获取信息、卡西欧的经营理念是“贡献、创造”。
罗兰,罗兰,罗兰（HelenaLawLan），1934年11月13日出生于香港，原名卢燕英，香港女演员。曾获得2000年香港电影金像奖最佳女主角和香港电影评论学会最佳女主角。于1950年涉足影坛，曾参与过百部电影的演出，长期以来都在电影中担任了绿叶一职，在长达半个多世纪的演艺生涯中，罗兰以其精湛到出神入化的演技，演活了一干龙婆、女鬼、盲女等奇异形象，被誉为香港的常青甘草演员。尤其是在70年代的鬼片风潮里，她演的女鬼形象实在令人过目难忘。是香港著名的实力派演员，代表作品有《神雕侠侣》、《阴阳路系列》、《爆裂刑警》等。2016年参演电视剧《一屋老友记》。
Roland,ROLAND,Roland是电子乐器的制造及销售商，产品范围涵盖了键盘、合成器、吉它相关产品、电子打击乐产品、数字录音设备、音箱及音频处理设备等。经过25年的不断研发，Roland在下面这些领域均树立的数字音乐技术的标准。看看你喜爱的音乐人，他们或许正在使用着Roland产品。 
红棉,红棉,红棉——木棉的别称。以开花红色得名。为木棉科落叶大乔木，又名英雄树、攀枝花，树形高大，雄壮魁梧，枝干舒展，花红如血，硕大如杯，盛开时叶片几乎落尽，远观好似一团团在枝头尽情燃烧、欢快跳跃的火苗，极有气势。因此，历来被人们视为英雄的象征。
Kapok,KAPOK,KAPOK，英文单词，意思是木棉。
星海,星海,《星海》又名《少年星海》，是李前宽、肖桂云夫妇执导的剧情片，由徐若瑄、苏嘉航、王成阳主演，苏有朋为特邀演员。同时也是庆祝新中国成立六十周年、庆祝澳门回归祖国十周年重点献礼片。 该片是以音乐家冼星海百年前在澳门的童年往事为主要内容，展示了当年其与家人的生活画卷。影片讲述少年冼星海在澳门东西文化交融的社会背景里，受葡国琴师的影响及中国音乐老师肖友梅的教导，启发其音乐天赋的感人故事。 该片入选2011年教育部广电部广电总局推荐的第26批优秀电影儿童片。 且于2014年10月20日在美国纽约联合国总部放映。 
安德鲁,安德鲁,安德鲁英文翻译为Andrew，在不同的地方和领域都被使用到，通常作为名称被使用。其中英国一家跨国企业以这个词命名；Andrew是在许多国家常见的英文名/英文姓；此外，还做为游戏人物名称。
ANDREW,Andrew Charlie Gregson,AndrewCharlieGregson是一名影视演员、模特、导演、制作人，1978年9月1日出生于泰国曼谷，主要作品有《庭院深深》、《月光皇冠》、《菜市场的爱情》等。
天鹅,天鹅,天鹅指雁族（学名：Cygnus）的鸟类，属游禽。除非洲、南极洲之外的各大陆均有分布。为鸭科中个体最大的类群。颈修长，超过体长或与身躯等长；嘴基部高而前端缓平，眼腺裸露；尾短而圆，尾羽20-24枚；蹼强大，但后趾不具瓣蹼。喜欢群栖在湖泊和沼泽地带，主要以水生植物为食，也吃螺类和软体动物。多数是一夫一妻制，相伴终生。求偶的行为丰富，雌雄会趋于一致的做出相同的动作，还会体贴地互相梳理羽毛。一年繁殖一次，卵的体积较大，如大天鹅的卵有400多克重。幼鸟为早成雏。迁徙时会多群集结，但仍是小群行动。
SWAN,SWAN,《SWAN-天鹅（芭蕾群英）》日文名白鸟作者：有吉京子制作·发行AkitaShotenShueisha出品年份1976
Tom,汤姆,汤姆（Tom）是米高梅公司制作的经典动画片《猫和老鼠》中的主角之一，是一只蓝灰和白色混合的家猫。他与小老鼠杰瑞之间可称得上是一对欢喜冤家，有时是敌人，有时是朋友，有时互相捣乱，有时互相帮助，有时争论不休，有时团结和谐。两人之间不时会追来追去，且很多时候都是善意的。他每天忙碌于捉住同住在一起的杰瑞，但总是不如意，总在被耍，憨傻得可爱。不过，很多次当他抓住了杰瑞后，也会流露出一种令人无语的善良情感，将杰瑞放了。另外，他也爱慕漂亮的千金母猫图多盖洛。有时还被其他成员欺负。总之是一个集喜剧与悲剧于一身的人物。
美得理,美得理,“MEDELI”响誉于上世纪80年代初。深圳市高新技术企业，并连续八年被评为中国乐器行业强势公司。
铃木,铃木,铃木（SUZUKI），成立于1920年，是一家日本的汽车制造企业。铃木商标图案中的“S”是“SUZUKI”的第一个大写字母，它给人以无穷力量的感觉，象征无限发展的铃木汽车公司。铃木向全世界的客户提供优质产品，并且向使用铃木产品的客户提供优质服务。1952年开始生产摩托车，1955年开始生产汽车，以生产微型汽车为主。通用持有铃木10%的股权。铃木于1984年首次提供技术给中国市场，也是最早进入中国市场的日本汽车公司之一。2012年11月5日，铃木公司宣布退出美国汽车销售市场，将集中于摩托车销售业务。
SUZUKI,铃木,铃木（SUZUKI），成立于1920年，是一家日本的汽车制造企业。铃木商标图案中的“S”是“SUZUKI”的第一个大写字母，它给人以无穷力量的感觉，象征无限发展的铃木汽车公司。铃木向全世界的客户提供优质产品，并且向使用铃木产品的客户提供优质服务。1952年开始生产摩托车，1955年开始生产汽车，以生产微型汽车为主。通用持有铃木10%的股权。铃木于1984年首次提供技术给中国市场，也是最早进入中国市场的日本汽车公司之一。2012年11月5日，铃木公司宣布退出美国汽车销售市场，将集中于摩托车销售业务。
