多乐士,多乐士,多乐士是阿克苏诺贝尔旗下的著名建筑装饰油漆品牌，产品畅销于全球100个国家，每年全球有5000万户家庭使用多乐士油漆。多乐士品牌涵盖了乳胶漆、木器漆、墙面漆和涂刷配件等众多产品以及家易涂一站式墙面焕新服务，为人们的生活增添色彩。多乐士，多彩开始。
立邦,立邦,立邦是世界知名的涂料制造商，成立于1883年，已有超过100年的历史，是世界上较早的涂料公司之一。1962年立时集团成立，负责管理全球立邦在东南亚区域立邦涂料的所有业务活动，业务发展覆盖到了12个亚洲国家，先后建立20多家制造工厂，员工超过6000多名。1992年进入中国的立邦涂料，在全球涂料厂家的排名一直较好，是国内涂料行业的佼佼者。立邦一直以美化和保护人们的生活为己任，不断生产出品质优越的产品，10多年来，立邦的足迹遍及大江南北。在全国各地都建立有自己的办事机构，立邦在各地的服务中心像一条纽带，将消费者、油漆工、立邦公司，千千万万的家庭联系在一起。立邦中国隶属于新加坡立时集团。立邦始终以开发绿色产品、注重高科技、高品质为目标，以技术力量不断推进科研和开发，满足消费者需求。 立邦秉承“立邦，为你刷新生活”品牌主张，实践“体验为重”的消费模式，在全国成立新的“刷新”旗舰店，推出整合线上线下渠道的刷新服务，改变消费者对涂料的传统认知，更新涂料行业的销售模式。 “不用您动手，帮您焕新家”是立邦“刷新服务”的核心理念，该服务主要为消费者提供墙面涂刷和木制品家具涂刷服务，帮助消费者解决墙面裂纹、污渍、掉皮、发霉等问题。 立邦作为亚太地区涂料制造商之一，其业务范围广泛，涉及到领域建筑涂料、汽车涂料、一般工业涂料、卷钢涂料、粉末涂料等领域。广州本田、天津丰田、奥运会重点场馆，中央电视台新台址等。
汉高百得,汉高百得,汉高百得是发源于德国杜塞尔多夫，德国汉高旗下最强有力的全球性战略品牌有近60年的历史传承，拥有万能胶白胶防水胶建筑胶玻璃胶金属胶木工胶等14个品类2700个左右的产品涉及世界48个国家。
东鹏,东鹏,深圳市东鹏饮料实业有限公司拥有功能饮料、植物饮料、清凉饮料、豆制品、水和陈皮蜜饯等各类产品 。深圳市东鹏饮料实业有限公司南宁生产基地项目位于高新区明华路，项目总投资约5.3亿元，配备6条生产线，包含瓶装生产线和利乐生产线，年产能达20万吨。项目建成投产后预计年产值超过8亿元，年税收约4000万元，提供就业岗位500多个。 
鹰牌,鹰牌,鹰牌卫浴是1996年在香港成立的一个卫浴公司，鹰牌卫浴（香港）控股有限公司是一家专业致力于开发生产洁具产品的大型卫浴企业。公司以“质量第一，服务至上”为企业的经营理念，打造世界洁具行业的知名品牌。公司经营产品品种齐全，质量可靠，产品符合GB6952-2005国际标准并通过ISO9001:2000国际质量体系认证，先后荣获“中国著名品牌”“全国产品质量公证十佳品牌”“中国优秀环保绿色产品”等一系列证书。
伟星,伟星,伟星集团，创建于1976年9月，总部位于浙江省经济发达的温州与宁波区域之间的台州古城——临海市。经过近三十年持续稳健发展，现已成为产业专业化、信息网络化、经营国际化、管理规范化的国家级集团公司。形成了以服装辅料、新型建材、房地产、工艺饰品为四大支柱产业，集商贸、金融投资、光学制品为一体的经营格局；建立了临海伟星辅料工业园、临海伟星高新技术工业园、深圳坂田伟星工业园、上海奉贤伟星工业园；开辟了覆盖国内各大中城市和辐射欧、美、亚、非、大洋洲五大洲的营销网络。
三棵树漆,三棵树漆,三棵树涂料是国内“健康漆”领军品牌，首家提出“健康漆”概念，短短几年在竞争激烈的涂料市场异军突起，营销网络已基本覆盖全国，并在分公司、四川、福建等设有分公司和办事处，获得了“中国驰名商标”、“中国名牌产品”等国家级荣誉，成为“神舟六号、神舟七号唯一搭载涂料品牌”。
皇氏工匠,皇氏工匠,皇氏工匠2012年创立于上海，隶属于域金澜优电子商务有限公司。现已发展成为集设计、研发、生产、仓储、销售五大版块的大型线上品牌。
克里斯汀,克里斯汀·斯图尔特,克里斯汀·斯图尔特，1990年4月9日出生于美国洛杉矶，美国演员。1999年，在奇幻电视电影《小美男鱼》中短暂亮相。2001年，出演了独立电影《拜物有理》。2002年，因主演惊悚悬疑电影《战栗空间》而获得了青年艺术家奖最佳女主角提名 。2003年，参演了惊悚片《凶宅》，凭借该片获得了第14届青年艺术家奖最佳新星提名 。2004年，主演了犯罪喜剧片《小鬼神偷》，这是克里斯汀·斯图尔特首次担任主角； 同年，因主演剧情片《不再沉默》而获得了更多关注。 2005年，主演了科幻冒险电影《勇敢者的游戏2：宇宙历险》。2007年，参演了冒险电影《荒野生存》，由此获得了第19届青年艺术家奖最佳女配角奖及最佳新人奖 。2008年，凭借奇幻爱情电影《暮光之城》获得了第18届MTV电影奖最佳女演员奖 。2009年，主演了奇幻爱情电影《暮光之城：新月》，凭借该片获得了第19届MTV电影奖最佳女演员奖 。2010年，因主演奇幻爱情电影《暮光之城：月食》而获得了第20届MTV电影奖最佳女演员奖 。2011年，主演了奇幻爱情电影《暮光之城：破晓（上）》，由此获得了第14届青少年选择奖最佳爱情电影女演员 。2012年，凭借奇幻爱情电影《暮光之城：破晓（下）》，获得了第15届青少年选择奖奇幻/科幻类最佳女演员和最佳爱情电影女演员 。2014年，主演了剧情片《锡尔斯玛利亚》，凭借该片获得了第40届法国凯撒奖最佳女配角奖，成为美国历史上第一位捧回凯撒奖杯的女演员 。2016年，主演了剧情片《比利·林恩的中场战事》。
潜水艇,潜艇,潜艇或称潜水船、潜舰是能够在水下运行的舰艇。 潜艇的种类繁多，形制各异，小到全自动或一两人操作、作业时间数小时的小型民用潜水探测器，大至可装载数百人、连续潜航3-6个月的俄罗斯台风级核潜艇。按体积可分为大型（主要为军用）、中型或小型（袖珍潜艇、潜水器）和水下自动机械装置等。 大型潜艇多为圆柱形，船中部通常设立一个垂直结构（舰桥），早期称为“指挥塔”，内有通讯、感应器、潜望镜和控制设备等。如今的深海潜艇或专业潜艇常已无此设计。 自第一次世界大战后，潜艇得到广泛运用，担任许多大国海军的重要位置，其功能包括攻击敌人军舰或潜艇、近岸保护、突破封锁、侦察和掩饰特种部队行动等。潜艇也被用于非军事用途，如海洋科学研究、抢救财物、勘探开采、科学侦测、维护设备、搜索援救、海底电缆维修、水下旅游观光、学术调查等，超级富豪甚至用为海下移动豪宅。潜艇是公认的战略性武器（尤其是在裁军或扩军谈判中），其研发需要高度和全面的工业能力，目前只有少数国家能够自行设计和生产。特别是弹道导弹核潜艇更是核三位一体的关键一极。潜艇也是较早期就有的匿踪载具。潜艇的噪音降至90分贝左右就可以“淹没”在浩瀚的海洋背景噪音中，就不是当代声纳所能侦测的。 
Submarine,submarine,
奥斯邦,奥斯邦,奥斯邦1966年于成立美国，是胶粘剂及气雾喷罐的全球领先者。奥斯邦专业致力为客户提供高效、安全、环保的化学产品，并在胶粘、密封、润滑、清洁、保护及维修等领域，提供全方面的解决方案。
雨虹,雨虹,《雨虹》是曹方作词、作曲并演唱的一首歌曲，收录于曹方2015年发行的个人专辑《流浪癖》中。 
嘉宝莉,嘉宝莉,作为领先的涂料及涂装方案提供商，嘉宝莉长期专注于涂料与油墨的研发、生产和销售，集团现年销售收入，年纳税额2亿多元。从2011年开始，嘉宝莉蝉联美国《涂料世界》发布的“全球顶级涂料排名”，2013年，嘉宝莉还首次跻身全球涂料40强，位列第36位。 
大自然,大自然,大自然（nature）是指狭义的自然界。它是与人类社会相区别的物质世界。即自然科学所研究的无机界和有机界。自然界是客观存在的；它是我们人类即自然界的产物本身赖以生长的基础。
Nature,nature,英国著名杂志《Nature》是世界上最早的国际性科技期刊，自从1869年创刊以来，始终如一地报道和评论全球科技领域里最重要的突破。影响因子40.137（17年数据）。其办刊宗旨是“将科学发现的重要结果介绍给公众，让公众尽早知道全世界自然知识的每一分支中取得的所有进展”。《Nature》网站涵盖的内容相当丰富，不仅提供1997年6月到最新出版的《Nature》杂志的全部内容，其姊妹刊物《Nature》出版集团(TheNaturePublishingGroup)出版的8种研究月刊，6种评论杂志，2种工具书。
马可波罗,马可·波罗,马可·波罗（MarcoPolo），1254年9月15日出生于克罗地亚考尔楚拉岛，威尼斯旅行家、商人，著有著名的《马可·波罗游记》。于1324年1月8日逝世。根据马可·波罗本人自述（马可·波罗的狱友所写的）《马可·波罗游记》（以下关于其本人经历的描述，均来自《马可·波罗游记》），其关于中国的经历的描写，在中西方史学界尚存有一定争议，而且争议双方都不能有充分的证据证明其来过或者未来过中国。
MARCO POLO,马可·波罗,马可·波罗（MarcoPolo），1254年9月15日出生于克罗地亚考尔楚拉岛，威尼斯旅行家、商人，著有著名的《马可·波罗游记》。于1324年1月8日逝世。根据马可·波罗本人自述（马可·波罗的狱友所写的）《马可·波罗游记》（以下关于其本人经历的描述，均来自《马可·波罗游记》），其关于中国的经历的描写，在中西方史学界尚存有一定争议，而且争议双方都不能有充分的证据证明其来过或者未来过中国。
乐图,乐图,乐图是一个免费的手机地图软件，支持GPS语音导航（V3以后的版本语音导航功能已收费），位置搜索、电子地图浏览、地图查询、公交查询、GPS位置追踪等服务
维芙,维芙,维芙，加拿大滑冰运动员。
ergo,ergo,在英语母语国家，人们将Ergo独立出来做了ErgonomicErgonomics的简称，既可做形容词也可作名词，为“人体工学”之含意，如今已较少有其希腊文原意。
旗航壁纸,旗航壁纸,旗航壁纸（简称：旗航，英文标识：QHANG）即上海旗航装饰材料有限公司，是当前中国最大的壁纸品牌之一。2008年3月，旗航于上海十大商业中心之一的徐汇区创立，并集产品设计、研发、生产、销售于一体。作为高端壁纸领航者，旗航积极参与国际一流家饰展会及合作，引入并创新出多种顶尖制作工艺及产品，始终致力于家装行业持续健康发展。
贝尔,贝尔·格里尔斯,贝尔·格里尔斯（BearGrylls），1974年6月7日出生于英国怀特岛本布里奇城，探险家、主持人、作家、演讲家。 2006年，因其在探索频道主持节目《荒野求生》中所食用的东西太过惊人，而被冠以“站在食物链顶端的男人”的称号 。2007年，贝尔为英国四频道做了八个系列节目，节目名为《天生求存者，贝尔格里尔斯》 。2008年，贝尔继续拍摄《荒野求生》和《天生求生者贝尔格里尔斯》，涉及全球16个地区，从非洲沙漠到印度尼西亚、伯利兹、加拿大育空、伊拉克等等 。2009年，贝尔·格里尔斯成为新一届英国童子军总会的主席 。2013年7月，主持冒险竞技系列真人秀节目《求生大作战》 。2015年，贝尔参加中国东方卫视真人秀节目《跟着贝尔去冒险》 。2016年12月与姚明一起录制《越野千里》第一期 。
BBL,BBL,bbl是石油单位1bbl就是1桶，原油比重由0.8到1.0公斤/升，所以一桶石油的重量也不尽相同。大约在128-142公斤之间。
楼兰,楼兰,楼兰，是西域古城遗迹。名称最早见于《史记》，曾经为丝绸之路必经之地，现只存遗迹，地处新疆巴音郭楞蒙古自治州若羌县北境，罗布泊的西北角、孔雀河道南岸的7公里处。楼兰国是西域古国名，是中国西部的一个古代小国，国都楼兰城（遗址在今中国新疆罗布泊西北岸）。公元前77年楼兰国更名鄯善国，并迁都泥城，向汉朝称臣，原都城楼兰城则由汉朝派兵屯田，楼兰位于东经89°55′22″，北纬40°29′55″。西南通且末、精绝、拘弥、于阗，北通车师，西北通焉耆，东当白龙堆，通敦煌，扼丝绸之路的要冲。国人属印欧人种，语言为印欧语系的吐火罗语。由于孔雀河的改道，罗布泊水萎缩，生存环境日益恶劣，约公元422年以后，楼兰城民众迫于严重干旱，遗弃楼兰城，逐渐南移，鄯善国（楼兰国）先后并吞了婼羌、小宛、精绝、且末等国，成为西域七强之一，公元448年北魏灭鄯善国。前后经历了约600余年的鄯善国（楼兰国），至此灭亡。
高恩,高恩,高恩(1966-)，河南鲁山人，现为中国美术家协会理事，河北画院院外画师。
斯图,斯图,斯图原名达内尔·西图DarnelSitu，是一名后卫，现在效力于斯旺西城足球俱乐部。
西卡,西卡公司,西卡公司，国际注册英文名：SIKA。是一家在全球各地生产及经营建筑用化学材料产品的跨国公司，全球七十多个国家设立了约80个工厂和销售公司，生产及经营化学材料产品的跨国公司，产品多达九十多种，分别为建筑用产品及工业用产品。公司在瑞士证券交易所挂牌上市。
宣伟,宣伟,1866年宣伟（Sherwin-Williams)创立于位于美国俄亥俄州克利夫兰市，是世界历史最悠久的涂料零售商之一。发展至今，业务遍及全球30多个国家和地区，拥有3万多名员工和3400多家自营店，2008年销售额达到80亿美元，是全球第三大涂料供应商。
箭牌,箭牌,箭牌是美国箭牌糖果有限公司（WmWrigleyJrCompany）的简称，公司成立于1891年，由小威廉.瑞格理创办，是国际糖果业界的领导者之一和全球最大的口香糖生产及销售商。箭牌糖果（中国）有限公司为其在中国设立的独资企业。目前在广州经济技术开发区、广州市番禺区和上海市松江工业区分别设有三家工厂。美国箭牌糖类有限公司是国际糖果业和全球最大的口香糖生产商，产销口香糖、薄荷糖、硬糖、软糖以及棒棒糖等多样化产品。公司在超过40个国家开展业务，产品行销世界上超过180个国家，其中“黄箭”和“白箭”品牌已有110多年的历史。箭牌公司长期致力于让“箭牌融入生活每一天”，产品具有相当高的知名度和品牌美誉度。
ARROW,绿箭侠,《绿箭侠》（Arrow）是由戴维·纳特执导的美国动作冒险类电视连续剧，由斯蒂芬·阿梅尔、凯蒂·卡西迪、薇拉·贺兰德、科林·萨尔蒙、约翰·巴洛曼等主演。《绿箭侠》改编自“DC漫画”，讲述了亿万阔少奥利弗·奎恩遭遇海难，困于小岛五年后被渔民救起，重返故乡斯塔灵市。奥利弗在炼狱岛上揭开了父亲参与的一场恐怖计划，同岛上的雇佣兵、黑手党、恐怖分子之间发生的故事。 《绿箭侠》第一季于2012年10月10日在CW电视台首播，第二季于2013年10月9日首播。第三季于2014年10月8日首播，第四季于2015年10月7日首播，第五季于2016年10月5日首播，第六季于2017年10月12日首播。 
公元,公元,公元，即公历纪元，原称基督纪年，又称西历或西元，一种源自于西方社会的纪年方法。是由意大利医生兼哲学家AloysiusLilius对儒略历加以改革而制成的一种历法。1582年，时任罗马教皇的格列高利十三世予以批准颁行。它以耶稣诞生之年作为纪年的开始。在儒略历与格里高利历中，在耶稣诞生之后的日期，称为主的年份AnnoDomini（A.D.）（拉丁）。而在耶稣诞生之前，称为主前BeforeChrist（B.C.）。但是现代学者为了淡化其宗教色彩以及避免非基督徒的反感而多半改称用公元(Commonera，缩写为C.E.)与公元前(BeforetheCommonEra，缩写为B.C.E.)的说法。辛亥革命爆发后次年(1912年)，当时的中华民国政府采用公历作为国历，纪年方面，公元纪年法与民国纪年法并行。1949年9月27日，经过中国人民政治协商会议第一届全体会议通过，新成立的中华人民共和国使用国际社会上大多数国家通用的公历和公元作为历法与纪年。但是也并没有废除农历，现今的中国传统节日还是以农历为准。
ERA,era,ERA的英文原意是“时代、世纪”，是一个新世纪音乐团体，乐队的领衔人物是法国音乐家艾瑞克·拉维（EricLévi）。其音乐融古典、歌剧、格列高利圣咏与当代风格于一体。ERA让听者感受到音乐的大气、磅礴，并带有一丝的宗教色彩，所以在新世纪音乐的乐迷中受到很大推崇。
塞纳春天,塞纳春天,塞纳春天项目位于文昌西路与甘八路交汇处北侧约800米，是由扬州天成房地产开发有限公司投资开发的，容积率0.74，绿化率32.8%，一期推出联排、双拼和独栋房源，共54户。双拼面积232平方米，联排别墅面积194-212平方米。将推出54套联排、双拼和独栋房源，74套商铺和公寓房源。
光胜,光胜,光胜1967年生于上海，毕业于安徽师范大学美术系。现为安徽省美术家协会会员，安徽省工笔学会理事，淮河画院秘书长，蚌埠市美术家协会主席团主席兼秘书长，蚌埠市青年美术家协会执行主席，蚌埠市文学艺术创作研究所专职画家。作品曾在安徽日报、安徽青年报、上海文化艺术报、新民晚报。申江服务导报、杭州日报、中国劳动日报等发表。作品销入日本、台湾、香港、新加坡、澳大利亚等地。
本木,本木,本木是福州启点建筑装饰材料有限公司旗下的一个高级墙纸品牌。该品牌成立于2005年，公司主要从事经营各类高级墙纸，提供家庭，餐厅，酒店，娱乐场所，办公室，政府机构等不同客户的装饰设计，是一家通过以实体销售与网络平台销售的墙纸专营公司，提供全系列墙纸销售，设计施工，装饰咨询及专业的客服售后保障等。
诺贝尔,阿尔弗雷德·贝恩哈德·诺贝尔,阿尔弗雷德·贝恩哈德·诺贝尔，瑞典化学家、工程师、发明家、军工装备制造商和炸药的发明者，1833年10月21日出生于斯德哥尔摩，1896年12月10日逝世。诺贝尔一生拥有355项专利发明，并在欧美等五大洲20个国家开设了约100家公司和工厂，积累了巨额财富。1895年，诺贝尔立嘱将其遗产的大部分（约920万美元）作为基金，将每年所得利息分为5份，设立诺贝尔奖，分为物理学奖、化学奖、生理学或医学奖、文学奖及和平奖5种奖金（1969年瑞典银行增设经济学奖），授予世界各国在这些领域对人类作出重大贡献的人。 为了纪念诺贝尔做出的贡献，人造元素锘（Nobelium）以诺贝尔命名。 
玉兰,玉兰,玉兰（MagnoliadenudataDesr.），木兰科落叶乔木，别名白玉兰、望春、玉兰花。原产于中国中部各省，现北京及黄河流域以南均有栽培。木兰科玉兰亚属，落叶乔木。花白色到淡紫红色，大型、芳香，花冠杯状，花先开放，叶子后长，花期10天左右。中国著名的花木，南方早春重要的观花树木。上海市市花。玉兰花外形极像莲花，盛开时，花瓣展向四方，使庭院青白片片，白光耀眼，具有很高的观赏价值；为美化庭院之理想花型。
家乐邦,家乐邦,家乐邦是上海锋泾建筑材料有限公司旗下的家居装饰用辅料品牌。
西哲,西哲,西哲是西方哲学的简称，西方哲学包括本体论（形而上的唯物质的存在哲学）、认识论（包括主观唯心主义和客观唯心主义等在内的唯心主义哲学）、伦理学、语言哲学（分析哲学）等几大分支，又可细分为唯意志主义、实证主义、新康德主义、直觉主义、分析哲学、现象学、存在主义、解释学、西方马克思主义、实用主义、结构主义、解构主义等流派，主要经历了古希腊哲学、中世纪的经院哲学、17～18世纪的理性论和经验论，以及德国古典哲学等阶段，传统哲学中的认识论、本体论、伦理学等方面的问题，仍然是现代西方哲学所讨论和研究的重点。
高登,高登,高登，1986年3月20日出生于江苏睢宁，毕业于北京电影学院表演系专业，内地歌手、演员。2006年7月29日发行了第一张个人单曲碟《约定》正式出道。2010年在首届“华语音乐流行榜颁奖典礼”中，凭借歌曲《九门提督》一举夺得“最佳男歌手”。2012年正式发行首张个人专辑《有没有搞错》，并凭借该专辑荣获”华语音乐流行榜”最佳单曲奖。2014，推出专辑《勇敢的心》，专辑里面涵盖了摇滚中国风R&b民谣抒情。2015年，推出专辑《一杯咖啡》。 
紫荆花漆,紫荆花漆,成立于1982年的香港涂料品牌——「紫荆花漆」，秉承「专心在漆、用心在人」的企业精神，不断为中国市场研发和生产环保及性能卓越的产品。「紫荆花漆」是香港上市公司叶氏化工集团有限公司（股票代号：408）的三大核心业务之一，目前旗下的生产和行政基地包括上海、成都、深圳、惠阳、汕头、东莞及桐乡七个地点。2005年9月勇夺中国国家质量监督检验检疫总局授予的中国品牌最高荣誉——「中国名牌」的称号，成为中国第一批获此殊荣的涂料产品。
