安利,Amway,amway常被称为安利，是一家总部位于美国密执安州的亚达城的家居护理产品公司，业务遍布80多个国家和地区。安利生产的产品有450余种，包括营养保健食品、美容化妆品、个人护理用品、家居护理用品和家居耐用品等。20世纪50年代，杰·温安洛和理查·狄维士在上门推销纽崔莱维生素的过程中，发现了一个极其深刻、直至今日仍然很有价值的事实：人和人际关系是任何成功事业的核心，有了客户的信任，就有源源不断的业务。整个50年代，两位创业者都在寻找一种新的产品以开拓他们的业务，最终他们确定了生产肥皂，即乐新多用途浓缩清洁剂的雏型。该产品一经推出就获得了万千主妇的信任，也因之开拓了全新的安利事业。
Amway,Amway,amway常被称为安利，是一家总部位于美国密执安州的亚达城的家居护理产品公司，业务遍布80多个国家和地区。安利生产的产品有450余种，包括营养保健食品、美容化妆品、个人护理用品、家居护理用品和家居耐用品等。20世纪50年代，杰·温安洛和理查·狄维士在上门推销纽崔莱维生素的过程中，发现了一个极其深刻、直至今日仍然很有价值的事实：人和人际关系是任何成功事业的核心，有了客户的信任，就有源源不断的业务。整个50年代，两位创业者都在寻找一种新的产品以开拓他们的业务，最终他们确定了生产肥皂，即乐新多用途浓缩清洁剂的雏型。该产品一经推出就获得了万千主妇的信任，也因之开拓了全新的安利事业。
花王,花王,花王，日本知名日用品品牌。花王株式会社成立于1887年，花王前身是西洋杂货店“长濑商店”（花王石碱），主要销售美国产化妆香皂以及日本国产香皂和进口文具等，花王创业人是长濑富郎。目前花王产品涉及化妆品等600多种，大都是高分子化学品。
KAO,kao,
滴露,滴露,滴露(Dettol)是常见的消毒水之一，其有效成分是对氯间二甲苯酚（chloroxylenol亦称PCMX）。遇水变成白色是其标记。滴露为啡色液体，含有主要的消毒抗菌成分对氯间二甲苯酚（Chloroxylenol）。对氯间二甲苯酚属于酚类（Phenols)的一种，对口腔、喉咙和胃部有刺激性和腐蚀性。Chloroxylenol本来就是乳白色，但因为滴露另外含有较高浓度的松油（PineOil）和异丙醇（IsopropylAlcohol)把它溶解了，所以看不见它了。当滴露被倒进水里，水把松油和酒精稀释，松油和酒精的浓度降低了，Chloroxylenol就被释放出来，但Chloroxylenol并不太溶于水。
维达,维达,维达国际——在最具中国洞察，具有成功经验，国际视野的国际公司。一家在生活用纸上占据领导地位，同时在个人护理上拥有全球领先的品牌及产品的卫生用品公司。通过与SCA的合作，可以获得最好品牌、创新产品、管理经验，保持维达的为务实，并不断提升专业程度！让消费者、渠道、经销商更有信心！ 
Vinda,维达,维达国际——在最具中国洞察，具有成功经验，国际视野的国际公司。一家在生活用纸上占据领导地位，同时在个人护理上拥有全球领先的品牌及产品的卫生用品公司。通过与SCA的合作，可以获得最好品牌、创新产品、管理经验，保持维达的为务实，并不断提升专业程度！让消费者、渠道、经销商更有信心！ 
小林,小林,小林，日本著名动漫《龙珠》中的主要角色之一，与孙悟空一同在龟仙人（武天师父）门下习武，是最强的地球人（布欧篇的评价，此时欧布并未登场）。妻子是人造人18号，女儿是玛伦。
皎洁,皎洁,皎洁，汉语词汇。拼音：jiǎojié释义：1、（月光）明亮洁白。2、清白；光明磊落。
3M,3M公司,3M公司全称MinnesotaMiningandManufacturing（明尼苏达矿务及制造业公司），创建于1902年，总部设在美国明尼苏达州的圣保罗市，是世界著名的产品多元化跨国企业。3M是全球性的多元化科技企业，创建于1902年，素以勇于创新、产品繁多著称于世，生产数以万计的创新产品，在医疗产品、高速公路安全、办公文教产品、光学产品等核心市场占据领导地位。3M为全球近200多个国家的客户提供产品及服务，其产品已深入人们的生活，从家庭用品到医疗用品，从运输、建筑到商业、教育和电子、通信等各个领域，极大地改变了人们的生活和工作方式。
宝洁,宝洁,宝洁（Procter&Gamble，简称P&G）总部位于美国俄亥俄州辛辛那堤市。全球员工近110000人。2008年，宝洁公司是世界上市值第6大公司，世界上利润排名第14的公司。它同时是财富500强中第十大最受赞誉的公司。2008年06月04日TheJ.M.SmuckerCompany和宝洁，双方签定协议，宝洁股东将以免税换股并购方式取得Smucker约53.5%的股权。在2017年6月7日发布的2017年《财富》美国500强排行榜中，排名第36。 
P&G,宝洁,宝洁（Procter&Gamble，简称P&G）总部位于美国俄亥俄州辛辛那堤市。全球员工近110000人。2008年，宝洁公司是世界上市值第6大公司，世界上利润排名第14的公司。它同时是财富500强中第十大最受赞誉的公司。2008年06月04日TheJ.M.SmuckerCompany和宝洁，双方签定协议，宝洁股东将以免税换股并购方式取得Smucker约53.5%的股权。在2017年6月7日发布的2017年《财富》美国500强排行榜中，排名第36。 
清风,清风,清风品牌隶属于金红叶纸业集团有限公司，该企业为亚洲最大的生活用纸产销公司之一。早在2004年，清风就被评为年度中国生活用纸质量信得过产品，依据第三方市调公司尼尔森的数据显示，清风为全国生活用纸品类领导品牌之一，更于2014年荣登中国top50快销品牌之一。
Raid,磁盘阵列,磁盘阵列（RedundantArraysofIndependentDisks，RAID），有“独立磁盘构成的具有冗余能力的阵列”之意。磁盘阵列是由很多价格较便宜的磁盘，组合成一个容量巨大的磁盘组，利用个别磁盘提供数据所产生加成效果提升整个磁盘系统效能。利用这项技术，将数据切割成许多区段，分别存放在各个硬盘上。 磁盘阵列还能利用同位检查（ParityCheck）的观念，在数组中任意一个硬盘故障时，仍可读出数据，在数据重构时，将数据经计算后重新置入新硬盘中。
爱生活,爱生活,爱生活是一款生活实用类软件，完全免费。
汰渍,汰渍,汰渍（Tide）是全球日化龙头宝洁公司旗下著名的洗涤品牌，也是全球最大的洗衣粉品牌之一。汰渍于1946年诞生于美国，是世界上第一种合成洗衣粉。由于汰渍的诞生，结束了人类历史上长达2000余年的皂洗时代，把人类从繁重的洗衣工作中解放出来，为机洗时代的到来提供了条件，素有“洗衣世界的奇迹”盛名。汰渍于1995年进入中国，十几年来不断推陈出新，平均每14个月就推出一项产品创新或升级。现在每天平均有超过100万包汰渍洗衣粉进入不同的中国家庭，是中国家喻户晓、最受欢迎的洗衣粉品牌之一。
TIDE,Tide,Tide是英文单词。英n.趋势；潮流；潮汐；潮水v.渡过；（使）随潮漂流
格林盈璐,格林盈璐,格林盈璐是佛山市格林盈璐电器科技有限公司旗下电器品牌，创立于2009年，是一家从事各种生活电器研发、制造、营销和服务等事业活动的创新型企业。一直以来，企业以“关注生活，为您而想”的理念，坚持自主创新、严控品质和服务，给消费者带来更安全、健康、便捷的产品体验。
心相印,心相印,恒安集团创立于1985年，是最早进入中国卫生巾市场的外资企业之一，经营领域涉及妇幼卫生用品、纸类产品、化妆及护肤类产品等，是目前国内最大的妇女卫生巾和婴儿纸尿裤专业生产企业，拥有固定资产二十多亿元，员工一万余人，在全国14个省、市拥有20余家附属公司，销售和分销网络覆盖全国。恒安国际集团有限公司于1998年在香港成功上市。
金纺,金纺,金纺衣物护理剂于1969年诞生于英国。 1992年底进入中国市场，金纺旨在将国外的先进护衣理念带给中国消费者。 现在，在中国， 每卖出10瓶衣物护理剂，就有8瓶是金纺。 
白猫,白猫,白猫sunny，原名孙恒，中国知名漫画家，作品有《雏蜂》、《侍灵演武》、《蔚蓝战争》《末世渡鸦》、《天才J》。
Frosch,FROSCH,FROSCH，是一个德国家居清洁剂大品牌。
