爱乐维,爱乐维,爱乐维®(复合维生素片)，用于妊娠期和哺乳期妇女对维生素、矿物质和微量元素的额外需求；并预防妊娠期因缺铁和叶酸所致的贫血。
nutrilon,诺优能,诺优能是荷兰婴幼儿奶粉的领先品牌，沿承NUTRICIA纽迪希亚科研中心在婴幼儿营养领域100多年的研究成果。在荷兰婴幼儿奶粉市场占有率超过70%。中国官方销售的Nutrilon诺优能奶粉(荷兰牛栏)100%荷兰原装原罐进口绝无二次分装，应用100%乳糖配方设计，为宝宝提供专业早期营养，建立长远健康基础。
奶粉,奶粉,奶粉是将牛奶除去水份后制成的粉末，它适宜保存。奶粉是以新鲜牛奶或羊奶为原料，用冷冻或加热的方法，除去乳中几乎全部的水分，干燥后添加适量的维生素、矿物质等加工而成的冲调食品。
婴儿,婴儿,婴儿是指小于1周岁的儿童。婴儿在这个阶段生长发育得特别迅速，是人一生中生长发育最旺盛的阶段，体重大约为9000～10000克。婴儿足月出生时已具有较好的吸吮吞咽功能，颊部有坚厚的脂肪垫，有助于吸吮活动，早产儿则较差。吸吮动作是复杂的天性反射，严重疾病可影响这一反射，使吸吮变得弱而无力。
牛栏,牛栏,1，指牛棚旁边或四周的围栏2，防止牛通过的栏栅，一边用护栏挡住，其他几边是二、三英尺宽的隔离沟3，木棍纵横交错编成的遮栏，以用来圈养牛群，关牛的圈造句：爷爷王先之天天扫牛栏4，奶粉品牌
辅食,辅食,辅食是完整营养均衡，对成长中的孩子是很重要的，特别是在0岁阶段的营养给予，更是奠定宝宝一生健康的根基。在婴儿阶段，母乳当然是宝宝最理想的食品，但随着宝宝一天天长大，满六个月开始，光吃母乳或者婴儿配方奶已经无法满足宝宝的营养需求。所以这段时间，除了原先母乳或婴儿配方奶之外，另外还应给予宝宝一些固体实物，这就是我们所说的辅食。辅食包括米粉、泥湖状食品以及其他的一些家制食品。
益生菌,益生菌,益生菌是一类对宿主有益的活性微生物，是定植于人体肠道、生殖系统内，能产生确切健康功效从而改善宿主微生态平衡、发挥有益作用的活性有益微生物的总称。人体、动物体内有益的细菌或真菌主要有：酪酸梭菌、乳杆菌、双歧杆菌、放线菌、酵母菌等。目前世界上研究的功能最强大的产品主要是以上各类微生物组成的复合活性益生菌，其广泛应用于生物工程、工农业、食品安全以及生命健康领域。 
婴幼儿,婴幼儿,婴儿和幼儿的统称，一般是指0-3岁的小龄孩子。婴儿与幼儿之间有莫大的联系，因此在许多的儿童论著、医学论著、儿童早期教育等会将它们并起来说，以示方便理解。虽然它们之间有着密切的联系，但如果从孩子发展层面来说还是有两个方面区别，一为婴儿（0-1岁）和幼儿（1-3岁）。婴幼儿是一个受护群体，饮食方面尤为重要，婴儿以母乳为主食（4-6个月后逐渐添加辅食），1岁后以成人食物为主食。
金宝宝,金宝宝,金宝宝医疗服务成立于2005年，是由港人出资创办的特色国际医疗服务公司。公司和香港多间大型的医疗机构合作，为国内客户提供最优质的香港和境外特色医疗服务。公司总部设在香港，深圳、广州均有分支机构。金宝宝一直致力妇产科医疗服务，DNA-Y染色体查性别，子宫颈癌疫苗，香港结构性超声波产前诊断胎儿性别与健康情况，绒毛CVS染色体排畸，高龄产妇羊膜穿刺术检查等服务。
母乳,母乳,母乳是婴儿成长最自然、最安全、最完整的天然食物，它含有婴儿成长所需的所有营养和抗体，特别是母乳含有百分之五十的脂肪，除了供给宝宝身体热量之外，还满足宝宝脑部发育所需的脂肪(脑部60%的结构来自于脂肪)；丰富的钙和磷可以使宝宝长的又高又壮；免疫球蛋白可以有效预防及保护婴儿免于感染及慢性病的发生；比非得因子和寡糖可以抑制肠道病菌增生和帮助消化。除此之外，哺喂母乳的亲密接触和亲子关系可刺激婴儿脑部及心智发育。有的母亲放弃哺喂母乳的主要原因分别有：缺乏奶水、担心宝宝吃不饱或不够营养、宝宝拒绝吸吮或吸吮时感到疼痛、体力不足、乳头酸痛或破皮、乳房肿胀疼痛、上班不方便等因素。
