佳能,佳能,佳能（Canon ），是日本的一家全球领先的生产影像与信息产品的综合集团，从1937年成立以来，经过多年不懈的努力，佳能已将自己的业务全球化并扩展到各个领域。佳能的产品系列共分布于三大领域：个人产品、办公设备和工业设备，主要产品包括照相机及镜头、数码相机、打印机、复印机、传真机、扫描仪、广播设备、医疗器材及半导体生产设备等。佳能总部位于日本东京，并在美洲、欧洲、亚洲及日本设有4大区域性销售总部，在世界各地拥有子公司200家，雇员超过10万人。2016年3月9日，日本东芝公司于今日召开董事会并最终决定将旗下东芝医疗系统公司出售给佳能公司，佳能公司提出的收购报价为7000亿日元(约合人民币405亿元)。
Canon,卡农,卡农Canon——复调音乐的一种原意为“规律”。一个声部的曲调自始至终追逐着另一声部直到最后的一个小节最后的一个和弦融合在一起，给人以一个神圣的意境。卡农是一种音乐谱曲技法，复调音乐。卡农的所有声部虽然都模仿一个声部，但不同高度的声部依一定间隔进入，造成一种此起彼伏，连绵不断的效果，轮唱也是一种卡农。在卡农中，最先出现的旋律是导句，以后模仿的是答句。根据各声部高度不同的音程差，可分为同度卡农，五度卡农，四度卡农等；根据间隔的时间长短，可分为一小节卡农，两小节卡农等；此外还有伴奏卡农，转位卡农，逆行卡农，反行卡农等各种手法。
索尼,索尼,索尼（日语：ソニー株式会社，英语：SonyCorporation），是日本一家全球知名的大型综合性跨国企业集团。总部设于日本东京都港区港南1-7-1。索尼是世界视听、电子游戏、通讯产品和信息技术等领域的先导者，是世界最早便携式数码产品的开创者，是世界最大的电子产品制造商之一、世界电子游戏业三大巨头之一、美国好莱坞六大电影公司之一。其旗下品牌有Xperia，Walkman，Sonymusic，哥伦比亚电影公司，PlayStation等曾有vaio旗下品牌，但在2014年2月6日，索尼剥离VAIO业务，Vaio品牌将由JapanIndustrialPartnersInc接手运营。 2018年4月1日起，现任副社长兼首席财务官吉田宪一郎升任社长，现任社长兼首席执行官平井一夫出任不具企业代表权的董事长。 
SONY,索尼,索尼（日语：ソニー株式会社，英语：SonyCorporation），是日本一家全球知名的大型综合性跨国企业集团。总部设于日本东京都港区港南1-7-1。索尼是世界视听、电子游戏、通讯产品和信息技术等领域的先导者，是世界最早便携式数码产品的开创者，是世界最大的电子产品制造商之一、世界电子游戏业三大巨头之一、美国好莱坞六大电影公司之一。其旗下品牌有Xperia，Walkman，Sonymusic，哥伦比亚电影公司，PlayStation等曾有vaio旗下品牌，但在2014年2月6日，索尼剥离VAIO业务，Vaio品牌将由JapanIndustrialPartnersInc接手运营。 2018年4月1日起，现任副社长兼首席财务官吉田宪一郎升任社长，现任社长兼首席执行官平井一夫出任不具企业代表权的董事长。 
尼康,尼康,尼康（Nikon），是日本的一家著名相机制造商，成立于1917年，当时名为日本光学工业株式会社。1988年该公司依托其照相机品牌，更名为尼康株式会社。“尼康（Nikon）”的名称，从1946年开始使用，是“日本光学”日文读音（NipponKogaku）的罗马字母缩写，并且融合了德文中蔡司照相机ZeissIkon中kon的写法。尼康其众多的相机产品中，最主要的有尼克尔（Nikkor）相机镜头、尼康水下照相机（Nikonos）、尼康F系列的135胶卷单反相机、还有尼康D系列的数码单反相机，消费性数码相机Coolpix系列。尼康也是分步重复半导体生产设备（分档器）的制造商。公司还生产护目镜，眼科检查设备，双筒望远镜，显微镜，勘测器材。2017年10月30日，尼康中国正式对外宣布，该公司将停止位于无锡市的子公司尼康光学仪器(中国)有限公司的经营活动。与此同时，负责生产尼康数码相机以及数码相机配件的工厂也将停产。 
Nikon,尼康,尼康（Nikon），是日本的一家著名相机制造商，成立于1917年，当时名为日本光学工业株式会社。1988年该公司依托其照相机品牌，更名为尼康株式会社。“尼康（Nikon）”的名称，从1946年开始使用，是“日本光学”日文读音（NipponKogaku）的罗马字母缩写，并且融合了德文中蔡司照相机ZeissIkon中kon的写法。尼康其众多的相机产品中，最主要的有尼克尔（Nikkor）相机镜头、尼康水下照相机（Nikonos）、尼康F系列的135胶卷单反相机、还有尼康D系列的数码单反相机，消费性数码相机Coolpix系列。尼康也是分步重复半导体生产设备（分档器）的制造商。公司还生产护目镜，眼科检查设备，双筒望远镜，显微镜，勘测器材。2017年10月30日，尼康中国正式对外宣布，该公司将停止位于无锡市的子公司尼康光学仪器(中国)有限公司的经营活动。与此同时，负责生产尼康数码相机以及数码相机配件的工厂也将停产。 
富士,富士,富士市是静冈县东部的城市，特例市。人口数居于静冈县内第三位。也是富士都市圈（约40万人）的行政、商业、工业中心。日本制纸（旧大昭和制纸）、王子制纸等很多造纸工厂都设立于此。
FUJIFILM,fujifilm,富士胶片株式会社（以下简称：富士胶片）自1934年创建以来，不断以坚定的步伐向前迈进，发展至今已成为世界上规模最大的综合性影像、信息、文件处理类产品及服务的制造和供应商之一。
松下,松下,松下（Panasonic），是日本的一个跨国性公司，在全世界设有230多家公司，员工总数超过290493人。其中在中国有54，000多人。2001年全年的销售总额为610多亿美元，为世界制造业500强的第26名。Panasonic的中文为“松下”（早期叫National，1986年开始逐步更改为Panasonic，2008年10月1日起全部统一为Panasonic）由日本松下电器产业株式会社自1918年松下幸之助创业，发展品牌产品涉及家电、数码视听电子、办公产品、航空等诸多领域而享誉全球；该企业品牌跃入《世界品牌500强》排行榜。松下于2012年10月31日宣布2012财年(2012年4月～2013年3月）的合并最终损益（按照美国会计标准）预期从盈利500亿日元下调为亏损7650亿日元。
Panasonic,松下,松下（Panasonic），是日本的一个跨国性公司，在全世界设有230多家公司，员工总数超过290493人。其中在中国有54，000多人。2001年全年的销售总额为610多亿美元，为世界制造业500强的第26名。Panasonic的中文为“松下”（早期叫National，1986年开始逐步更改为Panasonic，2008年10月1日起全部统一为Panasonic）由日本松下电器产业株式会社自1918年松下幸之助创业，发展品牌产品涉及家电、数码视听电子、办公产品、航空等诸多领域而享誉全球；该企业品牌跃入《世界品牌500强》排行榜。松下于2012年10月31日宣布2012财年(2012年4月～2013年3月）的合并最终损益（按照美国会计标准）预期从盈利500亿日元下调为亏损7650亿日元。
