三只松鼠,三只松鼠,三只松鼠股份有限公司成立于2012年，是中国第一家定位于纯互联网食品品牌的企业，也是当前中国销售规模最大的食品电商企业。“三只松鼠”品牌一经推出，立刻受到了风险投资机构的青睐，先后获得IDG的150万美金A轮天使投资和今日资本的600万美元B轮投资。2015年，三只松鼠获得峰瑞资本（FREESFUNDD）3亿元投资。2017年4月21日，公司首次披露IPO招股说明书，拟登录深交所创业板 。2017年12月12日，证监会发布公告，决定取消第十七届发审委第72次发审委会议对该公司发行申报文件的审核。
百草味,百草味,百草味 总部位于杭州，是一家以休闲食品加工、生产、贸易、仓储、物流为主体，集线下连锁、互联网商务经营模式为一体的综合服务型企业。公司下设：杭州郝姆斯食品有限公司、杭州百草味企业管理咨询有限公司、杭州淘道科技有限公司。2003年第一家百草味线下店铺创立，2010年正式入驻淘宝商城 ，“百草味旗舰店”挂牌营业。截至2015年底，已经发展成纯互联网休闲零食品牌。百草味产品多达300多种，涵盖坚果炒货、糕点糖果、水果干、肉干肉脯、礼盒等5大零食系列。百草味是一家高瞻远瞩和精益求精的集团公司，为促进国内以及全球食品零售业的发展和现代化。公司已累计投入4000多万元建立了现代化的食品生产线，仓储面积达到6万平方米。2011年百草味被评为浙江省优秀特许品牌，2012年被评为中国连锁经营金麒麟之最具成长力品牌，2013年被评为浙江省消费者最满意品牌。2017年8月，百草味正式成立食品研究院。 
来伊份,来伊份,来伊份成立于1999年，公司主营业务为休闲食品经营，产品覆盖炒货、蜜饯、肉制品等九大系列，达到700多种。2013年销售额超过30亿，全国员工人数近1万名 。目前在上海、江苏、浙江等9个省、直辖市 已拥有连锁直营专卖店超过2500多家，并获得”上海市著名商标”、”上海名牌产品”、”2010上海世博会特许产品零售商”等多项荣誉。
奥利奥,奥利奥,奥利奥(Oreo)诞生于1912年，是卡夫食品的超级明星和饼干之王，是全球巧克力味夹心饼干的代名词。关于"奥利奥OREO”名字的由来，众说纷纭，现在已经无从考证。一些人认为，奥利奥的名字来自英语，是“白心黑人”的意思。
Oreo,Android 8.0,Android8.0是谷歌推出的智能手机操作系统，2017年3月21日Google为开发者推出了新的AndroidO首个开发者预览版2017GoogleI/O开发者大会上发布了第二个AndroidO开发者预览 。2017年8月22日，谷歌正式发布了Android8.0的正式版，其正式名称为：AndroidOreo（奥利奥） 。2017年12月5日谷歌正式发布了Android8.1的正式版。
好丽友,好丽友,好丽友（中国）是韩国株式会社好丽友（简称（株）好丽友）在中国设立的两家食品制造销售企业：好丽友食品有限公司和好丽友食品（上海）有限公司的统称。好丽友成立于1956年，好丽友是韩国四大食品公司之一。好丽友在20世纪90年代中期进入中国市场，并决心把中国市场建成BestGlobalPieCompany形象的典范。好丽友在华投资总额超过5，000万美元，拥有2家法人―好丽友食品有限公司和好丽友食品（上海）有限公司，在河北廊坊和上海青浦各建有一个生产基地，设北京本部、天津本部、上海本部、广州本部4个营业本部统管全国30家营业所，负责对华北、东北、西北、华东、华中、华南、西南等地区的销售。
ORION,奥利安,奥利安（Orion）是美国DC漫画旗下超级英雄，初次登场于《新神族》（NewGods）第1期（1971年1月），由杰克·科比创造，是新神族的一员，黑暗君主达克赛德的次子。 
小猪佩奇,小猪佩奇,《小猪佩奇》，又名《粉红猪小妹》英文名为《PeppaPig》，是由英国人阿斯特利（Astley）、贝克（Baker）、戴维斯（Davis）创作、导演和制作的一部英国学前电视动画片，也是历年来最具潜力的学前儿童品牌。故事围绕小猪佩奇与家人的愉快经历，幽默而有趣，藉此宣扬传统家庭观念与友情，鼓励小朋友们体验生活。由英国E1Kids于2004年5月31日发行首播后，其动画片已于全球180个地区播放，现已播出4季；中国中央电视台少儿频道也在热播之中，极简的动画风格，幽默的对话语调，深具教育意义的故事情节，不仅能让学龄前儿童学习知识，更能让小朋友们从小养成良好的生活习惯体验生活，深受全球各地小朋友们以及其家长们的喜爱。
口水娃,口水娃,苏州口水娃食品有限公司正式成立于2007年8月30日，公司注册资金4200万元，是一家集研发、生产、销售于一体的休闲食品实体企业，同时也是国内豆类行业的一枝独秀。
雀巢,雀巢公司,雀巢公司是由亨利·雀巢（HenriNestle）于1867年创办，总部设在瑞士日内瓦湖畔的韦威(Vevey)，在全球拥有500多家工厂，为世界上最大的食品制造商。公司起源于瑞士，最初是以生产婴儿食品起家，以生产巧克力棒和速溶咖啡闻名遐迩。2018年4月18日，因在生产许可条件保持、食品安全管理制度落实等方面存在缺陷，被国家市场监管总局通报。 
Nestle,雀巢公司,雀巢公司是由亨利·雀巢（HenriNestle）于1867年创办，总部设在瑞士日内瓦湖畔的韦威(Vevey)，在全球拥有500多家工厂，为世界上最大的食品制造商。公司起源于瑞士，最初是以生产婴儿食品起家，以生产巧克力棒和速溶咖啡闻名遐迩。2018年4月18日，因在生产许可条件保持、食品安全管理制度落实等方面存在缺陷，被国家市场监管总局通报。 
洽洽,洽洽,洽洽食品股份有限公司成立于2001年8月9日，位于安徽省合肥市国家级经济技术开发区，主要生产坚果炒货类、焙烤类和薯片类等休闲食品。洽洽食品（002557）于2011年3月2日在深圳交易所挂牌上市。2011年6月1日，洽洽启动品牌新形象“更时尚、更快乐”。洽洽坚持以“创造美味产品，传播快乐味道”为使命，经过近十多年的发展，产品线日趋丰富，成功推广“洽洽香瓜子”、洽洽喀吱脆”、“洽洽小而香”、“洽洽怪U味”等产品，深受消费者的喜爱，成为中国坚果炒货行业的领军品牌，产品远销国内外30多个国家和地区。
达利园,达利园,福建达利食品有限公司创办于1989年9月，始终秉承以科技为先导、以先进的现代化管理为依托、以“顾客满意第一”为宗旨的经营方针，发展成为一家致力于研发和制造健康美味食品的大型集团化民营企业。
徐福记,徐福记,徐福记由来自台湾的徐氏四兄弟于1992年在中国大陆注册创立，专注于生产经营糖果、糕点、沙琪玛、巧克力及果冻布丁等糖点休闲食品，自1998年以来在国内糖果市场上的销售额与占有率一直稳居首位。
乐事,乐事,乐事（Lay’s，英国和爱尔兰叫Walkers，埃及叫Chipsy，越南叫Poca，以色列叫Tapuchips）是美国的薯片品牌，也是创立于1932年的一家公司的名字，自1965年起成为百事旗下产品。
德芙,德芙,德芙是世界最大宠物食品和休闲食品制造商美国跨国食品公司玛氏（Mars）公司在中国推出的系列产品，1989年进入中国。
Dove,德芙,德芙是世界最大宠物食品和休闲食品制造商美国跨国食品公司玛氏（Mars）公司在中国推出的系列产品，1989年进入中国。
康师傅,康师傅控股有限公司,康师傅控股有限公司（康师傅公司），主要在中国从事生产和销售方便面、饮品、糕饼以及相关配套产业的经营。2012年3月底，康师傅与百事可乐公司的战略联盟已经被商务部批准，“康师傅可乐”将现身于众。2015年1月1日起，康师傅控股有限公司发布公告表示，一手创立康师傅品牌的顶新集团创始人魏应州正式从行政总裁的位置上退下。已任命集团食品事业执行长韦俊贤接替魏应州担任行政总裁，任命自2015年1月1日起生效，魏应州将继续担任董事会主席，他将专注于集团的整体发展策略规划及高阶团队计划。 顶新集团证实，台湾康师傅决议自2017年1月1日解散。 
