伊利,内蒙古伊利实业集团股份有限公司,亚洲第一、全球8强的伊利在董事长潘刚带领下，2017年实现营业总收入680.58亿元，创亚洲乳企最好成绩 。 内蒙古伊利实业集团股份有限公司（以下简称伊利集团）规模大、产品线健全，位居亚洲乳业第一、全球乳业8强，是中国符合奥运会标准，为2008年北京奥运会提供服务的乳制品企业 ；也是中国符合世博会标准，为2010年上海世博会提供服务的乳制品企业 。据年报显示，2017年伊利营业总收入680.58亿元，同比上升12.29%；净利润60.03亿元，其扣非净利润同比上升17.70%；综合市场占有率20.5%，同比上升1.4%。此外，净资产收益率达25.22%，连续多年保持在20%以上。 在“全球织网”的战略下，伊利已经实现国际化布局。作为行业龙头企业，伊利集团旗下多款产品长期居市场领先地位，整体营业额在行业中遥遥领先，是进入全球排名前八的亚洲乳企。 2016年8月，内蒙古伊利实业集团在"2016中国企业500强"中排名第96位。 2018年5月9日，“2018中国品牌价值百强榜”发布，伊利位列第54。 
农夫山泉,农夫山泉,农夫山泉即农夫山泉股份有限公司原名“浙江千岛湖养生堂饮用水有限公司“，其公司总部位于浙江杭州，系养生堂旗下控股公司，成立于1996年9月26日。该公司是中国大陆一家饮用水生产企业，拥有浙江千岛湖、吉林长白山、湖北丹江口、广东万绿湖、陕西太白山、新疆天山玛纳斯、四川峨眉山、以及贵州武陵山八大优质水源基地 。
雀巢,雀巢公司,雀巢公司是由亨利·雀巢（HenriNestle）于1867年创办，总部设在瑞士日内瓦湖畔的韦威(Vevey)，在全球拥有500多家工厂，为世界上最大的食品制造商。公司起源于瑞士，最初是以生产婴儿食品起家，以生产巧克力棒和速溶咖啡闻名遐迩。2018年4月18日，因在生产许可条件保持、食品安全管理制度落实等方面存在缺陷，被国家市场监管总局通报。 
Nestle,雀巢公司,雀巢公司是由亨利·雀巢（HenriNestle）于1867年创办，总部设在瑞士日内瓦湖畔的韦威(Vevey)，在全球拥有500多家工厂，为世界上最大的食品制造商。公司起源于瑞士，最初是以生产婴儿食品起家，以生产巧克力棒和速溶咖啡闻名遐迩。2018年4月18日，因在生产许可条件保持、食品安全管理制度落实等方面存在缺陷，被国家市场监管总局通报。 
蒙牛,蒙牛,蒙牛乳业（集团）股份有限公司成立于1999年8月，总部设在内蒙古自治区呼和浩特市和林格尔县盛乐经济园区，是国家农业产业化重点龙头企业、乳制品行业龙头企业。 蒙牛是中国领先的乳制品供应商，专注于研发生产适合国人健康的乳制品，全球乳业10强 。蒙牛乳业成立以来，已形成了拥有液态奶、冰淇淋、奶粉奶酪等多品的产品矩阵系列，拥有特仑苏、纯甄、优益C、未来星、冠益乳、酸酸乳等明星产品，为消费者的点滴幸福不断创新。截至目前，蒙牛已拥有近4万多名员工，在全国建立了33个生产基地58个工厂。2015年，蒙牛产能达868万吨，营业收入超490亿元。2009年7月，中国最大的粮油食品企业中粮集团入股蒙牛，成为蒙牛第一大股东。中粮的加入，推动了蒙牛“食品安全更趋国际化，战略资源配置更趋全球化，原料到产品更趋一体化”进程。 2017年7月12日，全球最大的专注于农业与食品相关产业的商业机构之一荷兰合作银行发布了2017年“全球乳业20强”榜单，蒙牛乳业凭借近年来亮眼的综合表现连续9年再度入榜，跃居榜单前10强，排名上升一位，再次刷新了蒙牛在全球乳业的排名成绩，迈入全球乳业的第一阵营。 2018年3月27日，蒙牛发布了2017年业绩报，总收入为人民币601.556亿元，比2016年的537.793亿元增长11.9%；净利润利润20.478亿元。 
可口可乐,可口可乐,1886年，可口可乐在美国乔治亚州亚特兰大市诞生，自此便与社会发展相互交融，激发创新灵感。现在，它每天为全球的人们带来怡神畅快的美妙感受。目前，全球每天有17亿人次的消费者在畅饮可口可乐公司的产品，大约每秒钟售出19400瓶饮料，在2016年10月，可口可乐公司排2016年全球100大最有价值品牌第三名 ；可口可乐为中国消费者提供超过15个品牌50多种饮料选择，其系列产品在华的每天享用量达到1.5亿杯， 可口可乐自1979年重返中国市场至2014年底，已累计投资超过90亿美元，目前在华建有43家工厂，系统员工约45000人，其中99%为本地员工， 可口可乐及其装瓶厂在中国长期以来不遗余力地支持教育及公益事业，推广环境保护以及帮助当地社区的发展，捐资总额超过2.7亿元人民币，另外，可口可乐亦是唯一一个全方位赞助在中国举办的特奥会、奥运会、残奥会、世博会、大运会及青奥会的企业。
Coca-Cola,可口可乐,1886年，可口可乐在美国乔治亚州亚特兰大市诞生，自此便与社会发展相互交融，激发创新灵感。现在，它每天为全球的人们带来怡神畅快的美妙感受。目前，全球每天有17亿人次的消费者在畅饮可口可乐公司的产品，大约每秒钟售出19400瓶饮料，在2016年10月，可口可乐公司排2016年全球100大最有价值品牌第三名 ；可口可乐为中国消费者提供超过15个品牌50多种饮料选择，其系列产品在华的每天享用量达到1.5亿杯， 可口可乐自1979年重返中国市场至2014年底，已累计投资超过90亿美元，目前在华建有43家工厂，系统员工约45000人，其中99%为本地员工， 可口可乐及其装瓶厂在中国长期以来不遗余力地支持教育及公益事业，推广环境保护以及帮助当地社区的发展，捐资总额超过2.7亿元人民币，另外，可口可乐亦是唯一一个全方位赞助在中国举办的特奥会、奥运会、残奥会、世博会、大运会及青奥会的企业。
康师傅,康师傅控股有限公司,康师傅控股有限公司（康师傅公司），主要在中国从事生产和销售方便面、饮品、糕饼以及相关配套产业的经营。2012年3月底，康师傅与百事可乐公司的战略联盟已经被商务部批准，“康师傅可乐”将现身于众。2015年1月1日起，康师傅控股有限公司发布公告表示，一手创立康师傅品牌的顶新集团创始人魏应州正式从行政总裁的位置上退下。已任命集团食品事业执行长韦俊贤接替魏应州担任行政总裁，任命自2015年1月1日起生效，魏应州将继续担任董事会主席，他将专注于集团的整体发展策略规划及高阶团队计划。 顶新集团证实，台湾康师傅决议自2017年1月1日解散。 
维他奶,维他奶,维他奶（英文：Vitasoy）1940年至今，是香港家喻户晓的饮料品牌，该豆奶饮料自1940年开始在香港生产，现时生产厂房遍及中国大陆、香港、澳大利亚和美国。维他奶包括果汁、牛奶、茶类饮品，汽水、蒸馏水及豆腐等产品的品牌。
vitasoy,维他奶,维他奶（英文：Vitasoy）1940年至今，是香港家喻户晓的饮料品牌，该豆奶饮料自1940年开始在香港生产，现时生产厂房遍及中国大陆、香港、澳大利亚和美国。维他奶包括果汁、牛奶、茶类饮品，汽水、蒸馏水及豆腐等产品的品牌。
