爱丽思,爱丽思,爱丽思是由爱丽思欧雅玛株式会社公司申注册所有。 总部位于日本宫城县仙台市青叶区五桥2丁目12番1号。 
IRIS,IRIS,《IRIS》是韩国首部间谍电视剧，投资高达1亿人民币。该剧讲述了国家安全局要员们的工作、友情和爱情，由李秉宪、金泰熙、郑俊浩、金素妍、金承佑等眼下韩国最当红的明星出演，被称为是2009年韩国最期待的一部电视剧。 《IRIS》由韩国KBS电视台出品，导演金奎泰、杨允浩联袂执导，李秉宪、金泰熙、郑俊浩、金素妍、金承佑主演。该剧取自韩国大型谍战题材，剧中以国家安全局为舞台，讲述国家安全局要员与犯罪组织进行周旋、斗争的故事。IRIS，即国际反动个人集团（InternationalReactionIndividualSystem的简称），在剧中是一神秘组织。 
WORTH,worth,WORTH源自于英文单词，worth英音：中文可读作沃思，译为价值。n.价值；意义；价值（十元、40英镑等）的东西adj.有…价值；值…钱；（指行动）值得；值得（费周折）v.〈古〉同“befall.Woeworththeday”网络值得的；有……的价值；值…的
美乐棵,美乐棵,美乐棵是美国ScottsMiracle-Gro公司下属园艺品牌。ScottsMiracle-Gro公司创立于1868年，起源于美国俄亥俄州，至今已有140多年历史，以不断创新的精神引领全行业，是世界最大的园艺品牌产品公司。
果花,果花,
HC,HC,HC是多种意义的缩写，它们分别是：梁柱的断面尺寸、花茶、汽车行业术语、喝彩、胡扯、很差、虎扑体育论坛、人名缩写、磁性材料专业术语、医学（超声）、一个网络电台、魔都罪恶装备著名玩家、化学物质、辅助软件、暗黑破坏神、HonorCode、Health-Canada。
绿篱,绿篱,凡是由灌木或小乔木以近距离的株行距密植，栽成单行或双行，紧密结合的规则的种植形式，称为绿篱，也叫植篱、生篱等。世界三大园林之一的欧式园林常采用的造景手法。因其选择树种可修剪成各种造型，并能相互组合，从而提高了观赏效果和艺术价值。此外，绿篱还能起到遮盖不良视点、隔离防护、防尘防噪、引导游人观赏路线等作用。
嘉丁拿,嘉丁拿,嘉丁拿是的一个园林设备品牌嘉丁拿(GARDENA)的总部设于德国的Ulm市，是德国一家专业生产园艺设备的厂家，成立于1961年，距今已有40多年的历史。
GARDENA,嘉丁拿,嘉丁拿是的一个园林设备品牌嘉丁拿(GARDENA)的总部设于德国的Ulm市，是德国一家专业生产园艺设备的厂家，成立于1961年，距今已有40多年的历史。
MuMuHome,mumuhome,“mumuhome”是嘉兴穆森电子商务责任有限公司旗下的品牌，该品牌所展现的是妙龄青春下的各款淑女公主风服饰。木木家现共有客服20名、设计师6名、后期处理4名，发货中心人员15名，仓储中心人员20名。在市场竞争激烈如斯的情况下，木木家经过两年的发展，设计、生产、销售环节的不断完善，至今已达平均日销售1500件的水平，09年的销售业绩达1400多万，2010年第一季度基本完成09年全年的销售额，达到1000多万元。
月娥,月娥,月娥，明朝烈女，西域人，元武昌尹职马禄丁女。
奇葩,奇葩,原意是指奇特而美丽的花朵，常用来比喻不同寻常的优秀文艺作品或非常出众的人物。比喻某人（或某事物）不落世俗，个性十足。现在这个词更多带有调侃，指美好出众的事物不同。也多指向一些正常人行为和思维以外的，让人难以想象的行为。现多为贬义。
海春,海春,海春，十年演员，八项专长：气球布置泡泡秀水影画魔环极限单车漂移秀摄影师摄像师。
羽轩,羽轩,羽轩国际美容美发美体SPA健康连锁机构是一家高品质美疗连锁机构。羽轩国际美容美发美体SPA健康连锁发展机构管理团队，凭借标准的连锁经营4S管理原则，在本土致力于为更多的都市女性带来新的美丽体验和国际化的美容时尚服务。
优乐芙,优乐芙,OrganicLove优乐芙有机系列产品，鉴于对地球生态环境的责任心及绿色产业的目标，选用最纯净的植物原料及配方，以最严格的标准与品管制造，建立了有机保养品的最佳典范，带给中国宝宝真正的有机保养品。
秦岩,秦岩,秦岩位于湖南省永州市江华瑶族自治县县城沱江镇东南38公里的白芒营镇秦岩村秦山（吴望山），相传为秦始皇开疆屯兵之遗址，是江华八景中颇有影响的胜景溶洞，属喀斯特地貌。
斯特克,斯特克,斯特克是一名足球运动员，合同到期：2013-06-30，身高：191厘米
春天来了,春天来了,电影《春天来了》由上海电影制片厂摄制于1956年。主要剧情为：鲁淮生提出了“挖通老龙沟，洼地改稻田”的计划。当他和一些年轻人进行调查和测量时，却受到区委的批评。鲁淮生给县委书记写信报告事实经过，县委派人做调查，通过了鲁淮生的计划。春天来了，全体社员兴高采烈地参加了老龙沟的挖掘工作。
维罗纳,维罗纳,维罗纳是位于意大利北部的一座历史悠久的城市。位于阿尔卑斯山南麓，临阿迪杰河，威尼斯以西114公里。它是葡萄酒、水果和大理石的集散地；工业以纺织、机械、铁路器材、食品为主。该城市有古代罗马的圆形露天剧场和许多造型精美的教堂。2000年，维罗纳入选为联合国教科文组织的世界遗产。
verona,verona,Verona是一个捷克的顶级舞曲组合，由两人组成，其擅长的音乐风格为舞曲。
万象,万象,万象（英文：Vientiane，老挝语：ວຽງຈັນ，罗马化：ViengChan，香港、台湾地区、马新称永珍），老挝人民民主共和国的首都和最大城市。以前叫文单或雍田，即是掸族之城。在塞塔提腊王时成为老挝首都。
五阳,五阳,五阳指五脏的阳气，即心阳、肺阳、脾阳、肝阳、肾阳，在五脏功能发挥中各起着重要作用。
泰西丝,忒堤斯,泰西斯是希腊神话中的海之女神。她是希腊第一位、最初的海洋女神，因此在希腊语中，泰西斯也是“祖母”的意思，在早期神话中，她是一位创世女神。她与大洋神欧申纳斯生下的众多子女里，每一个孩子都代表着小溪、河流或者大海。 
达瓦,达瓦,
HY,HY,来自冲绳的五人乐队--HY，名字取自於他们的出生地方-东屋庆名（ひがしやけな）的首两个字母，2001年发表首张专辑的冲绳限量版并於次年将的发行范围推广到全日本。乐队成员年龄平均24岁，除了Guitar手宫里悠平是84年出生外其他四人均为83年。
开心农场,开心农场,《开心农场》是由FiveMinutes开发机发行，于2008年开布的一款以种植为主的社交网页游戏，用户可以扮演一个农场的农场主，在自己农场里开垦土地、种植各种蔬菜和水果。游戏中除草、除虫、浇水每次动作分别加2点经验，每天累计前150次给经验，包括给自己和好友除草、杀虫、浇水。收获根据不同作物的生长周期不同，每次收获所得经验不同。每购买一次装饰品时增加一次经验。
若绿,若绿,若绿是一种景天科、青锁龙属的多肉植物，也称多浆植物。原产于非洲纳米比亚，生长速度快，适应性强，也耐半阴，但不喜水，种植时注意少浇水。在世界各地广泛栽培。是一种非常迷你的青锁龙属多肉植物，具有生长速度快，适应性强，容易繁殖的特点。日照充分时顶部的叶片会略微变红，其他时候都是绿色。非常容易繁殖，很快就能从一点张成一大丛。非常适合放在组合中种植，因为生长速度快，很快就会遮盖住空白的地方！单独栽种效果略逊于组合，因为色调很单调，选择好花器的话搭配起来就会很美观！
都市雅苑,都市雅苑,都市雅苑项目位于西安市未央区农兴路6号，推广名称为锦里，处于大兴新区、经开区、老城区、大明宫区四大区域汇聚地段，紧邻2号地铁口和大明宫国家遗址公园。
佐川吉,佐川吉,
蓝忆,蓝忆,《蓝忆》是连载于晋江文学城的同人类小说，作者是BurntLime。
初霜,初霜,初霜，亦称早霜，入秋后第一次出现的霜。常在早秋出现，因此时平均气温尚高，树木生长尚未停止，遇霜后往往受冻害。我国各地初霜期不一致，一般高纬度、高海拔比低纬度、低海拔早。
爱丽斯,爱丽斯,鸢尾属植物。英文名：Iris也作鸢尾爱丽斯。法国国花。鸢尾花为蓝紫色，花形似翩翩起舞的蝴蝶。五月，鸢尾花开的季节，你就可以看见一只只蓝色蝴蝶飞舞于绿叶之间，仿佛要将春的消息传到远方去。法国人视鸢尾花为国花。因为相传法兰西王国第一个王朝的国王克洛维在受洗礼时，上帝送给他一件礼物，就是鸢尾
ARS,ARS,ARS的全称是AgriculturalResearchService（农业科学研究院）。作为美国农业部主要的研究机构，ARS负责一系列影响美国人民日常生活的食品安全研究项目，推广相关科学知识，并向APHIS及FSIS提供技术支持。另也是自主复制序列、自动速率选择、自动响应系统、自动路由选择的简称。
real,real,《Real》是由李沙朗执导、金秀贤、成东镒、崔雪莉领衔主演的犯罪动作电影 ，于2017年6月28日在韩国上映 。该片讲述张泰英和黑帮组织头目曹源根，以及一位与“张泰英”同名同姓连样貌也相同的赌场投资人之间相互争夺赌场经营权的故事 。
星罗棋布,星罗棋布,星罗棋布，读音xingluoqibu，汉语成语，像天空中的星星似的罗列着和棋盘上的棋子那样分布着。形容数量众多，散布的范围很广。也作“棋布星罗”、“星罗云布”。多形容房屋等密集。出自《中岳嵩阳寺碑》。
心头肉,心头肉,心头肉是一个汉语词语，读音xīntóuròu，是指一个人最重要的最难以割舍的部分。
巧艺,巧艺,巧艺，指精巧的技艺，这里的艺主要指棋琴书画、建筑、骑射等技巧性。技术性的技能。
陆地,陆地,陆地，拼音lùdì，指地球表面的固体部分，与海洋的水域形成对照。如：航行到看不见陆地了。它由大陆、岛屿、半岛和地峡几部分组成。它的平均海拔高度为875米。总面积1.49亿平方公里，占地球表面积的29.2%。
LD,镭射影碟,镭射影碟（Laserdisc，LD）是种于1980年代至1990年代中流行的影像储存媒体，主要用于电视、电影和卡拉OK（主要是卡拉OK的应用）储存电影的双面视频光盘。现在已差不多被DVD完全代替。镭射影碟尺码和黑胶唱片相若，表面和音乐光碟（CD）相似。镭射影碟机以镭射读取（和CD类似）预先刻录在碟片上的讯号，并转换成影像讯号（如PAL、NTSC）供电视机播放。由于使用类比储存，镭射影碟没有DVD“马赛克”、色带或其他因数码量化带来的问题。於1980年代相对当时流行的VHS放映是颇为昂贵的东西。LD能提供的影像质素接近广播电视，而且因为是非接触式的关系，没有录影带放多了会影像会变差的问题。
清风苑,清风苑,《清风苑》杂志是江苏省人民检察院主管，为江苏省惟一一本国内外公开发行的法制综合类月刊。本期刊以精彩的法制故事，深邃的人生思辩，来实现杂志的一贯承诺——期期有重点，篇篇是精品。
来龙,来龙,旧时堪舆家以山势为龙，称其起伏绵亘的姿态为龙脉。来龙，指龙脉的来源。泛指事物的来源。另有来龙镇，顾名思义。传说古时曾有一龙显现白鹿湖，一佛陀立庵湖畔，遂名来龙庵，此后人丁健旺，来龙镇由之而来。
轩然,轩然,中文广播剧CV网配ID：轩然所属剧团：剪刀剧团昵称：车干轩小然轩妹然妹子然小贱大波然华妃凉凉性别：男出生年月：1991.3.15（农历）民族：汉星座：金牛血型：A出生地：郑州语言：汉语特长：特别能吃
美时,美时,美时是一款社交通讯类手机软件，帮助用户记录精彩时光，美好分享朋友。
雪沫,雪沫,雪沫是游戏《Mabinogi:Heroes》中的一个休闲工会，创建时间是2011年6月28日。
其他,其他,其他，三种用法：1、别的，其余，不分人与物。语出《国语·晋语四》：“民生安乐，谁知其他？”古汉语流行通假，形近和音同的字常通假，他、佗、它同音或形近，因为通假而不区分人称代词与物主代词。2、其余的人（此他为人称代词），只作为（其余者里面的）人称代词而区别于物主代词“其它”，这种区别是现代汉语里的现象。3、其余的男子（此他为男称代词），区别于“其她”，这种用法也有，但很少。谈物时，用“其他”是继承古代用法，用“其它”是现代汉语环境里的合逻辑用法，都可以。因为，古汉语不区分其他与其它，现代汉语里他作为人称代词而它作为物主代词了。
中硅,中硅,由工业陶瓷的专家团队建立，下辖江苏中硅工程材料有限公司、新产品试验平台、新设备试验平台、理论及工程研究开发中心。
阿克苏河,阿克苏河,中国塔里木河水量最大的源流。在新疆维吾尔自治区塔里木盆地西部。长224公里。上游有两大支流︰北支库玛拉克河（也称昆马立克河）水量大，西支托什干河流程长。两河均发源于天山西段，河水由山地降水及冰雪融水补给。两河在温宿附近汇合称阿克苏河。
颢天,颢天,基本信息【注音】：hàotiān【释义】：1.本指西方之天。泛指天空，苍天。【拼音】：hào【繁体】：颢【部首】：页【部首笔划】：06【五行】：木【简体笔划】：18【繁体笔划】：21【吉凶寓意】：吉【拼音输入】：hao【五笔输入】：jyhm【笔顺】：竖折横横捺横竖折横竖撇捺横撇竖折撇捺
藤槐,藤槐,藤槐，中药名。为豆科植物藤槐BowringiacallicarpaCamp.exBenth.的根或叶。分布于福建、广东、海南、广西。具有清热凉血之功效。用于跌打损伤，外伤出血。
玉簟秋,玉簟秋,《玉簟秋》是2010年8月1日文化艺术出版社出版的图书，作者是灵希。讲述了一个颠狂动荡，风起云涌的时代，上演着的缠绵悱恻的悲欢，倾国倾城的离合的故事。
苏茂,苏茂,苏茂，男，1966年10月8日出生于北京，原中央芭蕾舞团演员。出演多部作品，如《敌营十八年》、《追根究底》、《案发现场》、《还珠格格》、《新西游记》、《风流才子唐伯虎》、《七品钦差刘罗锅》、《大汉天子》、《天不藏奸》、《神雕侠侣》、《碧血剑》、《天外飞仙》、《倚天屠龙记》、《新封神榜之凤鸣岐山》。在电视剧《女人本色》中担任男一号，与陶红饰演的成在信夫妻档配甚为精彩，在各卫视热播的电视剧《天不藏奸》中，苏茂饰演的男一号警察周雄，更是走进了千家万户。深圳电视台邀请苏茂在打造本土商战型题材电视剧《城市激情》中饰演男一号。
笙箫默,笙箫默,笙箫默，《花千骨》（fresh果果所著图书）中的人物。长留三上仙中的儒尊，为白子画、摩严师弟 。三尊中他年龄最小，修为却不逊于白子画和摩严。他生性慵懒幽默，潇洒不羁，温和可亲，个性随和，却很有睿智和爱心，极少过问派中之事。常把玩一支长箫，引得许多女弟子为他疯狂。三尊之中，摩严太严厉，白子画太冷漠，只有笙箫默最好说话。整个长留莫不以他为偶像，很多长留弟子都喜爱他。
法耐,法耐,全球化时代，环保理念越来越被世界各国所关注，公司以其时代化的发展眼光，推出了主导产品——法耐“绿色”服饰，其面料采用天然植物纤维，做到了自然与科技的完美结合。
FANAI,FANAI,FANAI（法耐）是意大利法耐国际鞋服有限公司，成立于2012年1月4号，创始人zhouyongcan是一位固特异制鞋艺术家。
AIJIA,aijia,爱家网，是一个全新的。顾问平台。
后庭花,后庭花,后庭花”是指陈后主曾做一首《玉树后庭花》。陈朝陈后主的贵妃张丽华发长七尺，光可鉴人，陈后主对她一见钟情，据说朝堂之上，还常将其放在膝上共商国事。当时杨坚正积蓄兵力，有夺取天下之心，而陈后主并不在意，还整天过着花天酒地的生活。陈后主在光照殿前，又建“临春”、“结绮”、“望仙”三阁，自居临春阁，张丽华住结绮阁，龚孔二贵妃同住望仙阁，整日只做饮酒赋诗之事。
阿斯卡利,阿斯卡利,英伦手造跑车品牌ASCARI，在迁址到英国Banbury的工厂之后推出全新的超级跑车KZ-1。
ASCARI,阿斯卡利,英伦手造跑车品牌ASCARI，在迁址到英国Banbury的工厂之后推出全新的超级跑车KZ-1。
寒江雪,寒江雪,《寒江雪》是郑源和京剧名伶储兰兰演唱歌曲，国语版由郑源作词、作曲；粤语版由郑源和余楚杏作词，郑源作曲，由郑源和郑依玲（郑丽品）演唱，京剧部分由马英作词、赵博作曲。是郑源2011年5月13日发行的单曲。该歌曲是一首中国风与新京剧完美结合的歌曲，被央视赞誉为东方情调传统韵味十足的佳作。 该歌曲入围2012年中央电视台音乐频道《中国音乐电视》栏目举办的中国音乐电视优秀音乐电视作品展播”华语歌坛范围内优秀音乐作品，协同百首华语乐坛主流金曲共同献礼十八大。 
欧览,欧览,欧览位于西安市，适宜商务宴请、休闲时光、休闲小憩
燕舞莺歌,燕舞莺歌,燕舞莺歌，成语，作谓语、定语，燕子在飞舞，黄莺在鸣叫。形容春光明媚。同“燕舞莺啼”。出自宋·朱淑真《春日行》：“燕舞莺歌昼晷永，帘幕无人门宇静。”
杰出,杰出,杰出，指有出众的才能、成就。也指同类中出色的物品。特出；高耸。
堇辰,堇辰,《堇辰》是千萤创作的网络小说，发表于晋江文学网。
纳格兰,纳格兰,纳格兰，是游戏《魔兽世界》中的一个地名。所属级别：64－67。纳格兰大草原，兽人族最早的聚集地，外域最美的区域，同时兼具粗犷与秀丽。表面上基本没有受到任何污染。虽然没有副本，但地图中央的哈尔拉常年战火纷飞两边阵营打得不亦乐乎。因为这里动物多，任务多，PVP多，又被称之为荆棘谷升级版。
幸运星,幸运星,《幸运星》是由日本漫画家美水镜创作的四格漫画作品。自2004年1月起在角川书店旗下游戏杂志《月刊Comptiq》上开始不定期连载，随后在《少年ACE》等数家杂志上亦有连载，单行本于2005年1月6日开始发行销售，至今共出版10卷，未完结。简体中文版于2012年3月20日起由天闻角川发行，至今共出版9卷，未完结，同时在《天漫》3月号起与日本同步连载 。
花耀飞,花耀飞,花耀飞（本名朴美英，以前在日本活动所以叫朴花耀飞，现在的名字是花耀飞），韩国著名R&B歌手。于2000年以首张专辑《MyAll》出道，她凭借着沙哑而具有力量的歌声获得大众喜爱，并被冠以韩国"R&B女王"之称号。曾于2008年和歌手Fany参加综艺节目我们结婚了，在节目中花耀飞以可爱超前跳跃思想的性格获得不少人气。 
豪植,豪植,
洋子,洋子,洋子，原名朱海湛，广东雷州人。中共党员。1987年毕业于中山大学汉语言系。1978年参加工作，历任广东湛江市车辆修配厂工人，湖南衡阳军分区宣传科电影放映员，广东湛江港务局公安局政保科民警，湛江港第一作业区宣传科干事，政工师湛江港第一作业区党委办公室副主任。
真情,真情,真情，汉语词汇。拼音：zhēnqíng，释义：1.真实的情况。2.真诚的情感
金亮,金亮,金亮(JinLiang)（1978年4月28日—），中国模特、演员。1999年与北京新丝路签约为职业模特，并在首届全国广告模特大赛荣获季军及最佳才艺奖、优秀选手奖。成为国内平面模特中首个同时包揽三项大奖的男模。凭借出众的外形和表演技巧，2007年东方卫视“加油好男儿”大赛金亮顺利挺近成都赛区8强，并首发个人单曲《我是好男儿》2011年演艺事业风生水起，金亮睿智严谨的工作态度，在圈内有口皆碑。
子文,王子文,王子文（Olivia），1987年2月28日出生于四川成都，中国内地影视女演员、模特，毕业于中央戏剧学院。2006年，出演个人首部电视剧《谁是我爸爸》，正式进入娱乐圈 ；同年，因在战争剧《寒秋》中饰演女主角秋红而受到关注 。2010年，出演灾难片《唐山大地震》 。2011年，凭借家庭情感剧《家，n次方》和都市情感剧《男人帮》获得更多关注 。2016年，因主演都市职场女性剧《欢乐颂》获得颇高人气，并获得第19届华鼎奖中国百强电视剧全国观众最喜爱的影视明星奖项 ，同年，她还凭借都市悬疑爱情剧《如果蜗牛有爱情》获得腾讯视频星光大赏年度大势电视剧女演员奖 。2017年，继续出演都市女性励志剧《欢乐颂2》 。
情非得已,情非得已,《情非得已》是由张国祥作词，汤小康作曲，JamieWilson编曲，庾澄庆演唱的歌曲，收录在庾澄庆2001年06月15日发行的专辑《海啸》中。《情非得已》是庾澄庆代表作品之一，该歌曲是2001年中国台湾青春偶像剧《流星花园》主题曲。2002年，该曲获得马来西亚娱协奖国际组原创歌曲奖、马来西亚娱协奖最受欢迎原创金曲奖 。
锦语,锦语,锦语，属于壮侗语系，是贵州布依族使用的一种语言。在贵州省使用锦语的锦人，不使用布依语，属于中国未识别民族，但为了民族政策上的方便，便将这支民族划分为布依族。
古达,古达苗族彝族乡,隶属贵州省赫章县，与毕节、纳雍两县相接壤，古境内峰峦重叠，沟壑纵横。地势西高东低，最高海拔2350米，最低海拔1230米。古达有着丰富的植物资源、水能资源、矿产资源和旅游资源，古达还有着厚重的历史文化和文物古迹。
无以伦比,无以伦比,无以伦比，成语，意为没有能比得上的。指事物非常完美，没有能跟它相比的，同时也指想法创新，没有更好的办法。
沙巴特,沙巴特,姓名：沙巴特身高：厘米体重：公斤惯用脚：右脚出生地：未知（以色列）国籍：以色列代表国家队：出场0次，进0球欧洲三大杯：出场0次，进0球欧洲冠军联赛：出场0次，进0球球场位置：后卫
孙凯,孙凯,赤峰电视台主任编辑，副教授职称。现任赤峰电视台旅游专题部主任，制片人。栏目制片人、编导大学文化，中共党员，副教授职称。喜欢旅游，热爱大自然，追求完美。 
香榭里,香榭里,由成都汇联住房经营管理股份有限公司投资城建的一个小区。
花花草草,花花草草,花花草草是一个汉语成语，读音是huāhuācǎocǎo，意思是很多的花、很多的草。
百万葵园,百万葵园,百万葵园是中国首个将向日葵作为观赏性植物并设计成超大型主题园林的公园。百万葵园于2002年4月建成及对外开放，位于广州市南沙区新垦镇，占地面积26万平方米，种植一百万株向日葵，成为全国第一家全部采用进口种子（以日本为主）的观赏性向日葵乐园。当中包括百万葵花园外，还建起了全国首个有1000多只松鼠居住的松鼠乐园，以及蚂蚁王国和白鸽广场等景点。
文清,文清,文清，1972年1月1日出生于广西壮族自治区桂林市。中国内地主持人、演员、制片人，毕业于中国传媒大学播音专业、北京大学艺术系研究生。从北京广播学院播音系毕业之后，文清直接被分配到中央电视台做起节目主持人，作为CCTV综艺频道主持人，文清在央视主持岗位上主持过《生活》、《开心辞典》等栏目；2000年、2002年年两次担任中央电视台春节联欢晚会主持人 。2005年9月，文清离开央视，转到中国电视剧制作中心当演员。2007年，主演电视剧《天仙配》 。2010年11月，文清签约北京小马奔腾壹影视文化发展有限公司，进入演艺圈。2011年，在建党90周年献礼剧《公元1921》 和纪念辛亥革命100周年历史剧《辛亥革命》中饰演了国母宋庆龄 。2013年1月，文清再次走上主持的舞台，在吉林卫视主持一档以名人家庭传奇为主的现场故事讲述型节目《家事》 。2014年主演电视剧《七年之痒》 。
洛凌,洛凌,《洛凌》是在红袖添香网连载的古装言情小说，作者是蓝若玫瑰琳。
岁寒三友,岁寒三友,岁寒三友（suìhánsānyǒu）：中国传统寓意指松、竹、梅经冬不衰，因此有“岁寒三友”之称。松竹梅傲骨迎风，挺霜而立，精神可嘉！象征常青不老的松、象征君子之道的竹、象征冰清玉洁的梅三种植物组成，因其寒冬腊月仍能常青。
花季王朝,花季王朝,《花季王朝》是花儿乐队2005年7月28日发行的第八张专辑。2006年01月24日，花儿乐队又趁着新年发出《花季王朝·贺岁大礼包》版。
娴雅,娴雅,娴雅，汉语词汇。拼音：xiányǎ释义：文静大方：举止娴雅
踏花行,踏花行,《踏花行》的作者是金琰，属于综合其它类型
美丽故事,美丽故事,美丽故事服饰品牌设计灵感源于欧洲的最新时尚元素与当前的流行趋势完美融合·
南叶,南叶,《南叶》杂志是以发表文学作品为主的综合性月刊。发行量近十万份。主要读者群体为打工一族。自1999年底改版后，受到广大读者的支持，刊物质量不断提高，发行量不断增加。
神秘花园,秘密花园,《秘密花园》（TheSecretGarden）是美国女作家弗朗西丝·霍奇森·伯内特创作的儿童文学作品。故事讲述了性情古怪孤僻的小女孩玛丽・伦罗克斯的父母双亡后，生活在姨父神秘阴沉的大房子里，一次神奇的经历，使玛丽闯入久已禁闭且荒芜的花园。玛丽、农家小子狄肯和常年被关在阴暗房间里病态的少爷柯林，找到了开启快乐的钥匙，和花园经历了一次诗意的复活。 它是近百年来畅销不衰的经典儿童小说，多次被改编成影视作品，并在中国有多个图书版本。
空前绝后,空前绝后,空前绝后，拼音是kōngqiánjuéhòu，汉语成语，指从前没有过，今后也不会再有。夸张性地形容独一无二。也形容非凡的成就或盛况。出自宋·朱象贤《闻见偶录·男服从军》
锦卉,锦卉,锦卉是起点中文网卉卉c的作品，首发起点中文网
朗迪,朗迪,朗迪，山西振东集团旗下钙营养补充剂，是一种常用的口服维生素及矿物质非处方药品。用于儿童、妊娠和哺乳期妇女、更年期妇女、老年人等的钙剂补充，并帮助防治骨质疏松症。朗迪于2009年在中国上市，为各个不同年龄段的人群带来充足合理的钙补充。
志尚,志尚,志尚，是一个汉语词汇。拼音是zhìshànɡ，释义为志向；理想。
恒瑞,恒瑞,恒瑞（？—1801），爱新觉罗氏，满洲正白旗人，吉林将军萨喇善子，清朝将领。乾隆中，授侍卫，赴西藏办事，擢热河都统，迁福州将军。五十二年，台湾林爽文作乱，命率驻防兵往剿，参赞军务，偕总督常青赴南路。凤山贼势方炽，高宗知常青、恒瑞不可恃，命福康安督师。贼围总兵柴大纪於诸罗，恒瑞驻军盐水港，逗留不进，诏解任。福康安至，屡为疏陈战绩，帝益怒，斥其徇护，逮恒瑞论罪。事平，减死戍伊犁。寻予副都统衔，充伊犁参赞大臣。历定边左副将军、绥远城将军，调西安。
萌天下,萌天下,2013年手游大作《萌天下》，是由成都动鱼数码科技有限公司在2013年研发的手游大作。远古时代背景、现代时尚元素完美的融合。创新战斗模式、丰富的宠物种类、最高九位宠物上阵激战使得战斗不再孤单。简单快捷的战斗节奏，也绝不浪费生活中的每一秒。游戏拥有极其绚丽夺目的视觉效果，加上完美的配音效果，让你在小小的屏幕上便可获得极限试听享受。唯美画面、萌宠激战、精心打造副本关卡以及独出心裁的战斗方式，一切尽在《萌天下》
春茗,春茗,春茗，又称春酒、新年会，是在春节后，与亲友相聚品茶用点心或聚餐的意思。除了与朋友相聚外，企业、单位、团体的团年饭也叫春茗。通常在春节假期后陆续举行一直到正月尾。公司企业常会举办春茗，一方面酬劳辛苦一年的员工，另一方面也答谢合作单位、客户等。春茗在港台地区颇为盛行，一般大公司、大企业每年都会在春节前后举办春茗，除公司全体员工参加外，还会邀请与公司有业务来往的代表参加。公司老板借春茗的机会一方面酬劳辛苦一年的员工，另一方面也答谢合作单位，希望在新的一年中加强合作，鼓舞士气，又有一个新的开始。
醉花春,谒金门,谒金门，词牌名，又名“空相忆”“花自落”“垂杨碧”“出塞”“东风吹酒面”“不怕醉”“醉花春”“春早湖山”等，原为唐教坊曲。以韦庄《谒金门·空相忆》为正体，双调四十五字，前后段各四句、四仄韵。另有双调四十五字，前段四句四仄韵，后段五句四仄韵；双调四十五字，前后段各四句、四仄韵等变体。代表作品有冯延巳《谒金门·风乍起》、李好古《谒金门·花过雨》等。
牧马人,牧马人,牧马人是克莱斯勒Jeep汽车型号，牧马人是克莱斯勒Jeep牧马人系列的顶极版本。牧马人是吉普系列中最为强悍的品种真正意义上的ORV越野车。
FIXED STAR,Fixed Star,《FixedStar》是沾染灬创作的网络小说，发表于晋江文学网。
W,W-两个世界,《W-两个世界》是韩国MBC电视台于2016年7月20日首播的奇幻爱情悬疑剧，由郑大允执导，宋载正编剧，李钟硕、韩孝周主演 。该剧讲述了现实世界中的女医生吴妍珠偶然地进入了人气漫画《W》的世界，与漫画主人公姜哲相遇后发生的一系列连锁事件 。
塔娜,塔娜,蒙语中塔娜"tana"意为“东珠”“珍珠”(满文依蒙文创制，以蒙文字母标注满语发音，故，诸多词汇满文与蒙文书写相同，比如“塔娜”一词。），常用于蒙古族人名。
大隆,大隆,纯品为黄白色或灰白色粉末，不溶于水，可溶于乙醇、丙酮等。常温下化学性质较稳定，可贮存2年以上。对家畜、家禽等剧毒，对鱼类有微毒。大隆为第二代抗凝血杀鼠剂，是目前抗凝血剂中毒性最大的一种，具有急性和慢性杀鼠剂的双重优点。适口性好，不会产生拒食作用，可杀死对第一代抗凝血剂产生抗性的鼠类。
若歌诗,若歌诗,若歌诗（Crassularogersii）是景天科青锁龙属多肉植物，原产于非洲南部。易丛生，茎细柱状，淡绿色，在阳光充足、低温的环境下叶片会变成橙红色。 
KOOP,koop,成立于1995年，瑞典二人组koop为Magnus与Oscar两人。Magnus是瑞典稀少伶仃的Techno╱JazzDJ，Oscar则深受古典、爵士等音乐的熏陶，并长期担任爵士乐团的kb手。
花溅泪,花溅泪,电影《花溅泪》由金星影片公司于1941年出品。该片改编自同名话剧，由张石川、郑小秋联合执导，慕容婉儿、龚秋霞、舒适、吕玉堃、胡枫等领衔主演。该片既描写了舞女的不幸遭遇和悲惨生活，又反映出舞客的形形色色。 
