九牧,九牧集团有限公司,九牧集团有限公司，创立于1990年，总部位于福建，是目前国内大型的卫浴洁具产品制造商和供应商之一，同时也是《陶瓷片密封水嘴》国家标准的起草和制定单位，“全国五金制品标准化技术委员会厨卫五金分技术委员会”秘书处。集团旗下品牌“JOMOO九牧”荣获“中国名牌”、“中国驰名商标”、“中国节水产品认证”等多项国家级荣誉。2017年9月，人民网舆情监测中心公布“中国陶瓷品牌影响力大数据排行榜”，九牧卫浴品牌活跃度、用户相应度、终端口碑、品牌影响力均排在行业首位 。2017年，九牧以178.36亿元的品牌价值进入2017年“中国500最具价值品牌”榜单，连续6年蝉联行业第一 
箭牌,箭牌,箭牌是美国箭牌糖果有限公司（WmWrigleyJrCompany）的简称，公司成立于1891年，由小威廉.瑞格理创办，是国际糖果业界的领导者之一和全球最大的口香糖生产及销售商。箭牌糖果（中国）有限公司为其在中国设立的独资企业。目前在广州经济技术开发区、广州市番禺区和上海市松江工业区分别设有三家工厂。美国箭牌糖类有限公司是国际糖果业和全球最大的口香糖生产商，产销口香糖、薄荷糖、硬糖、软糖以及棒棒糖等多样化产品。公司在超过40个国家开展业务，产品行销世界上超过180个国家，其中“黄箭”和“白箭”品牌已有110多年的历史。箭牌公司长期致力于让“箭牌融入生活每一天”，产品具有相当高的知名度和品牌美誉度。
ARROW,绿箭侠,《绿箭侠》（Arrow）是由戴维·纳特执导的美国动作冒险类电视连续剧，由斯蒂芬·阿梅尔、凯蒂·卡西迪、薇拉·贺兰德、科林·萨尔蒙、约翰·巴洛曼等主演。《绿箭侠》改编自“DC漫画”，讲述了亿万阔少奥利弗·奎恩遭遇海难，困于小岛五年后被渔民救起，重返故乡斯塔灵市。奥利弗在炼狱岛上揭开了父亲参与的一场恐怖计划，同岛上的雇佣兵、黑手党、恐怖分子之间发生的故事。 《绿箭侠》第一季于2012年10月10日在CW电视台首播，第二季于2013年10月9日首播。第三季于2014年10月8日首播，第四季于2015年10月7日首播，第五季于2016年10月5日首播，第六季于2017年10月12日首播。 
潜水艇,潜艇,潜艇或称潜水船、潜舰是能够在水下运行的舰艇。 潜艇的种类繁多，形制各异，小到全自动或一两人操作、作业时间数小时的小型民用潜水探测器，大至可装载数百人、连续潜航3-6个月的俄罗斯台风级核潜艇。按体积可分为大型（主要为军用）、中型或小型（袖珍潜艇、潜水器）和水下自动机械装置等。 大型潜艇多为圆柱形，船中部通常设立一个垂直结构（舰桥），早期称为“指挥塔”，内有通讯、感应器、潜望镜和控制设备等。如今的深海潜艇或专业潜艇常已无此设计。 自第一次世界大战后，潜艇得到广泛运用，担任许多大国海军的重要位置，其功能包括攻击敌人军舰或潜艇、近岸保护、突破封锁、侦察和掩饰特种部队行动等。潜艇也被用于非军事用途，如海洋科学研究、抢救财物、勘探开采、科学侦测、维护设备、搜索援救、海底电缆维修、水下旅游观光、学术调查等，超级富豪甚至用为海下移动豪宅。潜艇是公认的战略性武器（尤其是在裁军或扩军谈判中），其研发需要高度和全面的工业能力，目前只有少数国家能够自行设计和生产。特别是弹道导弹核潜艇更是核三位一体的关键一极。潜艇也是较早期就有的匿踪载具。潜艇的噪音降至90分贝左右就可以“淹没”在浩瀚的海洋背景噪音中，就不是当代声纳所能侦测的。 
Submarine,submarine,
摩恩,摩恩,摩恩的系列产品种类齐全，适应于各种场所的需要，广泛应用于中高档住宅、高级酒店、别墅、公寓、商务办公楼及各类公用建筑。在美国本土及加拿大地区的水暖器材行业和普通居民中，摩恩产品妇孺皆知，摩恩(Moen)亦是整个北美洲知名度和社会公众指明购买率很高的品牌。在世界上，摩恩产品以其精湛的技术，先进的工艺，完美的售后服务而倍受世界各地用户的偏爱，并享有极高的声誉。公司的理念是：Buyitforlooks.Buyitforlife。摩恩公司在为用户提供优质产品的同时为用户提供5年保修，摩恩龙头凡出现滴漏问题均可享有5年责任担保。1939年 美国摩恩的创始人艾尔·摩恩发明了世界上第一把单把手冷热水混合水龙头，人们将这一发明与爱迪生发明电灯、贝尔发明电话相提并论，被国际上著名的”FORTUNE”杂志评为20世纪美国100项最优秀的发明之一。摩恩公司于1994年进入中国市场，并在上海外高桥保税区建立了第一个销售公司。随后的几年时间里，美国摩恩公司先后在上海、北京、广州和重庆建立了办事处，其销售网络已经覆盖了中国300多个城市。 摩恩又引进豪室（Showhouse）龙头品牌，全面抢占高端市场。
科勒,扬·科勒,扬·科勒（JanKoller），1973年3月30日出生于捷克布拉格，捷克足球运动员，场上司职中锋。 扬·科勒曾效力于布拉格斯巴达、多特蒙德、摩纳哥等俱乐部。扬·科勒代表捷克国家男子足球队打进55球，是捷克国家队历史上的头号射手，曾杀进2004年欧洲杯半决赛。 2011年，扬·科勒宣布退役。 
KOHLER,kohler,kohler（科勒）公司于1873年成立，总部设在美国威斯康星州Kohler，是美国最古老、最大的私有公司之一。美国科勒公司科勒公司是厨卫产品、高档室内装饰产品、发动机和发电系统的全球领先者。
法恩莎,法恩莎卫浴,法恩莎卫浴是一种卫浴品牌。法恩莎是意大利一个盛产陶瓷的著名小镇这里出产的陶瓷透出一股唯美、优雅、艺术的气息。20世纪初，与毕加索齐名的现代派画家马蒂斯（Matisse）到意大利陶瓷之乡法恩莎游历，寻求艺术灵感，在一次漫无目的的街头漫步之际，神秘邂逅一位美丽的少女，为少女的美深深打动，在巨大的创造灵感和热情的推动下，意大利设计师创作了一幅极具魅力神韵的作品，并将其命名为《法恩莎少女》，一时间《法恩莎少女》唯美优雅的艺术风格轰动了整个艺术界，法恩莎品牌由此孕育而生。
FAENZA,Faenza,
