雅培,雅培,雅培是一家全球性、多元化医疗保健公司，已有100多年的发展历史，在全球约有7.3万名员工，业务遍及150多个国家和地区。1988年以来，雅培在中国持续经营，现在已经深深扎根于中国。 
Abbott,雅培,雅培是一家全球性、多元化医疗保健公司，已有100多年的发展历史，在全球约有7.3万名员工，业务遍及150多个国家和地区。1988年以来，雅培在中国持续经营，现在已经深深扎根于中国。 
爱他美,爱他美,德国领先的高端奶粉品牌，是德国市场份额第一的奶粉，也是欧洲销量最好的奶粉之一。爱他美奶粉产自德国，是德国美乐宝（Milupa）集团旗下品牌，后美乐宝被达能集团收购。2007年，达能再收购RoyalNumico（纽迪希亚持有人），将旗下的婴幼儿营养及医学营养进行了内部合并。爱他美与诺优能、可瑞康三个奶粉品牌均属于纽迪希亚旗下。
Aptamil,爱他美,德国领先的高端奶粉品牌，是德国市场份额第一的奶粉，也是欧洲销量最好的奶粉之一。爱他美奶粉产自德国，是德国美乐宝（Milupa）集团旗下品牌，后美乐宝被达能集团收购。2007年，达能再收购RoyalNumico（纽迪希亚持有人），将旗下的婴幼儿营养及医学营养进行了内部合并。爱他美与诺优能、可瑞康三个奶粉品牌均属于纽迪希亚旗下。
美素佳儿,美素佳儿,美素佳儿(Friso)是荷兰皇家菲仕兰旗下的婴幼儿奶粉品牌。美素佳儿，其母公司-荷兰皇家菲仕兰公司创建于1871年，迄今已有140多年的历史，是合作型乳品公司，在全球100多个国家赢得了相当高的声誉。2004年，荷兰皇家菲仕兰公司被荷兰皇室授予“皇家”称号，行业仅此一家。荷兰皇家菲仕兰公司的荷兰自家牧场由欧洲超过20000名左右会员农场主联合经营，共同管理，严格保证了美素佳儿奶粉的稳定品质。 
Friso,Friso,friso是使用c语言开发的一个开源的中文分词器，使用流行的mmseg算法实现。
惠氏,惠姓,惠姓，在中国并不是一个常见的姓氏，但也是中国较为古老的姓氏之一。在过去2000多年期间，惠氏的活动地区主要是长江以南的江、浙一带，长久以来在历史上成名的惠氏名人，也几乎全是江、浙人氏。古代的扶风，在今陕西平东南，全国惠氏老家便在这里。望族居扶风郡（今陕西省扶风县一带）。
美赞臣,美赞臣,美赞臣营养品公司创立于1905年，创始人为爱德华·美赞臣，公司总部位于美国伊利诺斯州的格伦维尤，其全球研发中心及全球运作生产中心则位于美国印地安纳州的埃文思威尔镇。美赞臣汇聚前沿的营养科研力量，一直致力于配方的研发和创新，为全世界婴幼儿的健康成长提供从科学探索到临床科学研究的全面支持。同时，美赞臣已与多家大学和研究机构合作，拥有婴幼儿营养研究平台和专业能力。所生产的70多种营养产品行销50多个国家和地区。 2018年4月18日，因在生产许可条件保持、食品安全管理制度落实等方面存在缺陷，被国家市场监管总局通报。 
雀巢,雀巢公司,雀巢公司是由亨利·雀巢（HenriNestle）于1867年创办，总部设在瑞士日内瓦湖畔的韦威(Vevey)，在全球拥有500多家工厂，为世界上最大的食品制造商。公司起源于瑞士，最初是以生产婴儿食品起家，以生产巧克力棒和速溶咖啡闻名遐迩。2018年4月18日，因在生产许可条件保持、食品安全管理制度落实等方面存在缺陷，被国家市场监管总局通报。 
Nestle,雀巢公司,雀巢公司是由亨利·雀巢（HenriNestle）于1867年创办，总部设在瑞士日内瓦湖畔的韦威(Vevey)，在全球拥有500多家工厂，为世界上最大的食品制造商。公司起源于瑞士，最初是以生产婴儿食品起家，以生产巧克力棒和速溶咖啡闻名遐迩。2018年4月18日，因在生产许可条件保持、食品安全管理制度落实等方面存在缺陷，被国家市场监管总局通报。 
伊利,内蒙古伊利实业集团股份有限公司,亚洲第一、全球8强的伊利在董事长潘刚带领下，2017年实现营业总收入680.58亿元，创亚洲乳企最好成绩 。 内蒙古伊利实业集团股份有限公司（以下简称伊利集团）规模大、产品线健全，位居亚洲乳业第一、全球乳业8强，是中国符合奥运会标准，为2008年北京奥运会提供服务的乳制品企业 ；也是中国符合世博会标准，为2010年上海世博会提供服务的乳制品企业 。据年报显示，2017年伊利营业总收入680.58亿元，同比上升12.29%；净利润60.03亿元，其扣非净利润同比上升17.70%；综合市场占有率20.5%，同比上升1.4%。此外，净资产收益率达25.22%，连续多年保持在20%以上。 在“全球织网”的战略下，伊利已经实现国际化布局。作为行业龙头企业，伊利集团旗下多款产品长期居市场领先地位，整体营业额在行业中遥遥领先，是进入全球排名前八的亚洲乳企。 2016年8月，内蒙古伊利实业集团在"2016中国企业500强"中排名第96位。 2018年5月9日，“2018中国品牌价值百强榜”发布，伊利位列第54。 
a2,A2,A2有限公司(简称“A2C”)是一家迅速成长的乳制品公司，旗下a2®牛奶及相关产品建立在独一无二的知识产权研发及专利技术上，目前足迹遍及新西兰、澳大利亚、英国及中国。A2有限公司是全球唯一拥有权生产和销售a2®品牌乳制品经营权的公司。a2®品牌牛奶是鲜奶产品，纯天然、无添加，源自含有纯A2β-酪蛋白的奶牛。所有的A2奶牛都是通过DNA测试验证，并通过认证以确保产出的牛奶只含有A2型的β-酪蛋白。a2®品牌牛奶背后的科研主张独树一帜，在全球消费者日益关注健康的趋势下，带给消费者感受得到的健康益処；除了得到广大消费者有力的佐证外，也由公司独一无二的及强大的专利技术在背后支持。
诺优能,诺优能,诺优能是荷兰婴幼儿奶粉的领先品牌，沿承NUTRICIA纽迪希亚科研中心在婴幼儿营养领域100多年的研究成果。在荷兰婴幼儿奶粉市场占有率超过70%。中国官方销售的Nutrilon诺优能奶粉(荷兰牛栏)100%荷兰原装原罐进口绝无二次分装，应用100%乳糖配方设计，为宝宝提供专业早期营养，建立长远健康基础。
Nutrilon,诺优能,诺优能是荷兰婴幼儿奶粉的领先品牌，沿承NUTRICIA纽迪希亚科研中心在婴幼儿营养领域100多年的研究成果。在荷兰婴幼儿奶粉市场占有率超过70%。中国官方销售的Nutrilon诺优能奶粉(荷兰牛栏)100%荷兰原装原罐进口绝无二次分装，应用100%乳糖配方设计，为宝宝提供专业早期营养，建立长远健康基础。
合生元,合生元,合生元用心专注母婴营养与健康，携手法国IsignySainte-Mere 、Lallemand集团、法国Montaigu乳品公司等全球战略合作伙伴，共同研发高科技含量的优质产品。秉承“把优越做成产品，把责任变成品质”的理念，全面提供益生菌冲剂、婴幼儿奶粉、妈妈奶粉、多种营养食品等母婴营养健康产品，给宝宝聪明IQ、爱心EQ、活力PQ发展的均衡营养。
BIOSTIME,biostime,biostime函数用法：longbiostime(intcmdlongnewtime)功能：计时器控制，cmd为功能号，为0时函数返回计时器的当前值，计时时间从午夜开始，以时钟滴答声为单位，每秒时钟滴答18.2次；为1时将计时器设置为新值newtime。
贝因美,贝因美,贝因美（Beingmate）初创于1992，贝因美婴童食品股份有限公司成立于1999年。 2011年4月12日贝因美（002570）在深交所挂牌上市。2015年4月17日晚间公告，公司下属全资公司爱尔兰贝因美出资1000万欧元，认购中法（并购）基金开展对外投资。同时，公司以现金1.17亿元收购敦化美丽健乳业有限公司65%的股权，成为其控股股东。 
Beingmate,贝因美,贝因美（Beingmate）初创于1992，贝因美婴童食品股份有限公司成立于1999年。 2011年4月12日贝因美（002570）在深交所挂牌上市。2015年4月17日晚间公告，公司下属全资公司爱尔兰贝因美出资1000万欧元，认购中法（并购）基金开展对外投资。同时，公司以现金1.17亿元收购敦化美丽健乳业有限公司65%的股权，成为其控股股东。 
飞鹤,飞鹤,飞鹤始建于1962年，从丹顶鹤故乡黑龙江齐齐哈尔起步，是中国最早的奶粉企业之一。50余年来，飞鹤一直专注于针对中国人体质研制奶粉，对中国宝宝体质特点及需求展开大量研究，引领行业开创多种提升奶粉对中国宝宝体质适应性的技术、配方与工艺。2009年，飞鹤乳业又成功转战纽交所主板，再次成为第一家且唯一一家在纽交所主板上市的中国乳企。飞鹤不惜成本用了10年时间，在北纬47度世界黄金奶源带上打造了中国婴幼儿奶粉行业第一条完整的全产业链。旗下拥有星飞帆、超级飞帆、飞帆等系列产品，飞鹤——专注做更适合中国宝宝体质的奶粉。 2018年4月16日，因在食品安全管理制度落实等方面存在缺陷，被国家市场监管总局通报。 2018年4月17日，黑龙江食品药品监督管理局发布整改通告，飞鹤（甘南）乳品有限公司已进行了认真整改，并通过当地食药监部门的确认。 
君乐宝,君乐宝,石家庄君乐宝乳业有限公司创立于1995年，至今二十年 。是河北省最大的乳制品加工企业，是农业产业化国家重点龙头企业、国家高新技术企业、国家乳品研发技术分中心，君乐宝商标是中国驰名商标。公司现有员工5800人，在石家庄、保定等地建有十个生产工厂，主要经营酸牛奶、低温乳酸菌饮料、纯牛奶、花色奶、乳饮料、婴幼儿配方奶粉等50多个品项。2013年完成销售收入36亿元销售增长率高于行业平均增速一倍以上，上缴税金2.3亿元。低温酸牛奶、乳酸菌饮料市占率居全国第四位。2015年7月，君乐宝通过全球食品安全标准(BRC)A+认证成为全球第一家获得A+顶级认证的婴幼儿奶粉企业。 
喜宝,喜宝,《喜宝》是2002年南海出版公司出版的小说，作者是亦舒。该小说讲述了剑桥圣三一学院的法学高材生姜喜宝，本是炙手可热的俏佳人，尚有高贵文凭压身，却反其道之，决定做富商的情妇的故事。
HiPP,HiPP,喜宝奶粉来自德国，是德国婴幼儿食品第一品牌，全球最大的有机食品生产商，几乎每个德国小朋友都是吃着喜宝的产品长大的。英文名称是HIPP，经欧盟认证，100%纯天然及有机的保证，单纯保留食材最原始的味道，口感自然味道极佳，让宝宝摄取最天然的营养而不会造成肠胃道的负担，绝无任何人工添加香料、色素及化学成份的营养素，100%纯天然、营养的食物就像您给宝宝满满的爱与呵护。
