回力,回力,回力鞋业创建于1927年，距今已有90年的历史。“回力”商标注册于1935年，1997年被认定为上海市著名商标；1999年被认定为中国驰名商标。“回力”鞋类产品历获国家质量银质奖、化工部及上海市优质产品奖，连续数年获上海市名牌产品称号和上海市出口免检证书，并荣获第21届西班牙国际质量奖。企业通过了ISO9001：2000质量管理体系的认证 。
Warrior,Warrior,Warrior是一个英文单词，意思是战士，勇士；鼓吹战争的人。
红蜻蜓,红蜻蜓,红蜻蜓自1995年创立以来，以其时尚的外形，亲民的价格，贴心的服务，得到了广大消费者的认可及追捧。红蜻蜓表示，未来若皮鞋行业的终端市场竞争进一步加剧，红蜻蜓不能进一步提高市场占有率，将对本公司品牌提升和业绩增长等产生不利影响2012-2014年，红蜻蜓主营业务收入分别为30.4亿元、31.9亿元和30.9亿元，同比增幅分别为4.85%
奥康,奥康,奥康公司以制鞋为主业，并涉足商业地产、生物制品、金融投资等领域。企业年产值40多亿元，创利税6亿多元，品牌价值165.92亿元。集团实行母子公司管理体制，下辖国内外18个子公司和事业部。公司现有员工2万多人，拥有三大鞋业生产基地、五大鞋业品牌。在全国设立了30多个省级公司、3000多家连锁专卖店、800多处店中店。主导产品“奥康”牌皮鞋陆续获中国真皮领先鞋王、中国名牌产品、中国驰名商标等称号，并成为中国皮鞋行业唯一的标志性品牌。现在，集团旗下的奥康皮鞋、康龙休闲鞋、美丽佳人时尚女鞋、红火鸟鞋业都被国家质检总局评为国家免检产品。根据国家统计局公布的信息，公司连续三年位居中国工业企业行业效益十佳企业第一位。
骆驼,骆驼,骆驼，头较小，颈粗长，弯曲如鹅颈。躯体高大，体毛褐色。极能忍饥耐渴。骆驼可以在没有水的条件下生存3周，没有食物可生存一个月之久。骆驼是骆驼科骆驼属的动物，只有两种。生活在沙漠边缘的人类早在公元前3000年已经开始驯养骆驼，作为役畜，以供驮运和骑乘，有许多国家有倚赖骆驼为生的骆驼牧民，甚至有骆驼骑兵。单峰骆驼毛短，主要生活在北非洲和西亚洲、印度等热带地域，生活在沙漠地带的牧民以骆驼奶甚至骆驼血作为食物，目前全世界只有1400万头，全部都是家畜。骆驼由于胃内附生有水俘，作储水用，故能耐渴。骆驼鼻子构造异常特别，鼻腔内布满弯曲微小气道。当骆驼大量消耗水分时，其分泌物变得干燥，形成硬膜。骆驼呼气时，这种硬膜能吸收来自肺部的水分；当它吸气时......
意尔康,意尔康,意尔康（YEARCON）是意尔康股份有限公司的简称，始创于1995年，位于浙江省青田县，总裁单志敏。1999年升格为无区域名称企业，2001年组建成企业集团，2011年完成股份制改制。总部位于浙江青田，拥有福建意尔康体育用品有限公司、意尔康鞋业（上海）有限公司和意尔康广东皮革制品有限公司三家全资子公司，在全国建有36家销售分公司和3000多家专卖店。
金利来,金利来,金利来品牌起源于中国香港，由著名的爱国人士、慈善家曾宪梓博士创立，其系列产品（及经营权使用商品）包括男士商务正装、休闲服饰、内衣、毛衣、皮具、皮鞋等服装、服饰产品。
足力健,足力健,足力健是北京孝夕阳科技发展有限公司旗下的商标。商标注册号：10110410。
卡帝乐鳄鱼,卡帝乐鳄鱼,卡帝乐鳄鱼（CARTELO）牌服饰是新加坡鳄鱼国际机构（私人）有限公司执行主席陈贤进博士于1947年开始在新加坡发起的；卡帝乐鳄鱼牌商品在国际激烈竞争下占有了新加坡、马来西亚、泰国、印度尼西亚、日本、韩国、印度、巴基斯坦、孟加拉、上海、尼泊尔、缅甸、文莱等国际市场后，于1993年成功地在上海市开设了第一家卡帝乐鳄鱼专卖店，2013年底在淘宝网开设官方旗舰店并于当年投资成立了上海东方鳄鱼服饰有限公司，在短短几年里年销售额已突破三亿元人民币。在全国各城市设有五百多个专卖店、专卖厅，生产和销售额为上海市企业二百强之列，伴随新世纪来临的钟声卡帝乐鳄鱼勇创佳绩——2000年、2001年T恤衫销量领先。
CARTELO,卡帝乐鳄鱼,卡帝乐鳄鱼（CARTELO）牌服饰是新加坡鳄鱼国际机构（私人）有限公司执行主席陈贤进博士于1947年开始在新加坡发起的；卡帝乐鳄鱼牌商品在国际激烈竞争下占有了新加坡、马来西亚、泰国、印度尼西亚、日本、韩国、印度、巴基斯坦、孟加拉、上海、尼泊尔、缅甸、文莱等国际市场后，于1993年成功地在上海市开设了第一家卡帝乐鳄鱼专卖店，2013年底在淘宝网开设官方旗舰店并于当年投资成立了上海东方鳄鱼服饰有限公司，在短短几年里年销售额已突破三亿元人民币。在全国各城市设有五百多个专卖店、专卖厅，生产和销售额为上海市企业二百强之列，伴随新世纪来临的钟声卡帝乐鳄鱼勇创佳绩——2000年、2001年T恤衫销量领先。
