百雀羚,百雀羚,“百雀羚”是上海百雀羚日用化学有限公司（英文缩写：SPDC）旗下品牌，2008年曾获“中国驰名商标”称号此前“百雀羚”已连续两次获“上海市著名商标”。百雀羚创立于1931年，是国内屈指可数的历史悠久的著名化妆品厂商。悠久的历史，承载着光辉的业绩，成就了百雀羚品质如金的美誉。品牌曾被多次评选为“上海著名商标”，并荣获“中国驰名商标”等称号。公司先后与美国Disney、日本ASTROBOY等国际公司合作，推出了迪士尼、阿童木等儿童护理产品系列。传承经典，勇于创新，公司致力于为消费者创造天然温和的优质护肤品，完美演绎“中国传奇，东方之美”。上海百雀羚日用化学有限公司是一家集研究、开发、生产、销售服务为一体的具有七十多年历史的化妆品专业生产企业。公司拥有知名品牌如：百雀羚、凤凰、小百羚、Disney，主要生产的大类产品有：护肤用品、洗护发用品、个人清洁用品、花露水和美容化妆用品等优质的产品。百雀羚创立于1931年，是国内屈指可数的历史悠久的著名化妆品厂商。
欧莱雅,欧莱雅（法国）化妆品集团公司,欧莱雅集团是法国的化妆品公司，创办于1907年。欧莱雅集团是美妆品行业中的领导者，经营范围遍及130多个国家和地区，在全球拥有283家分公司、42家工厂、100多个代理商，以及5万多名的员工，是总部设于法国的跨国公司，也是财富全球500强企业之一。2016年6月8日，《2016年BrandZ全球最具价值品牌百强榜》公布，欧莱雅排第36名。 
玉兰油,OLAY,Olay是一款全球领导护肤品牌，60年来倍受全球女性信任挚爱。Olay一直坚持深入聆听女性需求，并通过将尖端护肤科技注入产品以满足女性日新月异的护肤需求。Olay以卓越的产品品质成为广大女性的美丽标志，为全球超过八千万女性带来健康美丽的肌肤。在2011年4月24日OLAY玉兰油携手黄晓明成为全球首位男性代言人 ；2014年，Olay更携手好莱坞影星凯蒂·赫尔姆斯KatieHolmes作为品牌首位国际代言人。传播全新品牌理念“最美的你(YourBestBeautiful)”，向全球各地的女性传达出永不妥协，不断追求美好生命和美丽肌肤的期许，由内而外缔造最美的你！ 
OLAY,OLAY,Olay是一款全球领导护肤品牌，60年来倍受全球女性信任挚爱。Olay一直坚持深入聆听女性需求，并通过将尖端护肤科技注入产品以满足女性日新月异的护肤需求。Olay以卓越的产品品质成为广大女性的美丽标志，为全球超过八千万女性带来健康美丽的肌肤。在2011年4月24日OLAY玉兰油携手黄晓明成为全球首位男性代言人 ；2014年，Olay更携手好莱坞影星凯蒂·赫尔姆斯KatieHolmes作为品牌首位国际代言人。传播全新品牌理念“最美的你(YourBestBeautiful)”，向全球各地的女性传达出永不妥协，不断追求美好生命和美丽肌肤的期许，由内而外缔造最美的你！ 
自然堂,自然堂,自然堂，伽蓝（集团）股份有限公司旗下产品，2001年创立于上海。以天人合一的中国哲学思想为基础，倡导乐享自然，美丽生活的理念，针对中国人的文化、饮食和肌肤特点研制，甄选珍稀天然成分融合先进科技，致力于为中国消费者提供更好更专业品质的产品和服务。
欧诗漫,欧诗漫,欧诗漫是浙江欧诗漫集团有限公司旗下的奢侈品品牌.欧诗漫以珍珠品牌的责任心和使命感将中华千年珍珠瑰宝传承与创新发展。
OSM,OSM,OSM由国际电信联盟(ITU)起草的V.92标准在2000年11月份获得批准。V.92在V.90标准的基础上体现了3个基本优势。
一叶子,一叶子,2014年，上美集团旗下一叶子品牌应运而生，作为新一代植物护肤品牌，将新鲜植物营养与创新专利科技结合，重新发现植物护肤的新价值。汇萃全球植物鲜活精萃，运用护肤品界最新鲜植物科技，与肌肤相遇一刻，便注入满满的植物新鲜能量，让你亲身见证肌肤满鲜赋活，养出水鲜肌。品牌代言人：刘昊然、郭采洁。
one leaf,one leaf,oneleaf（一叶子），是一款护肤产品，取材于大自然纯粹植物精华。
御泥坊,御泥坊,御泥坊是一个护肤品品牌。
