百益康,百益康,百益康是新西新益美集团（NEWIMAGEGROUP）旗下BioActive在中国注册的中文商标，沈阳百益康生物科技有限公司是新西兰新益美集团（NEWIMAGEGROUP）旗下，百益康品牌（BioActive）系列产品在中国地区的总经销，总部设在沈阳市。百益康选自新西兰纯天然优质奶源，其生产过程经过严格监控，完全符合国际GMP标准和新西兰相关法律法规。同时拥有新西兰奶粉专家团队——新西兰研究所（ICR）为产品提供技术支持，保证每一罐百益康奶粉均适合中国消费者。
龙庆峡,龙庆峡,龙庆峡位于北京市延庆区城东北10公里的古城村西北的古城河口，距北京城区85公里。龙庆峡古称“古城九曲”，被人们誉为北京的“小漓江”，是北京十六景之一。其水源于海坨山东麓，经玉渡山汇入古城水库。延庆的龙庆峡峰峦峭立，山清水秀，7公里长的峡谷既有南方的秀丽，又有北方的雄奇，开阔与幽深间或，险峻与浅滩并存，神仙院、金刚寺、玉泉阁、神笔峰等奇山异景胜似仙境，到了冬天又成为冰雕和冰灯的世界。每年的冰灯节吸引了众多的八方宾客。2016年7月29日开始，龙庆峡向现役军人、残疾军人免收门票。 
金兰,金兰,金兰，《中国好声音》杨坤组选手金志文女友。在《中国好声音》节目中，金志文对女友金兰简单而朴实的表白感动了全国亿万观众。2012年11月23日他们于三亚某度假酒店举行了盛大的婚礼。
奇巧,奇巧,《奇巧》是一款Android平台的应用。
Le Petit Prince,小王子,《小王子》是法国作家安托万·德·圣·埃克苏佩里于1942年写成的著名儿童文学短篇小说。本书的主人公是来自外星球的小王子。书中以一位飞行员作为故事叙述者，讲述了小王子从自己星球出发前往地球的过程中，所经历的各种历险。作者以小王子的孩子式的眼光，透视出成人的空虚、盲目，愚妄和死板教条，用浅显天真的语言写出了人类的孤独寂寞、没有根基随风流浪的命运。同时，也表达出作者对金钱关系的批判，对真善美的讴歌。
海姑娘,海姑娘,《海姑娘》是一首由著名歌唱家宋祖英演唱的军旅歌曲。整曲曲调舒缓柔美，歌词朴实，抒发了海军战士对国家的热爱，对所守卫的湛蓝海域、美丽海岛的热爱以及舍弃五彩青春，一身迷彩，保家卫国的崇高思想。歌曲高度赞颂了我人民海军的不畏艰难，戍守祖国海疆的精神。
山海关,山海关,山海关，又称榆关、渝关、临闾关，位于河北省秦皇岛市东北15千米处，是明长城的东北关隘之一，在1990年以前被认为是明长城东端起点，素有中国长城“三大奇观之一”（东有山海关、中有镇北台、西有嘉峪关）与“天下第一关”、“边郡之咽喉，京师之保障”之称，与万里之外的嘉峪关遥相呼应，闻名天下。明洪武十四年（1381年）筑城建关设卫，因其依山襟海，故名山海关。山海关城周长约4千米，与长城相连，以城为关，城高14米，厚7米，有四座主要城门，多种防御建筑。包括“天下第一关”箭楼、靖边楼、牧营楼、临闾楼、瓮城以及1350延长米的明代平原长城等景观。 1961年3月4日，万里长城－山海关被国务院公布为第一批全国重点文物保护单位 。1987年12月，长城列入世界文化遗产。 
咸亨,咸亨,咸亨（670年三月—674年八月）是唐高宗李治的年号。唐朝使用这个年号共4年余。咸亨元年（六七0），吐蕃兴盛，四月，攻陷西域白州等十八个羁縻州。至此，唐在西域的统治开始动摇，吐谷浑、鄯善、且末之地，正式为吐蕃所据。
汉尼,汉尼,汉尼是一名前锋球员，现在效力于比利时梅赫伦俱乐部。 
第一坊,第一坊,“第一坊”是一款面向全球的华人视频直播平台。该平台提供多元化的直播表演类型，包括但不限于唱歌、演奏、舞蹈、功夫、脱口秀、竞猜等才艺展示及互动娱乐形式。
Gobble,Gobble,《Gobble》是一款Android平台的应用。
青可儿,青可儿,含有多种维生素的饼干
陈麻婆,陈麻婆,陈麻婆是由国家命名的一家“中华老字号”老牌名店。其创业于清朝同治初（1862年），开业于成都北郊的万福桥。原名陈兴盛饭铺，主厨为陈春富之妻。
跳跳龙,跳跳龙,《跳跳龙》，是一款休闲游戏，游戏大小为19MB。
百瑞源,百瑞源,宁夏百瑞源枸杞产业发展有限公司位于宁夏国家级经济技术开发区——银川德胜工业园区，是一家专业从事枸杞研发、种植、加工、营销于一体的全产业链高科技民营企业。旗下品牌百瑞源荣获“中国驰名商标”。
浪漫,浪漫,浪漫是指为所爱的人或物达到感动，开心等正面意义，并且能被记住一段时间或更久的一个人或者多人所做的行为或语言。称为浪漫。浪漫，意为纵情；浪漫；富有诗意，充满幻想；不拘小节（情侣关系而言）。此词来自于西方词语Romantic音译的演变而成，其作用就是为了翻译Romantic。至于说出自宋·苏轼《与孟震同游常州僧舍》诗之一：“年来转觉此生浮，又作三吴浪漫游。”中的“浪漫”二字，并不是一个词语，而是两个并列字，诗中此二字的意义与现在浪漫一词的意思不同。
陈昌银,陈昌银,陈昌银，1954年12月生，湖北公安人，大专文化，中共党员，公安县林业局副局长、党委副书记。
森宝,森宝,森宝 （SENBAO)格林沃尔旗下品牌，在格林沃尔以年轻的形象延续着摘取世界植物型化妆品皇冠的使命，延续着传播东方的使命。格林沃尔创建第二大宝——“森宝”。 
耶米熊,耶米熊,耶米熊衍生于树袋熊又叫考拉、无尾熊、可拉熊，学名：Phascolarctoscinereus英文：Koalabear来源于古代土著文字，意思是“nodrink”。因为树袋熊从他们取食的桉树叶中获得所需的90%的水分。
恒瑞,恒瑞,恒瑞（？—1801），爱新觉罗氏，满洲正白旗人，吉林将军萨喇善子，清朝将领。乾隆中，授侍卫，赴西藏办事，擢热河都统，迁福州将军。五十二年，台湾林爽文作乱，命率驻防兵往剿，参赞军务，偕总督常青赴南路。凤山贼势方炽，高宗知常青、恒瑞不可恃，命福康安督师。贼围总兵柴大纪於诸罗，恒瑞驻军盐水港，逗留不进，诏解任。福康安至，屡为疏陈战绩，帝益怒，斥其徇护，逮恒瑞论罪。事平，减死戍伊犁。寻予副都统衔，充伊犁参赞大臣。历定边左副将军、绥远城将军，调西安。
莫斯科餐厅,莫斯科餐厅,莫斯科餐厅是北京首都旅游集团有限责任公司直属企业——北京展览馆所属的全民所有制涉外餐厅。它坐落在北京展览馆建筑群的西侧，在特定的历史环境中曾代表着尊贵和时尚；而今洗去历史的尘埃，呈现在人们眼前的仍是浓浓的依恋和对逝去时光的追忆。
喜旺,喜旺,肉食品牌，主要从事肉制品的加工及销售。喜旺是首批中国名牌企业、全国肉类行业50强企业、世界肉类组织成员单位，承担国家十一五科技项目和农业部科研项目，也多次参与国家、行业标准的制定工作，参与国家《新鲜肉卫生操作规程》和《低温肉制品质量安全要求》制定工作，成为肉制品生产加工标准主导企业。
相生,相生,五行学说术语，金木水火土相生相克的关系。中国古人认为木、火、土、金、水五种物质有相互滋生和助长的关系。可用来说明脏腑间相互协调的生理现象。其次序是木生火、火生土、土生金、金生水、水生木。五行是古人朴素的辨证唯物的哲学思想。多用于哲学、中医学和占卜方面。五行学说是中国文化重要组成部分。
普瑞达,普瑞达,普瑞达，于2005年成立，主要从事皮具的设计研发、生产与销售。
剑南春,剑南春,剑南春是中国传统名酒，产于四川省绵竹市，因绵竹在唐代属剑南道，故称“剑南春”。
群发,群发,群发，指通过软件或其他方式对受众进行群体式广告发送，随着科技进步，群发不再是意义上的手机信息群发，短信群发。IT时代的到来，QQ群发，email群发，微博群发，博客群发，阿里旺旺群发，甚至网页群发都已普遍存在。
升元,升元,升元（937年十月-943年二月）是南唐烈祖李昪的年号，共计7年。
同仁堂,同仁堂,北京同仁堂 是全国中药行业著名的老字号。创建于1669年（清康熙八年），自1723年开始供奉御药，历经八代皇帝188年。在300多年的风雨历程中，历代同仁堂人始终恪守“炮制虽繁必不敢省人工，品味虽贵必不敢减物力”的古训，树立“修合无人见，存心有天知”的自律意识，造就了制药过程中兢兢小心、精益求精的严细精神，其产品以“配方独特、选料上乘、工艺精湛、疗效显著”而享誉海内外，产品行销40多个国家和地区。 
多力多滋,多力多滋,“多力多滋”全国上市于1966年，在美国全国推出的第一个玉米饼薯片。
