黄金时间,黄金时间,《黄金时刻》是一部以急救站为背景的医疗剧，讲述了综合医院急诊室里发生的各种紧急故事，向我们讲述了实习生在急救站展的曲折故事，整部剧里透露主人公们对勇气与梦想的体验。
富九,富九,富九是一名来自广东湛江的歌手，对黄家驹的声音模仿的惟妙惟肖。Beyond前经纪人LeslieChan都对富九以及“家驹六月天”演唱会给予高度称赞。2011年担任以纪念BEYOND乐队主唱黄家驹先生为使命的“家驹六月天”乐队主唱，家驹六月天队长是我国著名音乐人余晓维。
紫明,紫明,
青钱神茶,青钱神茶,青钱神茶是以珍稀植物青钱柳叶为主要原料，辅以药食两用的黄芪、山药和绿茶，运用传统保健理论精心研制而成的保健饮品。经检测：含有多糖、氨基酸、黄酮等化合物，还富含人体必须的锌、硒、锗等微量元素。本品经动物试验和数百例II型糖尿病人群试食试验，证明具有辅助降低血糖和血脂（甘油三脂和胆固醇）的功效。本品口味清香，饮用安全可靠，保健功能明确。
NATURAL ELEMENTS,Natural Elements,中文名称：NaturalElements资源类型：MP3!发行时间：1977年专辑歌手：Shakti地区：美国
JOJ,JOJ,ACM/ICPC(ACMInternationalCollegiateProgrammingContest国际大学生程序设计竞赛)是由国际计算机界历史悠久、颇具权威性的组织ACM（AssociationforComputingMachinery，美国计算机协会）主办的，世界上公认的规模最大、水平最高的国际大学生程序设计竞赛，其目的旨在使大学生运用计算机来充分展示自己分析问题和解决问题的能力。
百瑞源,百瑞源,宁夏百瑞源枸杞产业发展有限公司位于宁夏国家级经济技术开发区——银川德胜工业园区，是一家专业从事枸杞研发、种植、加工、营销于一体的全产业链高科技民营企业。旗下品牌百瑞源荣获“中国驰名商标”。
约哈,约哈,YOHO！约哈施行非常严格的会员资格审核制度，除了基础的身份验证以外，还要兼顾德、才、貌兼备的会员才能注册成功。
纽倍思,纽倍思,纽倍思是美国纽倍思有限责任公司注册的商标品牌。 
森宝,森宝,森宝 （SENBAO)格林沃尔旗下品牌，在格林沃尔以年轻的形象延续着摘取世界植物型化妆品皇冠的使命，延续着传播东方的使命。格林沃尔创建第二大宝——“森宝”。 
敦睦堂徐氏,敦睦堂徐氏,
奥迪康,奥迪康,创始人汉斯·戴蒙特在1904年创建奥迪康 是出于一个非常好的理由：他的妻子是一位听力损失患者，他希望可以帮助她的妻子和其他受听力损失困扰的人们过上更好的生活。汉斯·戴蒙特深切体会到，听力损失这一复杂的问题会对人的交流带来极大的阻碍。作为世界上历史最长的慈善基金之一，奥迪康基金会为研究人员、听力康复顾问和普通大众组织了许许多多社会研究计划、展览、会议、文化活动和商业活动。如今奥迪康基金已经成为丹麦奥迪康听力集团的主要股东，这样就保证了奥迪康始终为听力损失人士服务的宗旨。奥迪康做的所有事情都基于帮助人的宗旨，我们的目标是：帮助人们用自己的听力过他们想要的生活。
丰姿,丰姿,丰姿，拼音：fēngzī指风度姿态。语出《晋书·卫玠传》：“玠之舅也俊爽有风姿。
相生,相生,五行学说术语，金木水火土相生相克的关系。中国古人认为木、火、土、金、水五种物质有相互滋生和助长的关系。可用来说明脏腑间相互协调的生理现象。其次序是木生火、火生土、土生金、金生水、水生木。五行是古人朴素的辨证唯物的哲学思想。多用于哲学、中医学和占卜方面。五行学说是中国文化重要组成部分。
李万山,李万山,李万山，福建仙游人。陈文弟子。工写照。一日方携牋出门，适知县彭之昙来请，谢以事不应。径入原令萧系闳馆中，曰："愿为公写照。"数笔极肖。萧赠以物皆不受，噉数荔枝而去。《仙游县志》
艾娃,艾娃,艾娃，国产漫画《战斗装甲钢羽》中的角色。
胶源堂,胶源堂,
玉林,玉林,玉林，古称郁林州，是一座具有两千多年历史的文化古城。被世人誉为“岭南美玉，胜景如林”的玉林，自古享有“岭南都会”之美誉，环北部湾城市群城市。玉林是广西壮族自治区东南部地区的政治、经济、文化中心，毗邻粤港澳，面向东南亚，背靠大西南，南接北部湾，广西壮族自治区北部湾经济区“4+2”城市、海峡两岸农业合作试验区，中国沿海经济开放区，是中国大西南出海的重要便捷通道。 玉林是“广西壮族自治区文明城市”，世界最大的日用陶瓷生产出口基地，世界牛仔裤之都，南方药材之都，中国最大的内燃机生产基地、中国最佳管理城市，国家级建材生产出口基地，中国基地和食品加工基地，是全国著名侨乡，也是广西壮族自治区最大的侨乡，全市有华侨及港澳台同胞200多万人。玉林素有“岭南美玉、胜景如林”的美誉，是中国优秀旅游城市，拥有“天南杰构”江南四大名楼之一的经略台真武阁、四大名关之一的鬼门关，全国四大名庄之一的谢鲁山庄，还有国家AAAA级风景名胜区都峤山、云天民俗文化城（云天宫）、大容山森林公园等120多处景区。2010年2月1日，054型护卫舰569导弹护卫舰命名为“玉林号护卫舰”。
